Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
E02_1_fastp	0.0115724	0.952886	3465621114.0	0.454747	98.58541720518154	5.421290666185545e-06
E02_2_fastp	22.9397	0.953633	3470935536.0	0.461418	98.59744096087456	0.3491218739133779
E02_3_fastp	19.7317	0.951056	3460096165.0	0.463666	98.5778449115202	0.366738112744381
E02_4_fastp	18.904799999999998	0.955713	3480967846.0	0.460248	98.69175938215236	0.3630678952729228
E02_5_fastp	16.624200000000002	0.962429	3525237611.0	0.464839	98.92886248219743	0.354903744239902
E02_6_fastp	13.248	0.953645	3491934906.0	0.454154	98.60489392328239	0.219117953984422
E06_1_fastp	27.5549	0.953065	3481718543.0	0.458163	98.59858950162838	0.2897650040031974
E06_2_fastp	15.288499999999999	0.955074	3496131865.0	0.459713	98.66460060652791	0.25664071318740383
E06_3_fastp	19.735500000000002	0.954859	3497038322.0	0.451773	98.67735913830374	0.23759531559015334
E06_4_fastp	24.8656	0.950067	3466409381.0	0.454277	98.58435337715687	0.24925810123947217
E06_5_fastp	21.434900000000003	0.952233	3475873015.0	0.456978	98.65878030748479	0.28534323983121196
E24_1_fastp	17.3551	0.954953	3495040396.0	0.44994	98.76981229815374	0.2718749409806254
E24_2_fastp	17.6465	0.957839	3504247922.0	0.44835	98.88256520477333	0.32162878310904397
E24_3_fastp	12.981599999999998	0.953225	3487457958.0	0.457094	98.64849236565595	0.26917468641890374
E24_4_fastp	14.3214	0.960888	3520537014.0	0.458045	98.85693991555651	0.3518298985117889
E24_6_fastp	13.517199999999999	0.950986	3473027626.0	0.458675	98.497515714323	0.27666031241189376
M02_1_fastp	12.3436	0.95641	3501589252.0	0.461168	98.70320850209795	0.23227725563732446
M02_2_fastp	10.010299999999999	0.95228	3482079827.0	0.456151	98.5497444607199	0.2463914174024521
M02_3_fastp	9.85961	0.957225	3503667160.0	0.457332	98.71488124291889	0.26405382590880133
M02_4_fastp	15.240400000000001	0.955312	3496126709.0	0.455461	98.68187293706508	0.27732789964176413
M02_5_fastp	24.7211	0.958838	3508518145.0	0.458552	98.75660054087078	0.3170882322641351
M06_1_fastp	19.1282	0.954023	3490828423.0	0.454002	98.61918683764507	0.25164974037977034
M06_2_fastp	11.8155	0.953912	3490181736.0	0.452969	98.62052391278009	0.25247483982906477
M06_4_fastp	39.439	0.953728	3474310196.0	0.464459	98.60049259396145	0.2753272165984108
M06_5_fastp	30.5489	0.958099	3509797359.0	0.454139	98.78812277712957	0.28207180286000566
M06_6_fastp	16.897499999999997	0.961103	3522486947.0	0.455285	98.88194104442653	0.3357143828148415
M24_1_fastp	30.0012	0.956851	3500037584.0	0.451919	98.70476828480616	0.3018563577895111
M24_2_fastp	15.232399999999998	0.955597	3470034390.0	0.453579	98.55798055954372	0.29473490898655474
M24_3_fastp	13.7133	0.95804	3484126559.0	0.449238	98.6764890745759	0.2752427023546836
M24_5_fastp	17.1763	0.956277	3476566968.0	0.456178	98.59815255756861	0.2995596108767236
M24_6_fastp	15.9633	0.953465	3456039410.0	0.462486	98.52064357357645	0.3491196386372617
N02_1_fastp	21.0483	0.957405	3476671824.0	0.459935	98.64695927173868	0.3083632533463866
N02_2_fastp	22.0353	0.9569	3472748759.0	0.459178	98.60496278115151	0.27168613058819224
N02_3_fastp	16.0871	0.956822	3465993718.0	0.458854	98.59243373474568	0.4861006579479395
N02_4_fastp	47.1977	0.956918	3467256902.0	0.460085	98.63838388808699	0.3244283680256447
N02_5_fastp	19.8716	0.955009	3463808222.0	0.462664	98.55440284445682	0.2724162886880247
N06_1_fastp	27.4163	0.956711	3466929987.0	0.454412	98.57221642383227	0.35221275806536706
N06_2_fastp	15.7089	0.956675	3472217602.0	0.458111	98.6134193534227	0.3000076656190683
N06_3_fastp	25.7844	0.955239	3467275047.0	0.46097	98.59221409611806	0.27742093087998393
N06_5_fastp	23.7947	0.952625	3453220447.0	0.455629	98.52645572821179	0.3495931340684533
N06_6_fastp	14.0337	0.956155	3468393236.0	0.452367	98.56278306110208	0.31537135878021855
N24_1_fastp	31.618800000000004	0.955611	3465051933.0	0.451775	98.52860132039571	0.2746926001431029
N24_2_fastp	14.767199999999999	0.953772	3465105975.0	0.453637	98.57257385433597	0.2709562493791411
N24_3_fastp	35.8755	0.958441	3485148316.0	0.455315	98.66645767334549	0.27881510335918785
N24_4_fastp	13.6323	0.956475	3465537169.0	0.451266	98.57813585827742	0.32690640274350913
N24_6_fastp	52.1797	0.942304	3417388616.0	0.466492	98.20810112354076	0.270091595291427
