GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006457	P	protein folding	5	141	275	37767	0.0041	0.13	// AT4G36040 // AT2G17880 // AT1G24510 // AT1G09080 // AT1G80920 
GO:0031326	P	regulation of cellular biosynthetic process	15	141	1881	37767	0.0048	0.13	// AT4G22140 // AT1G74930 // AT5G43700 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
GO:0031323	P	regulation of cellular metabolic process	16	141	2036	37767	0.0041	0.13	// AT4G22140 // AT1G74930 // AT5G43700 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT1G55670 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
GO:0060255	P	regulation of macromolecule metabolic process	16	141	2060	37767	0.0046	0.13	// AT4G22140 // AT1G74930 // AT5G43700 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT1G55670 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
GO:0010468	P	regulation of gene expression	16	141	2001	37767	0.0035	0.13	// AT4G22140 // AT1G74930 // AT5G43700 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT1G55670 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
GO:0009889	P	regulation of biosynthetic process	15	141	1881	37767	0.0048	0.13	// AT4G22140 // AT1G74930 // AT5G43700 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
GO:0042221	P	response to chemical stimulus	17	141	2085	37767	0.0021	0.13	// AT3G15500 // AT2G40000 // AT5G43700 // AT3G61460 // AT3G60750 // AT5G19140 // AT3G14440 // AT3G48030 // AT4G27410 // AT4G37610 // AT2G28190 // AT2G28740 // AT5G56550 // AT2G04070 // AT4G18010 // AT5G62020 // AT2G26980 
GO:0050896	P	response to stimulus	28	141	4057	37767	0.001	0.13	// AT1G25560 // AT5G46330 // AT3G13650 // AT2G05100 // AT1G74930 // AT4G27410 // AT5G19140 // AT2G28740 // AT2G04070 // AT2G40000 // AT1G33520 // AT3G60750 // AT3G48030 // AT3G51480 // AT3G61460 // AT3G14440 // AT3G18990 // AT5G56550 // AT5G62020 // AT4G18010 // AT2G26980 // AT5G43700 // AT5G59890 // AT3G15500 // AT4G37610 // AT2G28190 // AT1G20030 // AT1G09080 
GO:0010556	P	regulation of macromolecule biosynthetic process	15	141	1843	37767	0.004	0.13	// AT4G22140 // AT1G74930 // AT5G43700 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
GO:0006350	P	transcription	15	141	1923	37767	0.0058	0.15	// AT4G22140 // AT1G74930 // AT1G49130 // AT5G56270 // AT5G60120 // AT5G49450 // AT1G68520 // AT4G29000 // AT5G50940 // AT5G43270 // AT3G06740 // AT3G21270 // AT4G29190 // AT4G12750 // AT1G66230 
