GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0042221	P	response to chemical stimulus	6	26	2085	37767	0.0025	0.047	// AT5G43700 // AT4G27410 // AT4G37610 // AT3G48360 // AT5G56550 // AT2G40000 
GO:0010033	P	response to organic substance	5	26	1342	37767	0.002	0.047	// AT4G27410 // AT4G37610 // AT3G48360 // AT2G40000 // AT5G43700 
GO:0050896	P	response to stimulus	7	26	4057	37767	0.017	0.18	// AT5G43700 // AT4G27410 // AT4G37610 // AT3G48360 // AT5G56550 // AT3G25930 // AT2G40000 
GO:0006950	P	response to stress	5	26	2320	37767	0.02	0.18	// AT5G56550 // AT3G25930 // AT3G48360 // AT2G40000 // AT4G27410 
GO:0050789	P	regulation of biological process	5	26	3697	37767	0.1	0.78	// AT2G22770 // AT5G28650 // AT3G48360 // AT5G43700 // AT2G20570 
GO:0065007	P	biological regulation	5	26	4188	37767	0.15	0.96	// AT2G22770 // AT5G28650 // AT3G48360 // AT5G43700 // AT2G20570 
GO:0044238	P	primary metabolic process	6	26	8995	37767	0.61	1	// AT3G61750 // AT5G43700 // AT1G55860 // AT2G20570 // AT2G22770 // AT5G28650 
GO:0044260	P	cellular macromolecule metabolic process	5	26	6447	37767	0.46	1	// AT2G22770 // AT5G28650 // AT1G55860 // AT2G20570 // AT5G43700 
GO:0009987	P	cellular process	6	26	11684	37767	0.86	1	// AT3G61750 // AT5G43700 // AT1G55860 // AT2G20570 // AT2G22770 // AT5G28650 
GO:0044237	P	cellular metabolic process	6	26	8722	37767	0.58	1	// AT3G61750 // AT5G43700 // AT1G55860 // AT2G20570 // AT2G22770 // AT5G28650 
GO:0043170	P	macromolecule metabolic process	5	26	7127	37767	0.56	1	// AT2G22770 // AT5G28650 // AT1G55860 // AT2G20570 // AT5G43700 
GO:0008152	P	metabolic process	6	26	10614	37767	0.78	1	// AT3G61750 // AT5G43700 // AT1G55860 // AT2G20570 // AT2G22770 // AT5G28650 
GO:0030528	F	transcription regulator activity	7	26	2417	37767	0.00099	0.018	// AT5G43700 // AT4G27410 // AT4G37610 // AT3G48360 // AT2G20570 // AT2G22770 // AT5G28650 
GO:0003677	F	DNA binding	6	26	2892	37767	0.012	0.091	// AT5G43700 // AT4G27410 // AT2G20570 // AT2G22770 // AT5G28650 // AT5G27670 
GO:0003700	F	transcription factor activity	5	26	2173	37767	0.015	0.091	// AT4G27410 // AT5G28650 // AT2G20570 // AT5G43700 // AT2G22770 
GO:0005515	F	protein binding	5	26	2944	37767	0.048	0.22	// AT4G37610 // AT5G28650 // AT3G48360 // AT3G18773 // AT2G24240 
GO:0003676	F	nucleic acid binding	6	26	4842	37767	0.11	0.39	// AT5G43700 // AT4G27410 // AT2G20570 // AT2G22770 // AT5G28650 // AT5G27670 
GO:0005488	F	binding	10	26	11258	37767	0.22	0.67	// AT5G43700 // AT2G24240 // AT4G27410 // AT4G37610 // AT3G48360 // AT2G20570 // AT3G18773 // AT2G22770 // AT5G28650 // AT5G27670 
GO:0003824	F	catalytic activity	5	26	9638	37767	0.83	1	// AT1G73540 // AT2G18700 // AT3G61750 // AT1G55860 // AT5G01250 
GO:0043229	C	intracellular organelle	8	26	8149	37767	0.18	0.84	// AT5G43700 // AT2G18700 // AT5G01250 // AT4G27410 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0005622	C	intracellular	9	26	9671	37767	0.2	0.84	// AT5G43700 // AT2G18700 // AT5G01250 // AT4G27410 // AT4G37610 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0043227	C	membrane-bounded organelle	8	26	7622	37767	0.14	0.84	// AT5G43700 // AT2G18700 // AT5G01250 // AT4G27410 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0005634	C	nucleus	5	26	2621	37767	0.031	0.84	// AT5G56550 // AT5G28650 // AT3G48360 // AT5G43700 // AT4G27410 
GO:0043226	C	organelle	8	26	8155	37767	0.18	0.84	// AT5G43700 // AT2G18700 // AT5G01250 // AT4G27410 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0043231	C	intracellular membrane-bounded organelle	8	26	7615	37767	0.14	0.84	// AT5G43700 // AT2G18700 // AT5G01250 // AT4G27410 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0044424	C	intracellular part	9	26	9302	37767	0.17	0.84	// AT5G43700 // AT2G18700 // AT5G01250 // AT4G27410 // AT4G37610 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0005737	C	cytoplasm	5	26	6822	37767	0.52	1	// AT2G18700 // AT4G37610 // AT3G48360 // AT1G55860 // AT5G01250 
GO:0005623	C	cell	12	26	15217	37767	0.34	1	// AT3G61750 // AT5G43700 // AT2G24240 // AT2G18700 // AT4G37610 // AT5G01250 // AT4G27410 // AT3G24020 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
GO:0044464	C	cell part	12	26	15217	37767	0.34	1	// AT3G61750 // AT5G43700 // AT2G24240 // AT2G18700 // AT4G37610 // AT5G01250 // AT4G27410 // AT3G24020 // AT3G48360 // AT1G55860 // AT5G56550 // AT5G28650 
