GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0010200	P	response to chitin	5	28	151	37767	1e-07	1.9e-05	// AT1G80840 // AT3G05200 // AT4G17500 // AT1G27730 // AT4G17490 
GO:0009611	P	response to wounding	5	28	197	37767	3.7e-07	3.4e-05	// AT5G20230 // AT3G44260 // AT1G80840 // AT1G27730 // AT1G74930 
GO:0009743	P	response to carbohydrate stimulus	5	28	240	37767	9.6e-07	5.8e-05	// AT1G80840 // AT3G05200 // AT4G17500 // AT1G27730 // AT4G17490 
GO:0009605	P	response to external stimulus	5	28	429	37767	1.5e-05	0.0007	// AT5G20230 // AT3G44260 // AT1G80840 // AT1G27730 // AT1G74930 
GO:0010033	P	response to organic substance	7	28	1342	37767	4.5e-05	0.0016	// AT1G80840 // AT1G27730 // AT4G17490 // AT5G54490 // AT3G05200 // AT4G17500 // AT2G40000 
GO:0042221	P	response to chemical stimulus	8	28	2085	37767	0.0001	0.0023	// AT1G80840 // AT1G27730 // AT4G17490 // AT5G54490 // AT3G05200 // AT4G17500 // AT2G40000 // AT5G20230 
GO:0009607	P	response to biotic stimulus	5	28	638	37767	0.0001	0.0023	// AT5G61600 // AT3G44260 // AT2G40000 // AT1G80840 // AT1G74930 
GO:0050896	P	response to stimulus	11	28	4057	37767	8.3e-05	0.0023	// AT1G80840 // AT1G27730 // AT4G17490 // AT5G54490 // AT1G74930 // AT3G05200 // AT5G61600 // AT4G17500 // AT3G44260 // AT2G40000 // AT5G20230 
GO:0051252	P	regulation of RNA metabolic process	5	28	996	37767	0.00076	0.014	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0006355	P	regulation of transcription, DNA-dependent	5	28	987	37767	0.00073	0.014	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0032774	P	RNA biosynthetic process	5	28	1040	37767	0.00093	0.014	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0006351	P	transcription, DNA-dependent	5	28	1039	37767	0.00092	0.014	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0006950	P	response to stress	7	28	2320	37767	0.0012	0.016	// AT1G80840 // AT5G20230 // AT1G74930 // AT5G61600 // AT3G44260 // AT2G40000 // AT1G27730 
GO:0016070	P	RNA metabolic process	6	28	1657	37767	0.0012	0.016	// AT1G80840 // AT4G17490 // AT1G74930 // AT5G61600 // AT4G17500 // AT3G44260 
GO:0031326	P	regulation of cellular biosynthetic process	5	28	1881	37767	0.012	0.11	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0045449	P	regulation of transcription	5	28	1802	37767	0.0097	0.11	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0019219	P	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	5	28	1847	37767	0.011	0.11	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0009889	P	regulation of biosynthetic process	5	28	1881	37767	0.012	0.11	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0051171	P	regulation of nitrogen compound metabolic process	5	28	1888	37767	0.012	0.11	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
GO:0010556	P	regulation of macromolecule biosynthetic process	5	28	1843	37767	0.011	0.11	// AT1G80840 // AT5G61600 // AT4G17500 // AT4G17490 // AT1G74930 
