Group.1;gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G23390;AT1G23390;3186.95173705553;0.667242999834595;0.165682978514049;4.02722721319269;5.64384873029946e-05;0.0471625975796307;;Q9LDE3;838947;"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]";;
AT1G55860;AT1G55860;2275.7073489678;-0.190734963670458;0.0455003956065029;-4.19194077607533;2.76578205632262e-05;0.0329666664365991;UPL1;Q8GY23;842036;"E3 ubiquitin-protein ligase UPL1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GY23]";UPL1;UniProtKB Gene Name
AT1G73540;AT1G73540;315.477834791712;0.582351474113748;0.132606737880219;4.39156775457197;1.12536254824074e-05;0.0216626594958816;atnudt21;Q8VY81;843688;"Nudix hydrolase 21, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VY81]";NUDT21;UniProtKB Gene Name
AT1G80440;AT1G80440;1242.57397425678;0.849633595695395;0.161468487215352;5.26191587193253;1.42561999349293e-07;0.00107620053308781;;Q9M8L2;844383;"F-box/kelch-repeat protein At1g80440 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8L2]";;
AT2G15890;AT2G15890;10.1671410393119;1.42130180678589;0.330349642508166;4.30241666373458;1.68945222930211e-05;0.0255073497580032;MEE14;,Q9XIM0;816085;"CCG-binding protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIM0]";MEE14;UniProtKB Gene Name
AT2G18700;AT2G18700;789.609556239636;0.582243626201506;0.144517433750286;4.02888157568294;5.60428390479654e-05;0.0471625975796307;ATTPS11;Q9ZV48;816385;"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV48]";TPS11;UniProtKB Gene Name
AT2G20570;AT2G20570;2047.37242464453;-0.385224313040393;0.0909426146532282;-4.23590540594511;2.27632598280191e-05;0.0297956513995449;GPRI1;,Q9SIV3;816579;"GBF's pro-rich region-interacting factor 1 [Source:UniProtKB/TrEMBL;Acc:F4IVF9]";GPRI1;TAIR Gene Name
AT2G22770;AT2G22770;343.7427773148;0.473304487915681;0.107545542177446;4.40096798372867;1.07769026963623e-05;0.0216626594958816;NAI1;Q8S3F1;816807;"NAI1 [Source:UniProtKB/TrEMBL;Acc:A0A178VWP9]";NAI1;UniProtKB Gene Name
AT2G24240;AT2G24240;112.725931747907;0.527249283558478;0.0983976273915233;5.35835362635887;8.39837371052672e-08;0.000950989847111493;;Q9ZUH1;816958;"BTB/POZ domain-containing protein At2g24240 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUH1]";;
AT2G24550;AT2G24550;714.671170184803;0.410763766818363;0.0898761491279443;4.57033118134173;4.8695405842166e-06;0.0157543550872505;;;816991;"At2g24550/F25P17.15 [Source:UniProtKB/TrEMBL;Acc:Q945P6]";;
AT2G27830;AT2G27830;650.028750474647;0.523335190508853;0.123807440943368;4.22700918879535;2.36818000261319e-05;0.0297956513995449;;;817330;"Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]";;
AT2G40000;AT2G40000;1327.86501904348;0.813185006674642;0.180917053225508;4.49479467068828;6.96371095351995e-06;0.0197133952455458;HSPRO2;O04203;818588;"Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203]";HSPRO2;UniProtKB Gene Name
AT3G05105;AT3G05105;3.70811581695653;2.69045132104369;0.653709563947877;4.1156676747936;3.86060220534756e-05;0.0397413900656846;"NA";"NA";"NA";"NA";"NA";"NA"
