GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (100),expected,over/under,fold Enrichment,raw P-value,FDR
response to oxygen-containing compound (GO:1901700),1536,17,5.59,+,3.04,0.0000412,0.0223
response to organic substance (GO:0010033),1724,19,6.28,+,3.03,0.0000144,0.0428
regulation of transcription DNA-templated (GO:0006355),2174,21,7.92,+,2.65,3.36E-05,3.33E-02
regulation of nucleic acid-templated transcription (GO:1903506),2174,21,7.92,+,2.65,0.0000336,0.0285
regulation of RNA biosynthetic process (GO:2001141),2176,21,7.92,+,2.65,0.000034,0.0225
regulation of cellular macromolecule biosynthetic process (GO:2000112),2373,22,8.64,+,2.55,0.000039,0.0232
regulation of macromolecule biosynthetic process (GO:0010556),2386,22,8.69,+,2.53,0.0000423,0.021
regulation of RNA metabolic process (GO:0051252),2283,21,8.31,+,2.53,0.0000679,0.0289
regulation of biosynthetic process (GO:0009889),2524,23,9.19,+,2.5,0.0000327,0.0389
regulation of nucleobase-containing compound metabolic process (GO:0019219),2343,21,8.53,+,2.46,0.000098,0.0343
regulation of cellular biosynthetic process (GO:0031326),2487,22,9.06,+,2.43,0.0000783,0.0291
regulation of cellular metabolic process (GO:0031323),2950,26,10.74,+,2.42,0.0000155,0.0308
regulation of gene expression (GO:0010468),2612,23,9.51,+,2.42,0.0000555,0.0254
regulation of nitrogen compound metabolic process (GO:0051171),2713,23,9.88,+,2.33,0.000127,0.042
regulation of metabolic process (GO:0019222),3261,27,11.87,+,2.27,0.0000339,0.0253
regulation of cellular process (GO:0050794),4693,36,17.09,+,2.11,0.00000623,0.0371
regulation of biological process (GO:0050789),5336,38,19.43,+,1.96,0.0000192,0.0285
biological regulation (GO:0065007),5895,39,21.47,+,1.82,0.0000729,0.0289
