GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (23),expected,over/under,fold Enrichment,raw P-value,FDR
defense response to insect (GO:0002213),24,3,0.02,+, > 100,0.00000148,0.000463
regulation of phenylpropanoid metabolic process (GO:2000762),27,2,0.02,+,88.44,0.000268,0.042
response to chitin (GO:0010200),138,5,0.12,+,43.26,0.000000111,0.0000508
phloem or xylem histogenesis (GO:0010087),129,4,0.11,+,37.02,0.00000432,0.00117
cellular response to hypoxia (GO:0071456),234,6,0.2,+,30.62,3.71E-08,0.0000316
cellular response to decreased oxygen levels (GO:0036294),236,6,0.2,+,30.36,0.000000039,0.000029
cellular response to oxygen levels (GO:0071453),237,6,0.2,+,30.23,0.00000004,0.0000264
response to hypoxia (GO:0001666),260,6,0.22,+,27.55,6.83E-08,0.0000407
response to decreased oxygen levels (GO:0036293),264,6,0.22,+,27.14,7.46E-08,0.0000404
response to oxygen levels (GO:0070482),266,6,0.22,+,26.93,7.79E-08,0.0000387
response to light intensity (GO:0009642),139,3,0.12,+,25.77,0.000222,0.0388
response to wounding (GO:0009611),238,5,0.2,+,25.08,0.00000153,0.000456
response to organonitrogen compound (GO:0010243),250,5,0.21,+,23.88,0.00000194,0.00055
cell division (GO:0051301),209,4,0.18,+,22.85,0.0000277,0.00633
response to nitrogen compound (GO:1901698),309,5,0.26,+,19.32,0.00000536,0.00139
defense response to bacterium (GO:0042742),423,5,0.35,+,14.11,0.0000239,0.00569
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),363,4,0.3,+,13.16,0.000227,0.0385
response to oxidative stress (GO:0006979),456,5,0.38,+,13.09,0.0000341,0.00724
negative regulation of macromolecule biosynthetic process (GO:0010558),365,4,0.31,+,13.08,0.000231,0.0382
negative regulation of cellular biosynthetic process (GO:0031327),386,4,0.32,+,12.37,0.000285,0.0425
negative regulation of biosynthetic process (GO:0009890),392,4,0.33,+,12.18,0.000303,0.0439
response to external biotic stimulus (GO:0043207),1105,11,0.93,+,11.89,4.07E-10,0.00000242
response to other organism (GO:0051707),1105,11,0.93,+,11.89,4.07E-10,0.00000121
response to biotic stimulus (GO:0009607),1107,11,0.93,+,11.86,4.14E-10,0.000000822
biological process involved in interspecies interaction between organisms (GO:0044419),1117,11,0.94,+,11.76,4.55E-10,0.000000678
defense response to other organism (GO:0098542),818,8,0.69,+,11.68,0.000000211,0.0000899
immune response (GO:0006955),824,8,0.69,+,11.59,0.000000223,0.0000886
response to bacterium (GO:0009617),518,5,0.43,+,11.53,0.000062,0.0127
immune system process (GO:0002376),836,8,0.7,+,11.43,0.000000249,0.0000927
defense response (GO:0006952),961,8,0.8,+,9.94,0.00000071,0.000235
response to external stimulus (GO:0009605),1528,11,1.28,+,8.60,1.19E-08,0.0000118
negative regulation of cellular process (GO:0048523),751,5,0.63,+,7.95,0.000346,0.0491
cellular response to chemical stimulus (GO:0070887),1092,7,0.91,+,7.65,0.0000224,0.00555
cellular response to stress (GO:0033554),1129,6,0.95,+,6.35,0.00027,0.0412
response to stress (GO:0006950),3136,15,2.63,+,5.71,1.5E-09,0.00000178
response to abiotic stimulus (GO:0009628),2150,8,1.8,+,4.44,0.000239,0.0385
response to chemical (GO:0042221),2712,10,2.27,+,4.40,0.0000303,0.00669
regulation of cellular biosynthetic process (GO:0031326),2487,9,2.08,+,4.32,0.000104,0.02
regulation of biosynthetic process (GO:0009889),2524,9,2.11,+,4.26,0.000116,0.0217
regulation of cellular metabolic process (GO:0031323),2950,10,2.47,+,4.05,0.0000628,0.0125
regulation of metabolic process (GO:0019222),3261,10,2.73,+,3.66,0.000147,0.0266
response to stimulus (GO:0050896),5591,16,4.68,+,3.42,0.000000491,0.000172
