Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving
S21_fastp	45.108599999999996	0.908734	1209141943.0	0.400137	97.5002353520686
S22_fastp	74.4409	0.915101	1473790703.0	0.393391	96.85098063784564
S23_fastp	79.571	0.919818	1346264695.0	0.390707	97.2123161986898
S24_fastp	55.821	0.920583	1460271828.0	0.3975	97.31483670189938
S25_fastp	57.8989	0.92185	1402409195.0	0.391729	97.62161451671557
S26_fastp	59.4232	0.927245	1444951020.0	0.399364	97.87506076998814
S27_fastp	65.7905	0.925788	1250511577.0	0.393133	98.00502502257036
S28_fastp	56.1232	0.923096	1278772465.0	0.399743	97.59568028655906
S29_fastp	61.040000000000006	0.914552	1420712962.0	0.39704	97.43103098547094
S30_fastp	74.2868	0.921004	1430485582.0	0.401546	96.70085920914913
S31_fastp	57.7299	0.904057	1327259828.0	0.397703	97.04122124739558
S32_fastp	60.211400000000005	0.908297	1336322559.0	0.398388	96.64363363607646
S33_fastp	60.567099999999996	0.933458	1321527390.0	0.388826	98.21402909423009
S34_fastp	68.04	0.925766	1328557127.0	0.398469	97.41252240188432
S35_fastp	62.7176	0.92211	1361481604.0	0.395152	97.73974711699513
S36_fastp	58.6367	0.919555	1361345700.0	0.395046	97.65597552204845
S37_fastp	53.4828	0.915248	1198890297.0	0.403766	97.34629895312561
S38_fastp	75.287	0.921809	1530377451.0	0.397629	97.47932977897142
S39_fastp	62.6397	0.913059	1328146064.0	0.39975	97.15153282164857
S40_fastp	67.8281	0.923216	1322225674.0	0.391634	97.1499145033101
S41_fastp	64.0643	0.925115	1328068037.0	0.398258	98.17970100741098
S42_fastp	58.503499999999995	0.927432	1349209422.0	0.398733	98.03070871423517
S43_fastp	60.2661	0.919429	1416478216.0	0.401112	97.51925086152656
S44_fastp	61.5629	0.927777	1351804620.0	0.408066	98.04537795788963
S45_fastp	69.8161	0.929193	1342069704.0	0.392758	97.86841097442966
S46_fastp	59.54390000000001	0.920572	1234226313.0	0.397817	97.41097942056318
S47_fastp	60.4139	0.924524	1388722682.0	0.401636	98.03867558949337
S48_fastp	59.07750000000001	0.927903	1223091238.0	0.394784	97.91662703500917
S49_fastp	61.0368	0.927361	1389346672.0	0.39852	98.02559857333317
S50_fastp	61.32149999999999	0.931181	1337439584.0	0.39251	97.69930011014439
S51_fastp	50.8428	0.932828	1341444995.0	0.38635	97.83231280693595
S52_fastp	50.9871	0.928025	1482910550.0	0.396565	97.89315818908067
S53_fastp	68.7026	0.929054	1164054415.0	0.393234	97.55616163257183
S54_fastp	64.9439	0.929942	1317226236.0	0.394737	97.82545244715773
S55_fastp	62.1009	0.924074	1270275619.0	0.391272	97.41856336217094
