"sample","treatment","solA","N","P"
"S21","a","no","yes","yes"
"S22","a","no","yes","yes"
"S23","a","no","yes","yes"
"S24","a","no","yes","yes"
"S25","a","no","yes","yes"
"S26","b","yes","yes","yes"
"S27","b","yes","yes","yes"
"S28","b","yes","yes","yes"
"S29","b","yes","yes","yes"
"S30","b","yes","yes","yes"
"S31","c","no","yes","no"
"S32","c","no","yes","no"
"S33","c","no","yes","no"
"S34","c","no","yes","no"
"S35","c","no","yes","no"
"S36","d","yes","yes","no"
"S37","d","yes","yes","no"
"S38","d","yes","yes","no"
"S39","d","yes","yes","no"
"S40","d","yes","yes","no"
"S41","e","no","no","no"
"S42","e","no","no","no"
"S43","e","no","no","no"
"S44","e","no","no","no"
"S45","e","no","no","no"
"S46","f","yes","no","no"
"S47","f","yes","no","no"
"S48","f","yes","no","no"
"S49","f","yes","no","no"
"S50","f","yes","no","no"
"S51","g","no","no","yes"
"S52","g","no","no","yes"
"S53","g","no","no","yes"
"S54","g","no","no","yes"
"S55","g","no","no","yes"
