ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0071456;cellular response to hypoxia;44/260;238/21505;2.7274221384848207e-39;1.1555924723103284e-36;9.362439011773493e-37;NA/NA/PER4/NA/AtTEM1/NA/STZ/ATGA2OX2/NA/NA/NA/AtRAV2/NA/SAUR78/ATLPP1/ATSERK4/IQM4/PLA/ATSZF2/ATCAL4/ATWRKY46/LBD41/NA/ATHSP17.4/ATSZF1/ATWRKY70/AtWRKY22/AtNUDT7/AtBBE22/DIC2/NA/NA/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/ATBCB/FLOT1/ATL31/NA/NRP/AtCML37/CYP81F2;44
GO:0036294;cellular response to decreased oxygen levels;44/260;240/21505;4.01247386218864e-39;1.1555924723103284e-36;9.362439011773493e-37;NA/NA/PER4/NA/AtTEM1/NA/STZ/ATGA2OX2/NA/NA/NA/AtRAV2/NA/SAUR78/ATLPP1/ATSERK4/IQM4/PLA/ATSZF2/ATCAL4/ATWRKY46/LBD41/NA/ATHSP17.4/ATSZF1/ATWRKY70/AtWRKY22/AtNUDT7/AtBBE22/DIC2/NA/NA/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/ATBCB/FLOT1/ATL31/NA/NRP/AtCML37/CYP81F2;44
GO:0071453;cellular response to oxygen levels;44/260;240/21505;4.01247386218864e-39;1.1555924723103284e-36;9.362439011773493e-37;NA/NA/PER4/NA/AtTEM1/NA/STZ/ATGA2OX2/NA/NA/NA/AtRAV2/NA/SAUR78/ATLPP1/ATSERK4/IQM4/PLA/ATSZF2/ATCAL4/ATWRKY46/LBD41/NA/ATHSP17.4/ATSZF1/ATWRKY70/AtWRKY22/AtNUDT7/AtBBE22/DIC2/NA/NA/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/ATBCB/FLOT1/ATL31/NA/NRP/AtCML37/CYP81F2;44
GO:0001666;response to hypoxia;45/260;264/21505;1.5747698422612255e-38;3.401502859284247e-36;2.7558472239571447e-36;NA/NA/PER4/NA/AtTEM1/NA/STZ/ATGA2OX2/NA/NA/NA/AtRAV2/NA/SAUR78/ATLPP1/ATSERK4/IQM4/PLA/ATSZF2/ATCAL4/ATWRKY46/LBD41/NA/ATHSP17.4/ATEDS1/ATSZF1/ATWRKY70/AtWRKY22/AtNUDT7/AtBBE22/DIC2/NA/NA/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/ATBCB/FLOT1/ATL31/NA/NRP/AtCML37/CYP81F2;45
GO:0036293;response to decreased oxygen levels;45/260;268/21505;3.171411278853801e-38;5.430034067439691e-36;4.3993331564904907e-36;NA/NA/PER4/NA/AtTEM1/NA/STZ/ATGA2OX2/NA/NA/NA/AtRAV2/NA/SAUR78/ATLPP1/ATSERK4/IQM4/PLA/ATSZF2/ATCAL4/ATWRKY46/LBD41/NA/ATHSP17.4/ATEDS1/ATSZF1/ATWRKY70/AtWRKY22/AtNUDT7/AtBBE22/DIC2/NA/NA/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/ATBCB/FLOT1/ATL31/NA/NRP/AtCML37/CYP81F2;45
GO:0070482;response to oxygen levels;45/260;269/21505;3.770856991277563e-38;5.430034067439691e-36;4.3993331564904907e-36;NA/NA/PER4/NA/AtTEM1/NA/STZ/ATGA2OX2/NA/NA/NA/AtRAV2/NA/SAUR78/ATLPP1/ATSERK4/IQM4/PLA/ATSZF2/ATCAL4/ATWRKY46/LBD41/NA/ATHSP17.4/ATEDS1/ATSZF1/ATWRKY70/AtWRKY22/AtNUDT7/AtBBE22/DIC2/NA/NA/NHL3/HSP17.6II/AT-HSP17.6A/AtGILP/NA/ATBCB/FLOT1/ATL31/NA/NRP/AtCML37/CYP81F2;45
GO:0042493;response to drug;47/260;465/21505;1.2479057169405488e-29;1.5402721991951918e-27;1.2479057169405489e-27;NA/ABCG40/STZ/ATP8/ATWRKY6/ATCMPG1/ASG6/AtSOT1/ATSERK4/anac036/SAUR6/GAMMA-TIP/ATWRKY33/ATSZF2/ATWRKY46/ATBCA1/AT-SYR1/ATMYB15/NA/ATHSP17.4/ATEDS1/ATBT2/ATERF#011/HR4/AtBCS1/ATSYP122/ATSZF1/ATWRKY70/BAP1/AtWRKY22/AtNUDT7/ATERF6/DIC2/ATWRKY11/ATWRKY18/AtIQM1/RHA3B/NHL3/NA/HSP17.6II/AT-HSP17.6A/ATL31/AtCML37/NA/ATWRKY8/ATWRKY48/HSP18.2;47
GO:0002376;immune system process;33/260;415/21505;9.469630217179469e-18;1.0227200634553825e-15;8.285926440032035e-16;NA/NA/CAD1/ATP8/NA/ATICS1/PLA/CYP71A13/AtRLP23/ATNHL10/ATWRKY33/ATMLO12/ATBCA1/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70/AtNUDT7/PH1/NA/CRK13/ATWRKY11/ATWRKY18/NHL3/AtGILP/AtGH3.12/NA/ATL31/PDI/ATNPR3/ATWRKY8/CYP81F2;33
GO:0010200;response to chitin;21/260;138/21505;2.3156934555319804e-17;2.2230657173107014e-15;1.801094909858207e-15;STZ/ATWRKY6/ATCMPG1/ATSERK4/anac036/SAUR6/ATWRKY33/ATSZF2/ATWRKY46/ATMYB15/ATERF#011/ATSZF1/ATWRKY70/AtWRKY22/ATERF6/ATWRKY11/ATWRKY18/AtIQM1/RHA3B/ATL31/ATWRKY48;21
GO:0045087;innate immune response;30/260;364/21505;1.2079525719525976e-16;1.0436710221670443e-14;8.455668003668183e-15;NA/NA/CAD1/ATP8/NA/ATICS1/PLA/CYP71A13/AtRLP23/ATWRKY33/ATMLO12/ATBCA1/AT-SYR1/ATEDS1/AtBCS1/ATSYP122/ATWRKY70/AtNUDT7/PH1/NA/CRK13/ATWRKY11/NHL3/AtGILP/AtGH3.12/NA/ATL31/PDI/ATNPR3/CYP81F2;30
