"Group.1","transcript","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source"
"AT1G01090","AT1G01090.1","1647.95864430883","-0.378387300570774","0.101188344617052","5.92237256167601e-05","0.00160106851796644","AT1G01090","PDH-E1 ALPHA","O24457","839429","Pyruvate dehydrogenase E1 component subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A178W8A7]","PDH-E1 ALPHA","UniProtKB Gene Name"
"AT1G01160","AT1G01160.1,AT1G01160.2","624.063613776211","-0.410941286689719","0.147810787967106","0.00138981586373733","0.0203045379548876","AT1G01160","GIF2","Q9MAL9,","839278","GRF1-interacting factor 2 [Source:UniProtKB/TrEMBL;Acc:F4HQJ3]","GIF2","TAIR Gene Name"
"AT1G01170","AT1G01170.2,AT1G01170.1","788.819647093493","-0.394832973896544","0.128860592034518","0.00063685841832031","0.0110531649937817","AT1G01170","","","839263","At1g01170 [Source:UniProtKB/TrEMBL;Acc:Q2HIQ2]","",""
"AT1G01690","AT1G01690.2,AT1G01690.1,AT1G01690.3","16.8752351136727","-1.1054543452596","0.769780028530748","0.00437038255387212","0.0471348256144681","AT1G01690","ATPRD3",",Q0WWX5","839243","Putative recombination initiation defects 3 [Source:UniProtKB/TrEMBL;Acc:F4HU48]","ATPRD3","TAIR Gene Name"
"AT1G02150","AT1G02150.1","507.68638590966","-0.366245628360229","0.119499635895299","0.000711419832938822","0.0121295670590883","AT1G02150","","Q8LPS6","839577","Pentatricopeptide repeat-containing protein At1g02150 [Source:UniProtKB/Swiss-Prot;Acc:Q8LPS6]","",""
"AT1G02280","AT1G02280.1,AT1G02280.2","416.604713400988,415.937335095145","-0.55379414839869,-0.560807128102534","0.203571493127439,0.202870409344083","0.00092660689689246,0.000797584501483151","0.0149923523267176,0.0133284466627979","AT1G02280","TOC33","O23680","839248","Translocase of chloroplast 33, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O23680]","TOC33","UniProtKB Gene Name"
"AT1G02475","AT1G02475.1","708.344805335106","-0.301144532912518","0.0981944817261747","0.00096036355175535","0.0154738127293659","AT1G02475","","","839236","Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q94K52]","",""
"AT1G03030","AT1G03030.2","188.964929434356","-0.537408929656285","0.181438092018634","0.000483987860101593","0.0089032593228199","AT1G03030","","","839473","At1g03030 [Source:UniProtKB/TrEMBL;Acc:Q500U9]","",""
"AT1G03360","AT1G03360.1","96.4135385621831","0.533847849304657","0.231961566107385","0.00304629402854369","0.0363891674926174","AT1G03360","ATRRP4","Q9ZVT7","839521","RRP4 [Source:UniProtKB/TrEMBL;Acc:A0A178W3N1]","RRP4","UniProtKB Gene Name"
"AT1G03600","AT1G03600.1","3249.56202289799","-0.389994228936307","0.157127652423169","0.00358402400435366","0.0408158824352151","AT1G03600","PSB27","Q9LR64","839449","Photosystem II repair protein PSB27-H1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LR64]","PSB27-1","UniProtKB Gene Name"
