"","x"
"1","shoot system development"
"2","regulation of transcription, DNA-templated"
"3","ethylene-activated signaling pathway"
"4","negative regulation of transcription, DNA-templated"
"5","leaf development"
"6","negative regulation of flower development"
"7","response to brassinosteroid"
"8","lateral root development"
"9","cellular response to hypoxia"
"10","protein ubiquitination"
"11","defense response, incompatible interaction"
"12","defense response to other organism"
"13","glutamine metabolic process"
"14","regulation of secondary shoot formation"
"15","response to sucrose"
"16","cellular response to sucrose starvation"
"17","branched-chain amino acid catabolic process"
"18","response to absence of light"
"19","response to osmotic stress"
"20","response to water deprivation"
"21","response to fungus"
"22","response to cold"
"23","proteasome-mediated ubiquitin-dependent protein catabolic process"
"24","biological_process"
"25","photoperiodism, flowering"
"26","multicellular organism growth"
"27","photosynthesis"
"28","response to oxidative stress"
"29","response to wounding"
"30","response to abscisic acid"
"31","response to salt stress"
"32","response to high light intensity"
"33","photoprotection"
"34","response to chitin"
"35","vesicle-mediated transport"
"36","endoplasmic reticulum to Golgi vesicle-mediated transport"
"37","pollen development"
"38","meristem structural organization"
"39","response to cadmium ion"
"40","cell redox homeostasis"
"41","photoinhibition"
"42","peptidyl-tyrosine phosphorylation"
"43","phosphorylation"
"44","protein phosphorylation"
"45","MAPK cascade"
"46","positive regulation of transcription, DNA-templated"
"47","leaf senescence"
"48","ethylene biosynthetic process"
"49","protein autophosphorylation"
"50","camalexin biosynthetic process"
"51","pollen-pistil interaction"
"52","activation of protein kinase activity"
"53","activation of MAPK activity"
"54","regulation of phenylpropanoid metabolic process"
"55","negative regulation of cytokinin-activated signaling pathway"
"56","lipid transport"
"57","response to karrikin"
"58","gibberellin metabolic process"
"59","oxidation-reduction process"
"60","gibberellin biosynthetic process"
"61","cellular manganese ion homeostasis"
"62","transmembrane transport"
"63","cation transport"
"64","cation transmembrane transport"
"65","proton transmembrane transport"
"66","ion transport"
"67","manganese ion transmembrane transport"
"68","response to manganese ion"
"69","response to copper ion"
"70","defense response"
"71","defense response to fungus"
"72","defense response to bacterium"
"73","innate immune response"
"74","regulation of defense response to bacterium"
"75","pattern recognition receptor signaling pathway"
"76","regulation of jasmonic acid biosynthetic process"
"77","regulation of salicylic acid biosynthetic process"
"78","response to molecule of bacterial origin"
"79","immune system process"
"80","regulation of stomatal movement"
"81","tryptophan catabolic process to kynurenine"
"82","defense response to bacterium, incompatible interaction"
"83","response to salicylic acid"
"84","lipid metabolic process"
"85","lipid catabolic process"
"86","glucosinolate catabolic process"
"87","response to insect"
"88","mRNA destabilization"
"89","translational initiation"
"90","proteolysis"
"91","proteolysis involved in cellular protein catabolic process"
"92","one-carbon metabolic process"
"93","S-adenosylmethionine cycle"
"94","carbohydrate metabolic process"
"95","galacturonate biosynthetic process"
"96","defense response to Gram-negative bacterium"
"97","cellular response to water deprivation"
"98","proline metabolic process"
"99","proline catabolic process"
"100","proline catabolic process to glutamate"
"101","raffinose catabolic process"
"102","response to auxin"
"103","negative regulation of transcription by RNA polymerase II"
"104","protein exit from endoplasmic reticulum"
"105","ubiquitin-dependent protein catabolic process"
"106","ER-associated misfolded protein catabolic process"
"107","cell division"
"108","phloem or xylem histogenesis"
"109","response to reactive oxygen species"
"110","response to nematode"
"111","plant-type hypersensitive response"
"112","immune response"
"113","biosynthetic process"
"114","fruit ripening"
"115","1-aminocyclopropane-1-carboxylate biosynthetic process"
"116","tRNA aminoacylation for protein translation"
"117","translation"
"118","arginyl-tRNA aminoacylation"
"119","embryo development ending in seed dormancy"
"120","protein metabolic process"
"121","regulation of circadian rhythm"
"122","rhythmic process"
"123","regulation of photoperiodism, flowering"
"124","response to blue light"
"125","response to red light"
"126","response to jasmonic acid"
"127","aging"
"128","ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"129","regulation of seed germination"
"130","regulation of lipid catabolic process"
"131","cellular amino acid metabolic process"
"132","glutamate catabolic process"
"133","positive regulation of circadian rhythm"
"134","negative regulation of DNA-binding transcription factor activity"
"135","regulation of stomatal opening"
"136","cellular response to nitrogen levels"
"137","purine nucleoside catabolic process"
"138","glycerol metabolic process"
"139","glycerophospholipid catabolic process"
"140","response to gibberellin"
"141","cellular response to auxin stimulus"
"142","chloroplast organization"
"143","regulation of cell population proliferation"
"144","signal transduction"
"145","photosynthetic acclimation"
"146","response to heat"
"147","response to light stimulus"
"148","response to UV-B"
"149","cold acclimation"
"150","hyperosmotic salinity response"
"151","mitochondrial calcium ion homeostasis"
"152","calcium ion import"
"153","calcium ion transport"
"154","calcium ion transmembrane transport"
"155","calcium import into the mitochondrion"
"156","chaperone cofactor-dependent protein refolding"
"157","protein refolding"
"158","response to unfolded protein"
"159","cellular response to unfolded protein"
"160","response to virus"
"161","brassinosteroid metabolic process"
"162","sulfation"
"163","systemic acquired resistance"
"164","positive regulation of autophagy"
"165","cellular response to heat"
"166","cellular heat acclimation"
"167","RNA biosynthetic process"
"168","response to anoxia"
"169","regulation of root development"
"170","protein-chromophore linkage"
"171","photosynthesis, light harvesting"
"172","photosynthesis, light harvesting in photosystem I"
"173","cell wall organization"
"174","metabolic process"
"175","cellular glucan metabolic process"
"176","xyloglucan metabolic process"
"177","cell wall biogenesis"
"178","protein folding"
"179","protein complex oligomerization"
"180","response to hydrogen peroxide"
"181","megasporogenesis"
"182","intracellular protein transport"
"183","protein transport"
"184","positive regulation of GTPase activity"
"185","COPII-coated vesicle budding"
"186","COPII-coated vesicle cargo loading"
"187","heat acclimation"
"188","regulation of glucose metabolic process"
"189","cellulose biosynthetic process"
"190","mannosylation"
"191","plant-type primary cell wall biogenesis"
"192","cell plate assembly"
"193","cellular response to sulfur starvation"
"194","regulation of glucosinolate biosynthetic process"
"195","protein dephosphorylation"
"196","membrane fusion"
"197","cell cycle"
"198","vesicle fusion"
"199","vesicle docking"
"200","exocytosis"
"201","regulation of programmed cell death"
"202","seed germination"
"203","phosphorelay signal transduction system"
"204","cytokinin-activated signaling pathway"
"205","circadian rhythm"
"206","red or far-red light signaling pathway"
"207","response to cytokinin"
"208","glucose metabolic process"
"209","reductive pentose-phosphate cycle"
"210","response to ethylene"
"211","terpenoid transport"
"212","import across plasma membrane"
"213","import into cell"
"214","lead ion transport"
"215","abscisic acid-activated signaling pathway"
"216","negative regulation of post-embryonic development"
"217","abscisic acid transport"
"218","intercellular transport"
"219","defense response to oomycetes"
"220","stomatal closure"
"221","response to ozone"
"222","response to freezing"
"223","glutathione metabolic process"
"224","response to toxic substance"
"225","response to herbicide"
"226","toxin catabolic process"
"227","regulation of defense response"
"228","regulation of jasmonic acid mediated signaling pathway"
"229","defense response by callose deposition in cell wall"
"230","indole glucosinolate biosynthetic process"
"231","induced systemic resistance"
"232","response to bacterium"
"233","response to water"
"234","regulation of membrane permeability"
"235","protein stabilization"
"236","Golgi organization"
"237","red light signaling pathway"
"238","negative regulation of catalytic activity"
"239","collagen catabolic process"
"240","extracellular matrix organization"
"241","phosphatidylinositol phosphorylation"
"242","regulation of salicylic acid metabolic process"
"243","cell death"
"244","response to red or far red light"
"245","gibberellin catabolic process"
"246","positive regulation of growth"
"247","translational elongation"
"248","multicellular organism development"
"249","response to peptide hormone"
"250","nitric oxide biosynthetic process"
"251","response to superoxide"
"252","viral process"
"253","regulation of reactive oxygen species metabolic process"
"254","jasmonic acid mediated signaling pathway"
"255","lateral root morphogenesis"
"256","programmed cell death"
"257","endoplasmic reticulum unfolded protein response"
"258","cellular response to potassium ion starvation"
"259","protein targeting to vacuole"
"260","retrograde transport, endosome to Golgi"
"261","vesicle fusion with Golgi apparatus"
"262","intra-Golgi vesicle-mediated transport"
"263","Golgi to vacuole transport"
"264","negative regulation of ethylene-activated signaling pathway"
"265","methylation"
"266","regulation of response to salt stress"
"267","recognition of pollen"
"268","regulation of transcription by RNA polymerase II"
"269","phloem development"
"270","cell-cell signaling involved in cell fate commitment"
"271","cell differentiation"
"272","cellular response to phosphate starvation"
"273","maintenance of root meristem identity"
"274","regulation of cell differentiation"
"275","actin filament bundle assembly"
"276","chloroplast relocation"
"277","photosynthetic electron transport in photosystem I"
"278","flower development"
"279","response to stimulus"
"280","regulation of gene expression"
"281","negative regulation of cellulose biosynthetic process"
"282","positive regulation of flower development"
"283","transcription, DNA-templated"
"284","plant ovule development"
"285","pollen tube growth"
"286","mitochondrial transcription"
"287","plant-type cell wall organization"
"288","syncytium formation"
"289","response to nitric oxide"
"290","reactive oxygen species metabolic process"
"291","regulation of growth"
"292","positive regulation of cell growth"
"293","basipetal auxin transport"
"294","acropetal auxin transport"
"295","homogalacturonan biosynthetic process"
"296","pectin biosynthetic process"
"297","cell adhesion"
"298","root development"
"299","developmental process"
"300","DNA-templated transcription, termination"
"301","dephosphorylation"
"302","phospholipid metabolic process"
"303","DNA-templated transcription, initiation"
"304","transcription preinitiation complex assembly"
"305","RNA polymerase III preinitiation complex assembly"
"306","transcription by RNA polymerase III"
"307","DNA duplex unwinding"
"308","DNA repair"
"309","telomere maintenance"
"310","cellular response to DNA damage stimulus"
"311","DNA recombination"
"312","pentose-phosphate shunt"
"313","pentose-phosphate shunt, non-oxidative branch"
"314","vegetative to reproductive phase transition of meristem"
"315","phosphate ion transport"
"316","phosphate ion transmembrane transport"
"317","intracellular signal transduction"
"318","positive regulation of protein serine/threonine kinase activity"
"319","response to other organism"
"320","spermidine biosynthetic process"
"321","arginine catabolic process"
"322","polyamine biosynthetic process"
"323","putrescine biosynthetic process from arginine"
"324","putrescine biosynthetic process"
"325","double-strand break repair"
"326","mitotic chromosome condensation"
"327","mitotic sister chromatid cohesion"
"328","positive regulation of mitotic cohesin loading"
"329","transcriptional activation by promoter-enhancer looping"
"330","establishment of protein localization to chromatin"
"331","rDNA condensation"
"332","establishment of mitotic sister chromatid cohesion"
"333","replication-born double-strand break repair via sister chromatid exchange"
"334","peptidyl-serine phosphorylation"
"335","regulation of anion channel activity"
"336","protein homooligomerization"
"337","positive regulation of ribosome biogenesis"
"338","ribosome biogenesis"
"339","ribosomal large subunit biogenesis"
"340","rRNA processing"
"341","electron transport chain"
"342","mitotic spindle organization"
"343","histone phosphorylation"
"344","regulation of cytokinesis"
"345","histone-serine phosphorylation"
"346","histone H3-S10 phosphorylation"
"347","response to metal ion"
"348","defense response to virus"
"349","oxylipin biosynthetic process"
"350","regulation of flower development"
"351","lignin catabolic process"
"352","positive regulation of iron ion transport"
"353","response to iron ion starvation"
"354","regulation of DNA repair"
"355","nucleotide-sugar metabolic process"
"356","regulation of histone modification"
"357","ATP generation from poly-ADP-D-ribose"
"358","negative regulation of floral organ abscission"
"359","positive regulation of cell death"
"360","positive regulation of defense response"
"361","detection of molecule of fungal origin"
"362","innate immune response-activating signal transduction"
"363","response to molecule of fungal origin"
"364","response to molecule of oomycetes origin"
"365","response to mannitol"
"366","PAMP-triggered immunity signalling pathway"
"367","flavonol biosynthetic process"
"368","urea transport"
"369","water transport"
"370","hydrogen peroxide transmembrane transport"
"371","urea transmembrane transport"
"372","transmembrane receptor protein serine/threonine kinase signaling pathway"
"373","DNA replication"
"374","DNA biosynthetic process"
"375","ammonium transport"
"376","ammonium transmembrane transport"
"377","nitrogen utilization"
"378","protein phosphopantetheinylation"
"379","response to biotic stimulus"
"380","defense response to fungus, incompatible interaction"
"381","response to oomycetes"
"382","inorganic ion import across plasma membrane"
"383","thigmotropism"
"384","response to mechanical stimulus"
"385","cellular amino acid biosynthetic process"
"386","branched-chain amino acid biosynthetic process"
"387","leucine biosynthetic process"
"388","glucosinolate biosynthetic process"
"389","activation of GTPase activity"
"390","brassinosteroid mediated signaling pathway"
"391","regulation of response to water deprivation"
"392","regulation of brassinosteroid mediated signaling pathway"
"393","xenobiotic transport"
"394","auxin-activated signaling pathway"
"395","gravitropism"
"396","auxin efflux"
"397","auxin influx"
"398","root hair elongation"
"399","auxin polar transport"
"400","NAD(P)H dehydrogenase complex assembly"
"401","cellular oxidant detoxification"
"402","hydrogen peroxide catabolic process"
"403","carbon utilization"
"404","negative regulation of stomatal complex development"
"405","response to carbon dioxide"
"406","protein deubiquitination"
"407","positive regulation of ethylene biosynthetic process"
"408","response to flooding"
"409","lipid storage"
"410","lipid droplet organization"
"411","positive regulation of response to water deprivation"
"412","developmental vegetative growth"
"413","peptide biosynthetic process"
"414","chromatin silencing"
"415","shoot apical meristem development"
"416","regulation of cyclin-dependent protein serine/threonine kinase activity"
"417","mitotic cell cycle phase transition"
"418","maintenance of protein location in plasma membrane"
"419","negative regulation of defense response"
"420","protein targeting to membrane"
"421","transpiration"
"422","protein localization to plasma membrane"
"423","secretion"
"424","chloroplast-nucleus signaling pathway"
"425","phospholipid transport"
"426","anion transmembrane transport"
"427","carbohydrate transport"
"428","lateral root formation"
"429","carbohydrate transmembrane transport"
"430","myo-inositol transport"
"431","monosaccharide transmembrane transport"
"432","glucose transmembrane transport"
"433","D-ribose transmembrane transport"
"434","D-xylose transmembrane transport"
"435","galactose transmembrane transport"
"436","glycerol transport"
"437","sorbitol transport"
"438","mannitol transport"
"439","phenylpropanoid metabolic process"
"440","phenylpropanoid biosynthetic process"
"441","alternative respiration"
"442","mitochondria-nucleus signaling pathway"
"443","cellular respiration"
"444","microtubule-based movement"
"445","phragmoplast microtubule organization"
"446","male meiosis cytokinesis"
"447","microgametogenesis"
"448","calcium-mediated signaling"
"449","regulation of catalytic activity"
