Group.1,Group.2,Group.3,transcript,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT1G09505,6.148830510727346,-7.175404080604208,AT1G09505.1,6.14883051072735,-7.17540408060421,2.78078572351407,9.03909827080506e-07,3.11141045734838e-05,AT1G09505,"NA","NA","NA","NA","NA","NA"
AT1G47400,32.45010434385335,-6.198672006113318,AT1G47400.1,32.4501043438533,-6.19867200611332,0.891568080752248,6.92242837150644e-13,7.11542233839398e-11,AT1G47400,,,841144,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G47395.1); Ha. [Source:TAIR;Acc:AT1G47400],,
AT4G25580,87.84418462261935,-5.772795130483994,"AT4G25580.2,AT4G25580.1",87.8441846226194,-5.77279513048399,0.473020228236131,9.7684396280717e-35,7.71652461508619e-32,AT4G25580,,,828663,At4g25580/M7J2_50 [Source:UniProtKB/TrEMBL;Acc:Q8RY15],,
AT4G28040,15.772999604599702,-5.449644678083847,"AT4G28040.1,AT4G28040.4,AT4G28040.2,AT4G28040.5,AT4G28040.3",15.7729996045997,-5.44964467808385,1.01444771305111,1.41800216354294e-08,7.20091884407753e-07,AT4G28040,,Q9SUD5,828919,WAT1-related protein At4g28040 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUD5],,
AT5G00650,12.787068273154901,-4.648696894661018,"AT5G00650.3,AT5G00650.4",12.7870682731549,-4.64869689466102,1.14275125448604,3.80430848562021e-06,0.000110374770004831,AT5G00650,"NA","NA","NA","NA","NA","NA"
AT2G26010,87.41423649259379,-4.545702118494095,AT2G26010.1,87.4142364925938,-4.54570211849409,1.04899106453536,5.13838647853586e-07,1.89609128040575e-05,AT2G26010,PDF1.3,O80995,817142,PDF1.3 [Source:UniProtKB/TrEMBL;Acc:A0A178VSS6],PDF1.3,UniProtKB Gene Name
AT4G25580,17.702705484312368,-4.340098195472775,"AT4G25580.2,AT4G25580.1",17.7027054843124,-4.34009819547278,0.874932067866878,6.2855575069048e-08,2.86762595264212e-06,AT4G25580,,,828663,At4g25580/M7J2_50 [Source:UniProtKB/TrEMBL;Acc:Q8RY15],,
AT1G47395,96.0448990513527,-4.303571186753306,AT1G47395.1,96.0448990513527,-4.30357118675331,0.376264684422829,1.41449821487858e-31,8.26551374685969e-29,AT1G47395,,,841143,At1g47390 [Source:UniProtKB/TrEMBL;Acc:Q8GUL3],,
AT2G30766,27.47599590238979,-4.200203734002851,AT2G30766.1,27.4759959023898,-4.20020373400285,0.753040993439886,1.65625044655625e-09,9.74492073086204e-08,AT2G30766,,,6240993,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q56Y35],,
AT3G60140,20.096595698832278,-4.179612346529228,AT3G60140.2,20.0965956988323,-4.17961234652923,0.679196575286865,5.30352623844271e-11,4.20506540433551e-09,AT3G60140,DIN2,"Q9M1C9,",825184,Beta-glucosidase 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1C9],BGLU30,UniProtKB Gene Name
AT3G60140,16.305107413601892,-4.115007652013748,AT3G60140.1,16.3051074136019,-4.11500765201375,0.795801972589582,1.43933226966708e-08,7.29187608398917e-07,AT3G60140,DIN2,"Q9M1C9,",825184,Beta-glucosidase 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1C9],BGLU30,UniProtKB Gene Name
AT2G37770,5.608309728170033,-4.022364398233326,"AT2G37770.2,AT2G37770.1",5.60830972817003,-4.02236439823333,1.45645582623512,0.000223655423303287,0.00358260209983039,AT2G37770,,"Q0PGJ6,",818354,"NADPH-dependent aldo-keto reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0PGJ6]",AKR4C9,UniProtKB Gene Name
AT4G36850,108.52913226388426,-3.975091907105187,"AT4G36850.2,AT4G36850.1",108.529132263884,-3.97509190710519,0.350094470171171,4.31473839444057e-31,2.35966404732886e-28,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT2G37770,104.84346210205226,-3.873682317522082,"AT2G37770.2,AT2G37770.1",104.843462102052,-3.87368231752208,0.27435028628749,1.41738372572542e-46,2.32543606108728e-43,AT2G37770,,"Q0PGJ6,",818354,"NADPH-dependent aldo-keto reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0PGJ6]",AKR4C9,UniProtKB Gene Name
AT1G05147,16.03102286671234,-3.854998161235415,AT1G05147.1,16.0310228667123,-3.85499816123541,0.697215871512946,2.64798353750323e-09,1.51009403421491e-07,AT1G05147,"NA","NA","NA","NA","NA","NA"
AT4G36850,62.68430341392461,-3.8370130402370046,"AT4G36850.3,AT4G36850.4",62.6843034139246,-3.837013040237,0.86430744610041,3.55403520298681e-07,1.36580612300728e-05,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT5G65980,9.354408193121419,-3.7461522831769374,"AT5G65980.1,AT5G65980.2",9.35440819312142,-3.74615228317694,1.20214475752506,9.42238034605858e-05,0.00171252866817989,AT5G65980,,",Q9FKY4",836728,Protein PIN-LIKES 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKY4],PILS7,UniProtKB Gene Name
AT5G44420,8.71261281735786,-3.682629579891134,AT5G44420.1,8.71261281735786,-3.68262957989113,1.02642719654174,1.95790898388851e-05,0.000451695638321969,AT5G44420,PDF1.2,Q9FI23,834469,Defensin-like protein 16 [Source:UniProtKB/Swiss-Prot;Acc:Q9FI23],PDF1.2A,UniProtKB Gene Name
AT3G49570,34.99393774474641,-3.639913810668773,AT3G49570.1,34.9939377447464,-3.63991381066877,0.455136375925161,8.78193340042236e-17,1.46906248259536e-14,AT3G49570,LSU3,Q9SCK2,824119,Protein RESPONSE TO LOW SULFUR 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCK2],LSU3,UniProtKB Gene Name
AT4G36850,510.8255629102225,-3.639524530180147,AT4G36850.4,510.825562910223,-3.63952453018015,0.381738987821616,7.17678791324936e-23,2.18671601439627e-20,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,481.5453472396812,-3.6240294128537545,AT4G36850.1,481.545347239681,-3.62402941285375,0.381126120216415,9.05184897075381e-23,2.7191881798975e-20,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,1890.1846877867627,-3.5979706556013986,AT4G36850.3,1890.18468778676,-3.5979706556014,0.306376460694464,4.49659537476667e-33,3.04462331589558e-30,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,1627.0799778490255,-3.5942890196255983,"AT4G36850.4,AT4G36850.1",1627.07997784903,-3.5942890196256,0.324258703200812,7.50686581774747e-30,3.59798174368151e-27,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,1860.9044721162213,-3.592732433898172,AT4G36850.2,1860.90447211622,-3.59273243389817,0.310110424866205,2.55637036409895e-32,1.62756851673685e-29,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
