"genes","tair_symbol","description","log2FoldChange","padj","uniprotswissprot","external_gene_name","external_gene_source","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","notes","qPCR_gene"
"AT2G47520","HRE2","Ethylene-responsive transcription factor ERF071 [Source:UniProtKB/Swiss-Prot;Acc:O22259]",-2.998875259,0.021557511,"O22259","ERF071","UniProtKB Gene Name","r","em6",1.57584979986481,1.96733288562519e-07,5.175,2.6e-05,"",""
"AT1G69490","NAP","NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]",2.007136742,0.003601576,"O49255","NAC029","UniProtKB Gene Name","p","em2",3.02078550357009,1.52808302696869e-09,NA,NA,"leaf senescence but also nitrogen recycling enzymes (Yang 2015)","y"
"AT5G56550","OXS3","Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9]",2.49806794,8.11562e-21,"","OXS3","TAIR Gene Name","r","em2",NA,NA,NA,NA,"response to oxidative stress",""
"AT5G56550","OXS3","Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9]",2.745416083,3.56199e-17,"","OXS3","TAIR Gene Name","p","em2",NA,NA,NA,NA,"response to oxidative stress",""
"AT5G56550","OXS3","Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9]",2.893596785,1.45568e-05,"","OXS3","TAIR Gene Name","r+p","em2",NA,NA,NA,NA,"response to oxidative stress","y"
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",-1.187043355,0.02642581,"Q93ZS9","SZF1","TAIR Gene Name","r","nm6",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT2G23130","AGP17","Lysine-rich arabinogalactan protein 17 [Source:UniProtKB/Swiss-Prot;Acc:O22194]",-1.091741208,0.002663792,"O22194","AGP17","UniProtKB Gene Name","p","en2",-2.04133494375327,1.22884605076018e-08,NA,NA,"",""
"AT2G03760","ST","Cytosolic sulfotransferase 12 [Source:UniProtKB/Swiss-Prot;Acc:P52839]",0.554680791,0.0494874,"P52839","SOT12","UniProtKB Gene Name","p","em24",1.26564238660147,2.22233624764609e-07,4.298,8.3e-05,"",""
"AT1G68840","RAV2","TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]",0.722295789,0.001101267,"P82280","RAV2","UniProtKB Gene Name","r","em2",0.444795110008579,0.00242250337318006,NA,NA,"",""
"AT2G27830","","Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]",0.728159293,0.008295463,"","","","r","em2",0.785110902489712,8.59322029541251e-05,NA,NA,"",""
"AT2G38820","","Protein of unknown function (DUF506) [Source:TAIR;Acc:AT2G38820]",0.797347094,0.000978389,"","","","p","en2",-1.23709851424425,1.28471049679662e-06,NA,NA,"",""
"AT1G68840","RAV2","TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]",0.801806401,0.02808736,"P82280","RAV2","UniProtKB Gene Name","p","en2",0.444795110008579,0.00242250337318006,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",0.829622671,0.041074534,"O64425","RMA1","UniProtKB Gene Name","p","en6",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT2G27830","","Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZUY4]",0.877913702,0.000978389,"","","","p","en2",0.785110902489712,8.59322029541251e-05,NA,NA,"",""
"AT3G19030","","AT3g19030/K13E13_15 [Source:UniProtKB/TrEMBL;Acc:Q9LJ63]",0.870249733,0.000244138,"","","","r","em2",-1.50699024270255,1.16289654034528e-06,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",0.936701965,0.000864103,"O64425","RMA1","UniProtKB Gene Name","p","en2",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT1G25560","TEM1","AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]",0.91024857,1.21647e-05,"Q9C6M5","TEM1","UniProtKB Gene Name","r","em2",0.430593729171501,0.00137919956071089,NA,NA,"",""
"AT1G68840","RAV2","TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]",0.936876341,0.019399173,"P82280","RAV2","UniProtKB Gene Name","r+p","em2",0.444795110008579,0.00242250337318006,NA,NA,"",""
"AT2G26530","AR781","AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]",1.079191727,0.000696849,"","AR781","TAIR Gene Name","p","em24",0.826728281629683,1.4645539524889e-05,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",1.040986951,4.13595e-05,"O64425","RMA1","UniProtKB Gene Name","p","em2",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT4G03510","RMA1","E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]",1.059849156,1.03777e-08,"O64425","RMA1","UniProtKB Gene Name","r","em2",-0.399472591339546,0.0145667780888519,NA,NA,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.099935711,7.75361e-05,"Q8S8P5","WRKY33","UniProtKB Gene Name","p","em24",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.12669778,0.043840478,"Q8S8P5","WRKY33","UniProtKB Gene Name","p","en24",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
"AT2G26530","AR781","AR781 [Source:UniProtKB/TrEMBL;Acc:A0A178VPT1]",1.139143474,0.042310133,"","AR781","TAIR Gene Name","p","en6",0.826728281629683,1.4645539524889e-05,NA,NA,"",""
"AT1G25560","TEM1","AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]",1.098769965,0.04313683,"Q9C6M5","TEM1","UniProtKB Gene Name","r+p","em2",0.430593729171501,0.00137919956071089,NA,NA,"",""
"AT2G40140","CZF1","Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]",1.177876533,6.99057e-13,"Q9XEE6","CZF1","TAIR Gene Name","p","em24",1.15962240531305,2.27272564077074e-07,NA,NA,"",""
"AT1G27730","STZ","Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]",1.344140507,1.69188e-05,"Q96289","ZAT10","UniProtKB Gene Name","p","em24",1.53453700178067,6.30474118492131e-07,1.195,0.00069,"",""
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",1.38268747,0.010144124,"Q93ZS9","SZF1","TAIR Gene Name","p","en6",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT2G40140","CZF1","Zinc finger CCCH domain-containing protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEE6]",1.392215299,2.50922e-06,"Q9XEE6","CZF1","TAIR Gene Name","p","en24",1.15962240531305,2.27272564077074e-07,NA,NA,"",""
"AT2G38470","WRKY33","WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4]",1.440581473,0.012396678,"Q8S8P5","WRKY33","UniProtKB Gene Name","p","en6",1.83009870583087,4.18437514465665e-08,0.714,0.008,"",""
