"genes","tair_symbol","description","log2FoldChange","padj","uniprotswissprot","external_gene_name","external_gene_source","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","notes","qPCR_gene"
"AT3G48360","BT2","BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0]",1.437688142,1.27975e-05,"","BT2","UniProtKB Gene Name","r","em2",-4.2783738478957,7.12048911614009e-08,NA,NA,"involved in N starvation signalling (Fredes 2019)",""
"AT3G15500","ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]",1.737665029,0.032295184,"Q9LDY8","NAC055","UniProtKB Gene Name","p","em2",1.37386098153939,3.51741662307427e-07,NA,NA,"leaf senescence but also nitrogen recycling enzymes (Yang 2015)",""
"AT4G23210","CRK13","Cysteine-rich receptor-like protein kinase 13 [Source:UniProtKB/Swiss-Prot;Acc:Q0PW40]",-1.55248633,0.04172655,"","CRK13","UniProtKB Gene Name","p","en2",NA,NA,NA,NA,"",""
"AT3G48360","BT2","BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0]",-1.334976238,0.00616069,"","BT2","UniProtKB Gene Name","r","nm6",-4.2783738478957,7.12048911614009e-08,NA,NA,"",""
"AT4G32480","","AT4g32480/F8B4_180 [Source:UniProtKB/TrEMBL;Acc:Q9SUU4]",-1.265960647,0.002823901,"","","","r","nm2",NA,NA,0.749,0.028,"",""
"AT4G37370","CYP81D8","Cytochrome P450, family 81, subfamily D, polypeptide 8 [Source:UniProtKB/TrEMBL;Acc:Q9SZT7]",-1.258432743,0.001012594,"","CYP81D8","TAIR Gene Name","p","en2",2.90603029404142,4.64983244828495e-09,2.834,5.1e-05,"",""
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",-1.187043355,0.02642581,"Q93ZS9","SZF1","TAIR Gene Name","r","nm6",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT3G62760","ATGSTF13","Glutathione S-transferase F13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZI9]",-1.106217338,0.011451132,"Q9LZI9","GSTF13","UniProtKB Gene Name","p","nm2",NA,NA,NA,NA,"",""
"AT5G03545","AT4","At5g03545 [Source:UniProtKB/TrEMBL;Acc:Q9LZD2]",-1.224258377,0.00040012,"","AT4","TAIR Gene Name","r+p","em2",NA,NA,NA,NA,"",""
"AT4G38840","","At4g38840 [Source:UniProtKB/TrEMBL;Acc:Q9T0J2]",-1.015934062,0.001649461,"","","","p","en6",-1.17639783283286,6.09181614388873e-07,NA,NA,"",""
"AT1G78100","","AUF1 [Source:UniProtKB/TrEMBL;Acc:A0A178VZX8]",-1.007005527,0.004415989,"Q9C9S2","","","p","en6",NA,NA,NA,NA,"",""
"AT4G32480","","AT4g32480/F8B4_180 [Source:UniProtKB/TrEMBL;Acc:Q9SUU4]",-0.981732124,0.00016321,"","","","p","nm2",NA,NA,0.749,0.028,"",""
"AT4G13390","","Extensin-like protein [Source:UniProtKB/TrEMBL;Acc:Q9T0L0]",-0.963009398,0.006152288,"","","","p","nm2",0.693878112238995,0.0132231625981183,NA,NA,"",""
"AT1G12950","RSH2","Protein DETOXIFICATION [Source:UniProtKB/TrEMBL;Acc:A0A178WCP4]",-0.956170164,0.046476339,"Q9LPV4","DTX31","UniProtKB Gene Name","p","nm2",0.683602108154872,0.000833926705396336,NA,NA,"",""
"AT3G04640","","At3g04640 [Source:UniProtKB/TrEMBL;Acc:Q9SR10]",-0.947186867,0.00128554,"","","","p","nm2",0.657547297843303,0.000163156993306725,NA,NA,"",""
"AT5G61440","ACHT5","Thioredoxin-like 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFI1]",-0.921075952,0.031428737,"Q9XFI1","ACHT5","TAIR Gene Name","r","nm6",-1.36836048290396,2.4745743140959e-07,NA,NA,"",""
"AT5G52640","HSP81-1","Heat shock protein 90-1 [Source:UniProtKB/Swiss-Prot;Acc:P27323]",-0.859533086,0.038849332,"P27323","HSP90-1","UniProtKB Gene Name","p","en6",1.60788305281798,3.53780501702734e-08,2.781,0.00015,"",""
"AT3G13650","","Dirigent protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9LID5]",-0.8270048,0.022078685,"Q9LID5","DIR7","UniProtKB Gene Name","p","nm2",1.0136311649871,1.57720101428621e-05,1.166,7e-04,"",""
"AT5G56850","","unknown protein; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Ha. [Source:TAIR;Acc:AT5G56850]",-0.811369914,0.00238412,"","","","p","em24",-1.13518357221986,1.90997061959215e-06,NA,NA,"",""
"AT3G55630","ATDFD","Folylpolyglutamate synthase [Source:UniProtKB/Swiss-Prot;Acc:Q8W035]",-0.708431799,0.020050802,"","FPGS3","UniProtKB Gene Name","p","em24",-1.41387487210191,2.03080558112906e-07,NA,NA,"",""
"AT4G12545","","Putative lipid-binding protein AIR1B [Source:UniProtKB/Swiss-Prot;Acc:Q9ZSP6]",-0.702455291,0.024556634,"Q9ZSP6","AIR1B","UniProtKB Gene Name","p","nm2",-2.64022151678256,5.27909916691264e-08,NA,NA,"",""
"AT3G25780","AOC3","Allene oxide cyclase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LS01]",-0.701508494,0.015919323,"Q9LS01","AOC3","UniProtKB Gene Name","p","nm2",0.491203025936344,0.00471526646152696,NA,NA,"",""
"AT2G01290","RPI2","Probable ribose-5-phosphate isomerase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU38]",-0.689580268,0.036993496,"Q9ZU38","RPI2","UniProtKB Gene Name","p","en6",-0.949222194478281,4.09337677603348e-06,NA,NA,"",""
