"Group.1","Group.2","Group.3","transcript","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source"
"AT5G59720",23.5849654965597,-2.50203716661547,"AT5G59720.1","23.5849654965597","-2.50203716661547","0.674722490756151","7.755351062025e-06","0.0132362058622948","AT5G59720","HSP18.2","P19037","836093","18.1 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19037]","HSP18.1","UniProtKB Gene Name"
"AT3G46230",76.2526447298309,-1.39069619147375,"AT3G46230.1","76.2526447298309","-1.39069619147375","0.37632608373656","7.89168094556212e-06","0.0132362058622948","AT3G46230","ATHSP17.4","P19036","823768","17.4 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19036]","HSP17.4A","UniProtKB Gene Name"
"AT3G46230",148.52730976635,-1.53415509583363,"AT3G46230.1","148.52730976635","-1.53415509583363","0.365358916033408","9.43652354229208e-07","0.000592232906453359","AT3G46230","ATHSP17.4","P19036","823768","17.4 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19036]","HSP17.4A","UniProtKB Gene Name"
"AT2G36790",129.509484624324,-0.636211961984668,"AT2G36790.1","129.509484624324","-0.636211961984668","0.214011295547452","0.000125612467050847","0.0144952734961612","AT2G36790","UGT73C6","Q9ZQ95","818251","Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PVK2]","UGT73C6","UniProtKB Gene Name"
"AT5G18130",266.627370212447,-0.522176125035575,"AT5G18130.1","266.627370212447","-0.522176125035575","0.190224872795891","0.000274824844752519","0.0236329547387785","AT5G18130","","","831931","Gb [Source:UniProtKB/TrEMBL;Acc:Q9FK57]","",""
"AT5G18130",268.453826939111,-0.517211282708048,"AT5G18130.2","268.453826939111","-0.517211282708048","0.190841487214957","0.000305201698349446","0.025156636762799","AT5G18130","","","831931","Gb [Source:UniProtKB/TrEMBL;Acc:Q9FK57]","",""
"AT5G59720",38.0664397771313,-0.0937373649553701,"AT5G59720.1","38.0664397771313","-0.0937373649553701","0.180682585873084","0.00018524376893975","0.0186298712567558","AT5G59720","HSP18.2","P19037","836093","18.1 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19037]","HSP18.1","UniProtKB Gene Name"
"AT3G60750",5881.19805955276,0.257850811888525,"AT3G60750.1","5881.19805955276","0.257850811888525","0.0933964198589488","0.000659038003887377","0.0424024577573078","AT3G60750","",",Q8RWV0","825246","Transketolase-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RWV0]","TKL-1","UniProtKB Gene Name"
"AT3G60750",3836.81445201076,0.266603140430864,"AT3G60750.2","3836.81445201076","0.266603140430864","0.0917807229802405","0.000425715362937377","0.0314926874733093","AT3G60750","",",Q8RWV0","825246","Transketolase-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RWV0]","TKL-1","UniProtKB Gene Name"
"AT5G13930",1737.8821446032,0.4588182317935,"AT5G13930.1","1737.8821446032","0.4588182317935","0.152358838936159","0.00014297571965248","0.015914109713035","AT5G13930","CHS","P13114","831241","Chalcone synthase family protein [Source:UniProtKB/TrEMBL;Acc:Q460R0]","CHS","UniProtKB Gene Name"
"AT1G64770",921.509926918758,0.475896918287186,"AT1G64770.3","921.509926918758","0.475896918287186","0.139408480347298","3.8594658584584e-05","0.0063624272882319","AT1G64770","NDF2",",Q94AQ8","842785","NDH-dependent cyclic electron flow 1 [Source:UniProtKB/TrEMBL;Acc:F4I890]","NDF2","TAIR Gene Name"
"AT1G64770",917.521757304654,0.479699654652012,"AT1G64770.1","917.521757304654","0.479699654652012","0.1393124785731","3.45089142381027e-05","0.00605140876980219","AT1G64770","NDF2",",Q94AQ8","842785","NDH-dependent cyclic electron flow 1 [Source:UniProtKB/TrEMBL;Acc:F4I890]","NDF2","TAIR Gene Name"
"AT3G05950",31.020959520793,3.72745313279187,"AT3G05950.1","31.020959520793","3.72745313279187","1.57154444503303","0.000488125602181431","0.0345093224641034","AT3G05950","","Q9SFF9","819765","Germin-like protein subfamily 1 member 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFF9]","",""
