GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (698),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
sulfate reduction (GO:0019419),4,4,0.1,+,39.34,2.42E-05,1.15E-03
leucine catabolic process (GO:0006552),7,5,0.18,+,28.1,6.32E-06,3.63E-04
tyrosine catabolic process (GO:0006572),5,3,0.13,+,23.61,7.74E-04,2.07E-02
branched-chain amino acid catabolic process (GO:0009083),7,4,0.18,+,22.48,1.07E-04,3.96E-03
ammonia assimilation cycle (GO:0019676),6,3,0.15,+,19.67,1.14E-03,2.89E-02
aspartate family amino acid catabolic process (GO:0009068),7,3,0.18,+,16.86,1.60E-03,3.89E-02
nitrogen utilization (GO:0019740),7,3,0.18,+,16.86,1.60E-03,3.87E-02
cellular response to sulfur starvation (GO:0010438),7,3,0.18,+,16.86,1.60E-03,3.86E-02
superoxide metabolic process (GO:0006801),12,5,0.31,+,16.39,4.46E-05,1.86E-03
valine biosynthetic process (GO:0009099),8,3,0.2,+,14.75,2.16E-03,4.91E-02
regulation of ARF protein signal transduction (GO:0032012),8,3,0.2,+,14.75,2.16E-03,4.89E-02
riboflavin metabolic process (GO:0006771),11,4,0.28,+,14.31,4.11E-04,1.29E-02
riboflavin biosynthetic process (GO:0009231),11,4,0.28,+,14.31,4.11E-04,1.28E-02
cellular response to superoxide (GO:0071451),11,4,0.28,+,14.31,4.11E-04,1.28E-02
cellular response to oxygen radical (GO:0071450),11,4,0.28,+,14.31,4.11E-04,1.27E-02
nitrate assimilation (GO:0042128),11,4,0.28,+,14.31,4.11E-04,1.26E-02
nitrate metabolic process (GO:0042126),11,4,0.28,+,14.31,4.11E-04,1.26E-02
removal of superoxide radicals (GO:0019430),11,4,0.28,+,14.31,4.11E-04,1.25E-02
cellular response to sulfate starvation (GO:0009970),14,5,0.36,+,14.05,8.04E-05,3.09E-03
branched-chain amino acid metabolic process (GO:0009081),20,7,0.51,+,13.77,3.22E-06,2.02E-04
flavin-containing compound biosynthetic process (GO:0042727),12,4,0.31,+,13.11,5.37E-04,1.56E-02
response to oxygen radical (GO:0000305),13,4,0.33,+,12.11,6.89E-04,1.89E-02
response to superoxide (GO:0000303),13,4,0.33,+,12.11,6.89E-04,1.88E-02
leucine metabolic process (GO:0006551),23,7,0.58,+,11.97,6.91E-06,3.92E-04
reactive nitrogen species metabolic process (GO:2001057),14,4,0.36,+,11.24,8.68E-04,2.28E-02
cellular oxidant detoxification (GO:0098869),28,8,0.71,+,11.24,2.24E-06,1.44E-04
dicarboxylic acid catabolic process (GO:0043649),14,4,0.36,+,11.24,8.68E-04,2.27E-02
response to nutrient (GO:0007584),14,4,0.36,+,11.24,8.68E-04,2.26E-02
sulfate assimilation (GO:0000103),22,6,0.56,+,10.73,5.37E-05,2.18E-03
valine metabolic process (GO:0006573),22,6,0.56,+,10.73,5.37E-05,2.16E-03
response to nitrate (GO:0010167),33,9,0.84,+,10.73,7.20E-07,5.11E-05
flavin-containing compound metabolic process (GO:0042726),15,4,0.38,+,10.49,1.08E-03,2.76E-02
nitrogen cycle metabolic process (GO:0071941),15,4,0.38,+,10.49,1.08E-03,2.75E-02
glutamate metabolic process (GO:0006536),27,7,0.69,+,10.2,1.68E-05,8.40E-04
hydrogen peroxide catabolic process (GO:0042744),31,8,0.79,+,10.15,4.27E-06,2.60E-04
glutamine metabolic process (GO:0006541),16,4,0.41,+,9.84,1.32E-03,3.28E-02
response to absence of light (GO:0009646),45,11,1.14,+,9.62,1.08E-07,8.98E-06
cellular amino acid catabolic process (GO:0009063),95,23,2.41,+,9.53,1.57E-14,3.91E-12
acetyl-CoA metabolic process (GO:0006084),25,6,0.64,+,9.44,9.85E-05,3.67E-03
phosphate ion homeostasis (GO:0055062),17,4,0.43,+,9.26,1.60E-03,3.85E-02
trivalent inorganic anion homeostasis (GO:0072506),17,4,0.43,+,9.26,1.60E-03,3.83E-02
oxylipin biosynthetic process (GO:0031408),17,4,0.43,+,9.26,1.60E-03,3.82E-02
anion homeostasis (GO:0055081),26,6,0.66,+,9.08,1.19E-04,4.29E-03
cell redox homeostasis (GO:0045454),36,8,0.92,+,8.74,1.10E-05,5.87E-04
glutamine family amino acid catabolic process (GO:0009065),18,4,0.46,+,8.74,1.92E-03,4.43E-02
positive regulation of seed germination (GO:0010030),23,5,0.58,+,8.55,5.65E-04,1.61E-02
defense response to insect (GO:0002213),24,5,0.61,+,8.2,6.69E-04,1.86E-02
carboxylic acid catabolic process (GO:0046395),154,32,3.91,+,8.18,5.36E-18,2.00E-15
organic acid catabolic process (GO:0016054),163,33,4.14,+,7.97,3.19E-18,1.36E-15
hydrogen peroxide metabolic process (GO:0042743),40,8,1.02,+,7.87,2.15E-05,1.04E-03
jasmonic acid biosynthetic process (GO:0009695),25,5,0.64,+,7.87,7.86E-04,2.09E-02
fatty acid oxidation (GO:0019395),41,8,1.04,+,7.68,2.52E-05,1.18E-03
alpha-amino acid catabolic process (GO:1901606),68,13,1.73,+,7.52,9.52E-08,8.12E-06
reactive oxygen species metabolic process (GO:0072593),68,13,1.73,+,7.52,9.52E-08,8.00E-06
cellular detoxification (GO:1990748),42,8,1.07,+,7.49,2.93E-05,1.32E-03
fatty acid beta-oxidation (GO:0006635),37,7,0.94,+,7.44,9.63E-05,3.61E-03
vitamin biosynthetic process (GO:0009110),59,11,1.5,+,7.34,1.15E-06,7.88E-05
cellular response to toxic substance (GO:0097237),43,8,1.09,+,7.32,3.40E-05,1.51E-03
fatty acid catabolic process (GO:0009062),44,8,1.12,+,7.15,3.93E-05,1.68E-03
cellular response to reactive oxygen species (GO:0034614),33,6,0.84,+,7.15,3.69E-04,1.16E-02
regulation of photomorphogenesis (GO:0010099),34,6,0.86,+,6.94,4.25E-04,1.29E-02
lipid oxidation (GO:0034440),51,9,1.3,+,6.94,1.60E-05,8.17E-04
vitamin metabolic process (GO:0006766),76,13,1.93,+,6.73,2.98E-07,2.27E-05
cellular response to red or far red light (GO:0071489),53,9,1.35,+,6.68,2.11E-05,1.03E-03
glutamine family amino acid metabolic process (GO:0009064),59,10,1.5,+,6.67,7.47E-06,4.13E-04
monocarboxylic acid catabolic process (GO:0072329),61,10,1.55,+,6.45,9.71E-06,5.26E-04
water-soluble vitamin biosynthetic process (GO:0042364),49,8,1.25,+,6.42,7.75E-05,3.00E-03
response to hydrogen peroxide (GO:0042542),74,12,1.88,+,6.38,1.40E-06,9.50E-05
response to far red light (GO:0010218),44,7,1.12,+,6.26,2.50E-04,8.44E-03
