GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (232)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cellular defense response (GO:0051245)	3	2	.03	+	78.91	6.87E-04	3.53E-02
regulation of plant-type hypersensitive response (GO:0010363)	20	4	.17	+	23.67	4.47E-05	2.80E-03
regulation of biological process involved in symbiotic interaction (GO:0043903)	22	4	.19	+	21.52	6.21E-05	3.77E-03
defense response by cell wall thickening (GO:0052482)	17	3	.14	+	20.89	5.95E-04	3.08E-02
systemic acquired resistance, salicylic acid mediated signaling pathway (GO:0009862)	19	3	.16	+	18.69	7.94E-04	4.01E-02
salicylic acid mediated signaling pathway (GO:0009863)	46	7	.39	+	18.01	2.94E-07	3.30E-05
plant-type hypersensitive response (GO:0009626)	46	7	.39	+	18.01	2.94E-07	3.24E-05
response to ozone (GO:0010193)	33	5	.28	+	17.93	1.58E-05	1.15E-03
pattern recognition receptor signaling pathway (GO:0002221)	20	3	.17	+	17.76	9.08E-04	4.51E-02
cellular response to hypoxia (GO:0071456)	234	35	1.98	+	17.71	2.87E-31	4.28E-28
programmed cell death induced by symbiont (GO:0034050)	47	7	.40	+	17.63	3.35E-07	3.56E-05
cellular response to decreased oxygen levels (GO:0036294)	236	35	1.99	+	17.55	3.74E-31	4.45E-28
cellular response to oxygen levels (GO:0071453)	237	35	2.00	+	17.48	4.26E-31	4.23E-28
biological process involved in interaction with symbiont (GO:0051702)	48	7	.41	+	17.26	3.81E-07	3.98E-05
response to hypoxia (GO:0001666)	260	36	2.20	+	16.39	4.42E-31	3.76E-28
response to chitin (GO:0010200)	138	19	1.17	+	16.30	8.25E-17	1.89E-14
response to decreased oxygen levels (GO:0036293)	264	36	2.23	+	16.14	7.18E-31	5.34E-28
response to oxygen levels (GO:0070482)	266	36	2.25	+	16.02	9.13E-31	6.04E-28
cellular response to salicylic acid stimulus (GO:0071446)	55	7	.46	+	15.07	8.79E-07	8.44E-05
induced systemic resistance (GO:0009682)	32	4	.27	+	14.80	2.29E-04	1.30E-02
response to molecule of bacterial origin (GO:0002237)	41	5	.35	+	14.44	4.09E-05	2.59E-03
response to absence of light (GO:0009646)	44	5	.37	+	13.45	5.58E-05	3.46E-03
protein complex oligomerization (GO:0051259)	54	6	.46	+	13.15	1.11E-05	8.71E-04
negative regulation of cell death (GO:0060548)	36	4	.30	+	13.15	3.46E-04	1.91E-02
response to reactive oxygen species (GO:0000302)	158	17	1.33	+	12.74	1.45E-13	2.53E-11
programmed cell death (GO:0012501)	78	8	.66	+	12.14	6.50E-07	6.45E-05
biological process involved in symbiotic interaction (GO:0044403)	70	7	.59	+	11.84	3.86E-06	3.34E-04
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	41	4	.35	+	11.55	5.46E-04	2.88E-02
response to hydrogen peroxide (GO:0042542)	72	7	.61	+	11.51	4.59E-06	3.85E-04
response to salicylic acid (GO:0009751)	155	15	1.31	+	11.46	1.64E-11	2.57E-09
systemic acquired resistance (GO:0009627)	64	6	.54	+	11.10	2.72E-05	1.84E-03
response to red light (GO:0010114)	66	6	.56	+	10.76	3.19E-05	2.06E-03
