GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (767),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
sulfate reduction (GO:0019419),4,4,0.11,+,35.8,0.0000347,0.0016
cellular response to sucrose starvation (GO:0043617),4,3,0.11,+,26.85,0.000644,0.0209
tyrosine catabolic process (GO:0006572),5,3,0.14,+,21.48,0.00101,0.0311
leucine catabolic process (GO:0006552),7,4,0.2,+,20.46,0.000153,0.0059
branched-chain amino acid catabolic process (GO:0009083),7,4,0.2,+,20.46,0.000153,0.00586
cellular response to sulfur starvation (GO:0010438),7,4,0.2,+,20.46,0.000153,0.00582
cellular response to glucose starvation (GO:0042149),6,3,0.17,+,17.9,0.00148,0.0412
nitrate assimilation (GO:0042128),11,4,0.31,+,13.02,0.000581,0.0194
nitrate metabolic process (GO:0042126),11,4,0.31,+,13.02,0.000581,0.0193
chlorophyll catabolic process (GO:0015996),14,5,0.39,+,12.79,0.000124,0.00499
cellular response to sulfate starvation (GO:0009970),14,5,0.39,+,12.79,0.000124,0.00496
pigment catabolic process (GO:0046149),15,5,0.42,+,11.93,0.000161,0.00605
glutamate metabolic process (GO:0006536),27,9,0.75,+,11.93,0.000000376,0.0000241
glutamine family amino acid catabolic process (GO:0009065),18,6,0.5,+,11.93,0.0000349,0.0016
response to absence of light (GO:0009646),45,14,1.26,+,11.14,4.56E-10,4.61E-08
response to nitrate (GO:0010167),33,10,0.92,+,10.85,0.000000176,0.0000119
branched-chain amino acid metabolic process (GO:0009081),20,6,0.56,+,10.74,0.0000571,0.00252
defense response to insect (GO:0002213),24,7,0.67,+,10.44,0.0000158,0.00078
reactive nitrogen species metabolic process (GO:2001057),14,4,0.39,+,10.23,0.00122,0.0359
dicarboxylic acid catabolic process (GO:0043649),14,4,0.39,+,10.23,0.00122,0.0357
response to nutrient (GO:0007584),14,4,0.39,+,10.23,0.00122,0.0355
cellular amino acid catabolic process (GO:0009063),95,26,2.65,+,9.8,2.17E-16,4.63E-14
sulfate assimilation (GO:0000103),22,6,0.61,+,9.76,0.0000891,0.00372
cellular response to oxygen levels (GO:0071453),240,64,6.7,+,9.55,5.4E-38,6.44E-35
nitrogen cycle metabolic process (GO:0071941),15,4,0.42,+,9.55,0.00151,0.0418
cellular response to decreased oxygen levels (GO:0036294),239,63,6.68,+,9.44,3.67E-37,3.13E-34
porphyrin-containing compound catabolic process (GO:0006787),19,5,0.53,+,9.42,0.000404,0.0139
tetrapyrrole catabolic process (GO:0033015),19,5,0.53,+,9.42,0.000404,0.0139
cellular response to hypoxia (GO:0071456),237,62,6.62,+,9.37,2.01E-36,1.33E-33
positive regulation of seed germination (GO:0010030),23,6,0.64,+,9.34,0.00011,0.00449
carboxylic acid catabolic process (GO:0046395),154,40,4.3,+,9.3,8.75E-24,2.61E-21
organic acid catabolic process (GO:0016054),163,42,4.55,+,9.23,8.5E-25,2.98E-22
fatty acid catabolic process (GO:0009062),44,11,1.23,+,8.95,0.000000223,0.0000148
alpha-amino acid catabolic process (GO:1901606),68,17,1.9,+,8.95,1.15E-10,1.24E-08
monocarboxylic acid catabolic process (GO:0072329),61,15,1.7,+,8.8,1.73E-09,0.000000169
response to oxygen levels (GO:0070482),269,66,7.51,+,8.78,2.86E-37,2.84E-34
fatty acid oxidation (GO:0019395),41,10,1.15,+,8.73,0.000000965,0.0000576
response to decreased oxygen levels (GO:0036293),267,65,7.46,+,8.72,1.53E-36,1.14E-33
response to hypoxia (GO:0001666),263,64,7.35,+,8.71,5.54E-36,3.01E-33
fatty acid beta-oxidation (GO:0006635),37,9,1.03,+,8.71,0.00000345,0.000194
toxin catabolic process (GO:0009407),46,11,1.28,+,8.56,0.000000328,0.0000213
aromatic amino acid family catabolic process (GO:0009074),21,5,0.59,+,8.52,0.000598,0.0196
toxin metabolic process (GO:0009404),60,14,1.68,+,8.35,1.07E-08,0.000000914
anion homeostasis (GO:0055081),26,6,0.73,+,8.26,0.000195,0.00724
response to hydrogen peroxide (GO:0042542),74,17,2.07,+,8.23,3.54E-10,3.64E-08
valine metabolic process (GO:0006573),22,5,0.61,+,8.14,0.000718,0.023
leucine metabolic process (GO:0006551),23,5,0.64,+,7.78,0.000855,0.027
cellular oxidant detoxification (GO:0098869),28,6,0.78,+,7.67,0.000277,0.00983
glutathione metabolic process (GO:0006749),77,16,2.15,+,7.44,4.1E-09,0.000000383
calcium ion transmembrane transport (GO:0070588),40,8,1.12,+,7.16,0.0000413,0.00187
jasmonic acid biosynthetic process (GO:0009695),25,5,0.7,+,7.16,0.00118,0.035
small molecule catabolic process (GO:0044282),239,47,6.68,+,7.04,2.86E-23,8.11E-21
lipid oxidation (GO:0034440),51,10,1.42,+,7.02,0.00000533,0.000294
cellular response to nitrogen starvation (GO:0006995),36,7,1.01,+,6.96,0.000146,0.00574
benzene-containing compound metabolic process (GO:0042537),58,11,1.62,+,6.79,0.00000241,0.00014
glutamine family amino acid metabolic process (GO:0009064),59,11,1.65,+,6.68,0.00000279,0.000158
protein complex oligomerization (GO:0051259),55,10,1.54,+,6.51,0.0000096,0.000485
peroxisome organization (GO:0007031),39,7,1.09,+,6.43,0.000226,0.00828
detoxification (GO:0098754),153,27,4.27,+,6.32,6.11E-13,7.59E-11
cellular response to starvation (GO:0009267),166,29,4.64,+,6.25,1.07E-13,1.51E-11
regulation of carbohydrate biosynthetic process (GO:0043255),54,9,1.51,+,5.97,0.0000491,0.00218
response to toxic substance (GO:0009636),176,29,4.92,+,5.9,3.93E-13,5.1E-11
cellular response to nutrient levels (GO:0031669),182,29,5.08,+,5.71,8.28E-13,9.88E-11
cellular response to nitrogen levels (GO:0043562),44,7,1.23,+,5.7,0.000435,0.0148
cellular response to water deprivation (GO:0042631),38,6,1.06,+,5.65,0.00116,0.0346
response to reactive oxygen species (GO:0000302),160,25,4.47,+,5.59,4.54E-11,5.11E-09
cellular response to water stimulus (GO:0071462),39,6,1.09,+,5.51,0.0013,0.037
cellular response to extracellular stimulus (GO:0031668),221,34,6.17,+,5.51,2.19E-14,3.62E-12
response to starvation (GO:0042594),202,31,5.64,+,5.49,3.27E-13,4.34E-11
cellular lipid catabolic process (GO:0044242),105,16,2.93,+,5.46,0.00000019,0.0000128
response to red light (GO:0010114),66,10,1.84,+,5.42,0.0000391,0.00178
cellular response to external stimulus (GO:0071496),227,34,6.34,+,5.36,4.37E-14,6.86E-12
phenol-containing compound metabolic process (GO:0018958),47,7,1.31,+,5.33,0.000621,0.0202
negative regulation of abscisic acid-activated signaling pathway (GO:0009788),54,8,1.51,+,5.3,0.000265,0.00958
negative regulation of cellular response to alcohol (GO:1905958),54,8,1.51,+,5.3,0.000265,0.00953
negative regulation of response to alcohol (GO:1901420),54,8,1.51,+,5.3,0.000265,0.00947
response to nutrient levels (GO:0031667),231,34,6.45,+,5.27,6.85E-14,1.05E-11
response to light intensity (GO:0009642),143,21,3.99,+,5.26,4.33E-09,0.000000398
negative regulation of transcription by RNA polymerase II (GO:0000122),41,6,1.15,+,5.24,0.00164,0.0449
response to extracellular stimulus (GO:0009991),271,39,7.57,+,5.15,1.89E-15,3.52E-13
cellular detoxification (GO:1990748),42,6,1.17,+,5.11,0.00183,0.0499
heat acclimation (GO:0010286),56,8,1.56,+,5.11,0.000331,0.0116
jasmonic acid metabolic process (GO:0009694),49,7,1.37,+,5.11,0.000776,0.0247
