GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (196)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cellular defense response (GO:0051245)	3	2	.02	+	93.41	4.93E-04	2.51E-02
regulation of plant-type hypersensitive response (GO:0010363)	20	4	.14	+	28.02	2.33E-05	1.63E-03
regulation of biological process involved in symbiotic interaction (GO:0043903)	22	4	.16	+	25.47	3.24E-05	2.21E-03
systemic acquired resistance, salicylic acid mediated signaling pathway (GO:0009862)	19	3	.14	+	22.12	4.89E-04	2.51E-02
salicylic acid mediated signaling pathway (GO:0009863)	46	7	.33	+	21.32	9.43E-08	1.10E-05
plant-type hypersensitive response (GO:0009626)	46	7	.33	+	21.32	9.43E-08	1.08E-05
response to ozone (GO:0010193)	33	5	.24	+	21.23	7.05E-06	5.60E-04
pattern recognition receptor signaling pathway (GO:0002221)	20	3	.14	+	21.02	5.59E-04	2.77E-02
programmed cell death induced by symbiont (GO:0034050)	47	7	.34	+	20.87	1.08E-07	1.19E-05
biological process involved in interaction with symbiont (GO:0051702)	48	7	.34	+	20.43	1.23E-07	1.30E-05
cellular response to hypoxia (GO:0071456)	234	34	1.67	+	20.36	1.44E-32	2.14E-29
cellular response to decreased oxygen levels (GO:0036294)	236	34	1.68	+	20.19	1.86E-32	1.84E-29
cellular response to oxygen levels (GO:0071453)	237	34	1.69	+	20.10	2.11E-32	1.80E-29
response to hypoxia (GO:0001666)	260	35	1.86	+	18.86	1.75E-32	2.09E-29
response to decreased oxygen levels (GO:0036293)	264	35	1.88	+	18.58	2.83E-32	2.11E-29
response to oxygen levels (GO:0070482)	266	35	1.90	+	18.44	3.58E-32	2.37E-29
defense response to Gram-negative bacterium (GO:0050829)	23	3	.16	+	18.28	8.08E-04	3.79E-02
response to chitin (GO:0010200)	138	18	.98	+	18.28	6.62E-17	1.58E-14
cellular response to salicylic acid stimulus (GO:0071446)	55	7	.39	+	17.83	2.85E-07	2.83E-05
induced systemic resistance (GO:0009682)	32	4	.23	+	17.51	1.21E-04	7.48E-03
response to molecule of bacterial origin (GO:0002237)	41	5	.29	+	17.09	1.84E-05	1.32E-03
response to absence of light (GO:0009646)	44	5	.31	+	15.92	2.51E-05	1.74E-03
protein complex oligomerization (GO:0051259)	54	6	.39	+	15.57	4.27E-06	3.48E-04
negative regulation of cell death (GO:0060548)	36	4	.26	+	15.57	1.83E-04	1.07E-02
response to reactive oxygen species (GO:0000302)	158	17	1.13	+	15.08	9.12E-15	1.87E-12
programmed cell death (GO:0012501)	78	8	.56	+	14.37	1.82E-07	1.87E-05
biological process involved in symbiotic interaction (GO:0044403)	70	7	.50	+	14.01	1.27E-06	1.20E-04
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	41	4	.29	+	13.67	2.90E-04	1.59E-02
response to hydrogen peroxide (GO:0042542)	72	7	.51	+	13.62	1.52E-06	1.41E-04
response to salicylic acid (GO:0009751)	155	15	1.11	+	13.56	1.48E-12	2.51E-10
regulation of cell death (GO:0010941)	89	8	.64	+	12.59	4.65E-07	4.54E-05
cell death (GO:0008219)	101	9	.72	+	12.49	9.40E-08	1.12E-05
negative regulation of defense response (GO:0031348)	69	6	.49	+	12.18	1.57E-05	1.17E-03
regulation of innate immune response (GO:0045088)	87	7	.62	+	11.27	4.90E-06	3.94E-04
response to organonitrogen compound (GO:0010243)	250	20	1.78	+	11.21	6.95E-15	1.48E-12
systemic acquired resistance (GO:0009627)	64	5	.46	+	10.95	1.32E-04	8.03E-03
defense response to symbiont (GO:0140546)	52	4	.37	+	10.78	6.74E-04	3.26E-02
defense response to virus (GO:0051607)	52	4	.37	+	10.78	6.74E-04	3.23E-02
innate immune response (GO:0045087)	156	12	1.11	+	10.78	3.08E-09	4.26E-07
response to red light (GO:0010114)	66	5	.47	+	10.61	1.51E-04	9.10E-03
positive regulation of innate immune response (GO:0045089)	53	4	.38	+	10.57	7.20E-04	3.43E-02
defense response to fungus (GO:0050832)	254	19	1.81	+	10.48	1.04E-13	1.94E-11
jasmonic acid mediated signaling pathway (GO:0009867)	71	5	.51	+	9.87	2.09E-04	1.21E-02
regulation of circadian rhythm (GO:0042752)	57	4	.41	+	9.83	9.31E-04	4.26E-02
response to nitrogen compound (GO:1901698)	309	21	2.21	+	9.52	2.90E-14	5.56E-12
toxin metabolic process (GO:0009404)	59	4	.42	+	9.50	1.05E-03	4.67E-02
defense response to oomycetes (GO:0002229)	74	5	.53	+	9.47	2.50E-04	1.41E-02
response to virus (GO:0009615)	90	6	.64	+	9.34	6.40E-05	4.19E-03
cellular response to jasmonic acid stimulus (GO:0071395)	75	5	.54	+	9.34	2.65E-04	1.48E-02
cellular response to fatty acid (GO:0071398)	79	5	.56	+	8.87	3.33E-04	1.77E-02
response to jasmonic acid (GO:0009753)	175	11	1.25	+	8.81	9.93E-08	1.12E-05
response to oomycetes (GO:0002239)	96	6	.69	+	8.76	8.98E-05	5.63E-03
response to fatty acid (GO:0070542)	179	11	1.28	+	8.61	1.23E-07	1.29E-05
cellular response to organic cyclic compound (GO:0071407)	132	8	.94	+	8.49	7.41E-06	5.73E-04
response to fungus (GO:0009620)	350	21	2.50	+	8.41	2.84E-13	5.12E-11
response to oxidative stress (GO:0006979)	456	27	3.25	+	8.30	1.21E-16	2.76E-14
response to organic cyclic compound (GO:0014070)	281	16	2.01	+	7.98	4.46E-10	6.47E-08
regulation of cellular response to stress (GO:0080135)	88	5	.63	+	7.96	5.33E-04	2.67E-02
defense response to bacterium (GO:0042742)	423	24	3.02	+	7.95	1.63E-14	3.23E-12
leaf senescence (GO:0010150)	109	6	.78	+	7.71	1.74E-04	1.03E-02
regulation of response to biotic stimulus (GO:0002831)	190	10	1.36	+	7.37	1.78E-06	1.58E-04
plant organ senescence (GO:0090693)	115	6	.82	+	7.31	2.29E-04	1.31E-02
response to bacterium (GO:0009617)	518	27	3.70	+	7.30	2.36E-15	5.21E-13
aging (GO:0007568)	135	7	.96	+	7.27	7.15E-05	4.63E-03
regulation of response to external stimulus (GO:0032101)	195	10	1.39	+	7.19	2.22E-06	1.94E-04
positive regulation of defense response (GO:0031349)	98	5	.70	+	7.15	8.48E-04	3.94E-02
response to light intensity (GO:0009642)	139	7	.99	+	7.06	8.52E-05	5.40E-03
regulation of immune response (GO:0050776)	199	10	1.42	+	7.04	2.64E-06	2.24E-04
regulation of immune system process (GO:0002682)	199	10	1.42	+	7.04	2.64E-06	2.21E-04
defense response to other organism (GO:0098542)	818	41	5.84	+	7.02	1.97E-22	5.58E-20
immune response (GO:0006955)	824	41	5.88	+	6.97	2.55E-22	6.90E-20
abscisic acid-activated signaling pathway (GO:0009738)	101	5	.72	+	6.94	9.65E-04	4.32E-02
cellular response to chemical stimulus (GO:0070887)	1092	54	7.79	+	6.93	1.88E-29	1.12E-26
immune system process (GO:0002376)	836	41	5.97	+	6.87	4.25E-22	1.10E-19
regulation of defense response (GO:0031347)	267	13	1.91	+	6.82	1.15E-07	1.25E-05
response to heat (GO:0009408)	234	11	1.67	+	6.59	1.54E-06	1.39E-04
response to external biotic stimulus (GO:0043207)	1105	50	7.89	+	6.34	1.59E-25	7.28E-23
response to other organism (GO:0051707)	1105	50	7.89	+	6.34	1.59E-25	6.76E-23
response to biotic stimulus (GO:0009607)	1107	50	7.90	+	6.33	1.72E-25	6.81E-23
response to ethylene (GO:0009723)	156	7	1.11	+	6.29	1.69E-04	1.01E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1117	50	7.97	+	6.27	2.52E-25	9.40E-23
defense response (GO:0006952)	961	43	6.86	+	6.27	1.03E-21	2.57E-19
cellular response to stress (GO:0033554)	1129	50	8.06	+	6.21	3.99E-25	1.40E-22
regulation of response to stress (GO:0080134)	399	17	2.85	+	5.97	8.19E-09	1.11E-06
