GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (1068),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
sulfate reduction (GO:0019419),4,4,0.16,+,25.71,0.000121,0.00395
tyrosine catabolic process (GO:0006572),5,4,0.19,+,20.57,0.000212,0.00647
cellular response to sucrose starvation (GO:0043617),4,3,0.16,+,19.29,0.00163,0.0358
leucine catabolic process (GO:0006552),7,5,0.27,+,18.37,0.0000463,0.00174
branched-chain amino acid catabolic process (GO:0009083),7,5,0.27,+,18.37,0.0000463,0.00173
ammonia assimilation cycle (GO:0019676),6,4,0.23,+,17.14,0.000342,0.00986
nitrogen utilization (GO:0019740),7,4,0.27,+,14.69,0.000522,0.0141
cellular response to sulfur starvation (GO:0010438),7,4,0.27,+,14.69,0.000522,0.014
PSII associated light-harvesting complex II catabolic process (GO:0010304),8,4,0.31,+,12.86,0.00076,0.0189
glutamate metabolic process (GO:0006536),27,11,1.05,+,10.48,9.13E-08,0.00000605
riboflavin metabolic process (GO:0006771),11,4,0.43,+,9.35,0.00191,0.0402
riboflavin biosynthetic process (GO:0009231),11,4,0.43,+,9.35,0.00191,0.0401
nitrate assimilation (GO:0042128),11,4,0.43,+,9.35,0.00191,0.0399
nitrate metabolic process (GO:0042126),11,4,0.43,+,9.35,0.00191,0.0398
phosphate ion homeostasis (GO:0055062),17,6,0.66,+,9.08,0.000158,0.00508
trivalent inorganic anion homeostasis (GO:0072506),17,6,0.66,+,9.08,0.000158,0.00505
protoporphyrinogen IX biosynthetic process (GO:0006782),15,5,0.58,+,8.57,0.000706,0.0178
flavin-containing compound biosynthetic process (GO:0042727),12,4,0.47,+,8.57,0.00248,0.0494
tyrosine metabolic process (GO:0006570),12,4,0.47,+,8.57,0.00248,0.0493
L-phenylalanine catabolic process (GO:0006559),12,4,0.47,+,8.57,0.00248,0.0491
secondary alcohol metabolic process (GO:1902652),12,4,0.47,+,8.57,0.00248,0.0489
isocitrate metabolic process (GO:0006102),12,4,0.47,+,8.57,0.00248,0.0488
protoporphyrinogen IX metabolic process (GO:0046501),15,5,0.58,+,8.57,0.000706,0.0178
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222),12,4,0.47,+,8.57,0.00248,0.0486
glutamine family amino acid catabolic process (GO:0009065),18,6,0.7,+,8.57,0.000205,0.00629
fatty acid beta-oxidation (GO:0006635),37,12,1.44,+,8.34,0.000000183,0.0000115
fatty acid catabolic process (GO:0009062),44,14,1.71,+,8.18,2.12E-08,0.00000153
fatty acid oxidation (GO:0019395),41,13,1.59,+,8.15,7.02E-08,0.00000475
glutamine metabolic process (GO:0006541),16,5,0.62,+,8.04,0.000898,0.0215
anion homeostasis (GO:0055081),26,8,1.01,+,7.91,0.0000286,0.00113
cellular amino acid catabolic process (GO:0009063),95,29,3.69,+,7.85,1.59E-15,2.11E-13
branched-chain amino acid metabolic process (GO:0009081),20,6,0.78,+,7.71,0.000328,0.00959
carboxylic acid catabolic process (GO:0046395),154,46,5.99,+,7.68,1.7E-23,6.78E-21
monocarboxylic acid catabolic process (GO:0072329),61,18,2.37,+,7.59,5.75E-10,5.44E-08
organic acid catabolic process (GO:0016054),163,47,6.34,+,7.41,1.95E-23,7.29E-21
aromatic amino acid family catabolic process (GO:0009074),21,6,0.82,+,7.35,0.000409,0.0114
malate metabolic process (GO:0006108),18,5,0.7,+,7.14,0.0014,0.0314
lipid oxidation (GO:0034440),51,14,1.98,+,7.06,0.0000001,0.00000656
heme biosynthetic process (GO:0006783),22,6,0.86,+,7.01,0.000504,0.0137
sulfate assimilation (GO:0000103),22,6,0.86,+,7.01,0.000504,0.0137
response to nitrate (GO:0010167),33,9,1.28,+,7.01,0.0000204,0.00084
toxin metabolic process (GO:0009404),60,16,2.33,+,6.86,1.74E-08,0.00000128
alpha-amino acid catabolic process (GO:1901606),68,18,2.64,+,6.81,2.49E-09,0.000000215
negative regulation of phosphorelay signal transduction system (GO:0070298),19,5,0.74,+,6.77,0.00171,0.0371
negative regulation of ethylene-activated signaling pathway (GO:0010105),19,5,0.74,+,6.77,0.00171,0.0369
toxin catabolic process (GO:0009407),46,12,1.79,+,6.71,0.00000129,0.0000695
leucine metabolic process (GO:0006551),23,6,0.89,+,6.71,0.000615,0.016
aerobic electron transport chain (GO:0019646),44,11,1.71,+,6.43,0.00000507,0.000246
response to molecule of fungal origin (GO:0002238),20,5,0.78,+,6.43,0.00207,0.0424
translational elongation (GO:0006414),36,9,1.4,+,6.43,0.0000367,0.00141
cellular oxidant detoxification (GO:0098869),28,7,1.09,+,6.43,0.000271,0.00808
response to absence of light (GO:0009646),45,11,1.75,+,6.29,0.0000061,0.000286
jasmonic acid biosynthetic process (GO:0009695),25,6,0.97,+,6.17,0.000895,0.0215
tricarboxylic acid cycle (GO:0006099),46,11,1.79,+,6.15,0.0000073,0.000338
glutathione metabolic process (GO:0006749),77,18,2.99,+,6.01,1.32E-08,0.00000101
mitochondrial ATP synthesis coupled electron transport (GO:0042775),44,10,1.71,+,5.84,0.0000277,0.0011
small molecule catabolic process (GO:0044282),239,54,9.29,+,5.81,1.85E-22,6.49E-20
hydrogen peroxide catabolic process (GO:0042744),31,7,1.21,+,5.81,0.000461,0.0127
oxidative phosphorylation (GO:0006119),62,14,2.41,+,5.81,0.000000769,0.0000425
calcium ion transmembrane transport (GO:0070588),40,9,1.56,+,5.79,0.0000744,0.00258
heme metabolic process (GO:0042168),27,6,1.05,+,5.71,0.00126,0.0289
vitamin biosynthetic process (GO:0009110),59,13,2.29,+,5.67,0.00000241,0.000125
glutamine family amino acid metabolic process (GO:0009064),59,13,2.29,+,5.67,0.00000241,0.000124
dicarboxylic acid metabolic process (GO:0043648),89,19,3.46,+,5.49,1.88E-08,0.00000136
xenobiotic transport (GO:0042908),52,11,2.02,+,5.44,0.0000199,0.000834
ATP synthesis coupled electron transport (GO:0042773),52,11,2.02,+,5.44,0.0000199,0.000828
vitamin metabolic process (GO:0006766),76,16,2.96,+,5.41,0.00000029,0.0000173
cellular response to toxic substance (GO:0097237),43,9,1.67,+,5.38,0.00012,0.00397
detoxification (GO:0098754),153,32,5.95,+,5.38,4.54E-13,5.21E-11
regulation of phosphorelay signal transduction system (GO:0070297),29,6,1.13,+,5.32,0.00174,0.0374
regulation of ethylene-activated signaling pathway (GO:0010104),29,6,1.13,+,5.32,0.00174,0.0373
water-soluble vitamin biosynthetic process (GO:0042364),49,10,1.91,+,5.25,0.0000614,0.00219
respiratory electron transport chain (GO:0022904),59,12,2.29,+,5.23,0.0000119,0.000513
