GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (1180),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
regulation of steroid metabolic process (GO:0019218),6,4,0.26,+,15.52,0.000493,0.021
cell-cell junction assembly (GO:0007043),6,4,0.26,+,15.52,0.000493,0.0209
hydrogen peroxide transmembrane transport (GO:0080170),6,4,0.26,+,15.52,0.000493,0.0207
cell junction assembly (GO:0034329),7,4,0.3,+,13.3,0.00075,0.0292
indole glucosinolate metabolic process (GO:0042343),18,7,0.77,+,9.05,0.0000495,0.00356
syncytium formation (GO:0006949),16,6,0.69,+,8.73,0.000204,0.0106
suberin biosynthetic process (GO:0010345),22,8,0.95,+,8.46,0.0000211,0.00161
leucine biosynthetic process (GO:0009098),14,5,0.6,+,8.31,0.000844,0.0321
xylan catabolic process (GO:0045493),16,5,0.69,+,7.27,0.00138,0.0492
oligopeptide transport (GO:0006857),26,8,1.12,+,7.16,0.0000565,0.00397
peptide transport (GO:0015833),26,8,1.12,+,7.16,0.0000565,0.00392
cellular polysaccharide catabolic process (GO:0044247),20,6,0.86,+,6.98,0.000547,0.0222
xyloglucan metabolic process (GO:0010411),59,17,2.54,+,6.71,9.72E-09,0.00000207
S-glycoside biosynthetic process (GO:0016144),41,11,1.76,+,6.24,0.00000707,0.000692
glucosinolate biosynthetic process (GO:0019761),41,11,1.76,+,6.24,0.00000707,0.00068
glycosinolate biosynthetic process (GO:0019758),41,11,1.76,+,6.24,0.00000707,0.00067
"photosynthesis, light harvesting in photosystem I (GO:0009768)",24,6,1.03,+,5.82,0.00122,0.0443
hemicellulose metabolic process (GO:0010410),113,26,4.86,+,5.35,9.11E-11,6.04E-08
amide transport (GO:0042886),44,10,1.89,+,5.29,0.0000621,0.00426
phenylpropanoid metabolic process (GO:0009698),110,25,4.73,+,5.29,2.61E-10,0.00000012
lignin metabolic process (GO:0009808),53,12,2.28,+,5.27,0.0000121,0.00111
glycosyl compound biosynthetic process (GO:1901659),50,11,2.15,+,5.12,0.0000349,0.00254
phenylpropanoid biosynthetic process (GO:0009699),88,19,3.78,+,5.02,7.26E-08,0.000012
