GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (440)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cytokinin-activated signaling pathway (GO:0080037)	5	3	.08	+	37.45	2.06E-04	9.49E-03
vitamin E metabolic process (GO:0042360)	9	3	.14	+	20.80	7.71E-04	3.00E-02
calcium ion import (GO:0070509)	9	3	.14	+	20.80	7.71E-04	2.98E-02
vitamin E biosynthetic process (GO:0010189)	9	3	.14	+	20.80	7.71E-04	2.96E-02
fat-soluble vitamin metabolic process (GO:0006775)	10	3	.16	+	18.72	9.90E-04	3.69E-02
fat-soluble vitamin biosynthetic process (GO:0042362)	10	3	.16	+	18.72	9.90E-04	3.66E-02
reductive pentose-phosphate cycle (GO:0019253)	14	4	.22	+	17.83	1.57E-04	7.52E-03
glutamine family amino acid catabolic process (GO:0009065)	18	5	.29	+	17.34	2.54E-05	1.50E-03
glutamate catabolic process (GO:0006538)	11	3	.18	+	17.02	1.25E-03	4.52E-02
photosynthesis, dark reaction (GO:0019685)	15	4	.24	+	16.64	1.96E-04	9.19E-03
carbon fixation (GO:0015977)	16	4	.26	+	15.60	2.42E-04	1.10E-02
response to chitin (GO:0010200)	138	32	2.21	+	14.47	3.79E-25	1.88E-22
photosystem II assembly (GO:0010207)	26	5	.42	+	12.00	1.15E-04	5.78E-03
glutamate metabolic process (GO:0006536)	27	5	.43	+	11.56	1.35E-04	6.65E-03
cellular response to oxygen levels (GO:0071453)	237	42	3.80	+	11.06	1.41E-28	1.40E-25
defense response to Gram-negative bacterium (GO:0050829)	23	4	.37	+	10.85	8.03E-04	3.06E-02
cellular response to decreased oxygen levels (GO:0036294)	236	41	3.78	+	10.84	1.27E-27	9.46E-25
cellular response to hypoxia (GO:0071456)	234	40	3.75	+	10.67	9.79E-27	5.83E-24
response to oxygen levels (GO:0070482)	266	43	4.26	+	10.09	8.47E-28	7.21E-25
response to absence of light (GO:0009646)	44	7	.70	+	9.93	1.47E-05	9.52E-04
response to decreased oxygen levels (GO:0036293)	264	42	4.23	+	9.93	6.28E-27	4.16E-24
response to hypoxia (GO:0001666)	260	41	4.17	+	9.84	3.54E-26	1.92E-23
response to hydrogen peroxide (GO:0042542)	72	11	1.15	+	9.54	7.71E-08	8.66E-06
regulation of phenylpropanoid metabolic process (GO:2000762)	27	4	.43	+	9.25	1.37E-03	4.91E-02
alpha-amino acid catabolic process (GO:1901606)	68	10	1.09	+	9.18	4.15E-07	4.12E-05
response to organonitrogen compound (GO:0010243)	250	35	4.01	+	8.74	5.49E-21	1.82E-18
response to high light intensity (GO:0009644)	60	8	.96	+	8.32	1.16E-05	8.03E-04
cellular response to water deprivation (GO:0042631)	38	5	.61	+	8.21	5.60E-04	2.32E-02
cellular response to water stimulus (GO:0071462)	39	5	.62	+	8.00	6.24E-04	2.51E-02
ethylene-activated signaling pathway (GO:0009873)	55	7	.88	+	7.94	5.38E-05	2.86E-03
response to nitrogen compound (GO:1901698)	309	39	4.95	+	7.88	8.32E-22	3.09E-19
porphyrin-containing compound biosynthetic process (GO:0006779)	48	6	.77	+	7.80	2.02E-04	9.42E-03
cellular amino acid catabolic process (GO:0009063)	89	11	1.43	+	7.71	5.32E-07	5.20E-05
regulation of circadian rhythm (GO:0042752)	57	7	.91	+	7.66	6.62E-05	3.46E-03
response to molecule of bacterial origin (GO:0002237)	41	5	.66	+	7.61	7.68E-04	3.03E-02
chlorophyll biosynthetic process (GO:0015995)	41	5	.66	+	7.61	7.68E-04	3.01E-02
