GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (242)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cellular defense response (GO:0051245)	3	2	.03	+	75.65	7.47E-04	3.47E-02
negative regulation of cytokinin-activated signaling pathway (GO:0080037)	5	3	.04	+	68.09	3.57E-05	2.13E-03
glutamine family amino acid catabolic process (GO:0009065)	18	5	.16	+	31.52	1.44E-06	1.13E-04
glutamate catabolic process (GO:0006538)	11	3	.10	+	30.95	2.23E-04	1.25E-02
response to chitin (GO:0010200)	138	31	1.22	+	25.49	5.56E-32	2.76E-29
dicarboxylic acid catabolic process (GO:0043649)	14	3	.12	+	24.32	4.09E-04	2.14E-02
regulation of cytokinin-activated signaling pathway (GO:0080036)	15	3	.13	+	22.70	4.88E-04	2.50E-02
glutamate metabolic process (GO:0006536)	27	5	.24	+	21.01	8.11E-06	5.48E-04
immune effector process (GO:0002252)	18	3	.16	+	18.91	7.79E-04	3.57E-02
cellular response to oxygen levels (GO:0071453)	237	39	2.09	+	18.67	1.72E-35	2.55E-32
cellular response to decreased oxygen levels (GO:0036294)	236	38	2.08	+	18.27	2.83E-34	2.11E-31
response to absence of light (GO:0009646)	44	7	.39	+	18.05	2.97E-07	2.72E-05
cellular response to hypoxia (GO:0071456)	234	37	2.06	+	17.94	3.99E-33	2.38E-30
response to oxygen levels (GO:0070482)	266	40	2.34	+	17.06	5.13E-35	6.11E-32
regulation of phenylpropanoid metabolic process (GO:2000762)	27	4	.24	+	16.81	1.48E-04	8.58E-03
response to decreased oxygen levels (GO:0036293)	264	39	2.33	+	16.76	6.99E-34	4.63E-31
response to hypoxia (GO:0001666)	260	38	2.29	+	16.59	7.26E-33	3.93E-30
response to organonitrogen compound (GO:0010243)	250	34	2.20	+	15.43	1.61E-28	6.37E-26
ethylene-activated signaling pathway (GO:0009873)	55	7	.48	+	14.44	1.16E-06	9.35E-05
response to nitrogen compound (GO:1901698)	309	38	2.72	+	13.96	2.37E-30	1.09E-27
response to molecule of bacterial origin (GO:0002237)	41	5	.36	+	13.84	4.99E-05	2.92E-03
response to hydrogen peroxide (GO:0042542)	72	8	.63	+	12.61	5.09E-07	4.27E-05
cellular response to ethylene stimulus (GO:0071369)	63	7	.56	+	12.61	2.67E-06	1.96E-04
glutamine family amino acid metabolic process (GO:0009064)	58	6	.51	+	11.74	2.05E-05	1.27E-03
alpha-amino acid catabolic process (GO:1901606)	68	7	.60	+	11.68	4.26E-06	3.09E-04
olefinic compound biosynthetic process (GO:0120255)	39	4	.34	+	11.64	5.36E-04	2.60E-02
protein complex oligomerization (GO:0051259)	54	5	.48	+	10.51	1.66E-04	9.52E-03
cellular amino acid catabolic process (GO:0009063)	89	8	.78	+	10.20	2.23E-06	1.66E-04
response to reactive oxygen species (GO:0000302)	158	14	1.39	+	10.06	4.02E-10	5.57E-08
regulation of circadian rhythm (GO:0042752)	57	5	.50	+	9.95	2.10E-04	1.19E-02
phosphorelay signal transduction system (GO:0000160)	83	7	.73	+	9.57	1.44E-05	9.19E-04
response to wounding (GO:0009611)	238	20	2.10	+	9.54	1.59E-13	3.39E-11
response to light intensity (GO:0009642)	139	11	1.22	+	8.98	9.22E-08	9.00E-06
response to salicylic acid (GO:0009751)	155	12	1.37	+	8.79	2.99E-08	3.06E-06
negative regulation of signal transduction (GO:0009968)	106	8	.93	+	8.56	7.49E-06	5.13E-04
leaf senescence (GO:0010150)	109	8	.96	+	8.33	9.08E-06	6.07E-04
negative regulation of cell communication (GO:0010648)	110	8	.97	+	8.25	9.67E-06	6.39E-04
negative regulation of signaling (GO:0023057)	110	8	.97	+	8.25	9.67E-06	6.32E-04
negative regulation of defense response (GO:0031348)	69	5	.61	+	8.22	4.81E-04	2.49E-02
plant organ senescence (GO:0090693)	115	8	1.01	+	7.89	1.31E-05	8.48E-04
organic acid catabolic process (GO:0016054)	160	11	1.41	+	7.80	3.48E-07	3.05E-05
indole-containing compound metabolic process (GO:0042430)	73	5	.64	+	7.77	6.13E-04	2.90E-02
carboxylic acid catabolic process (GO:0046395)	146	10	1.29	+	7.77	1.24E-06	9.80E-05
aging (GO:0007568)	135	9	1.19	+	7.57	5.21E-06	3.70E-04
response to ethylene (GO:0009723)	156	10	1.37	+	7.27	2.17E-06	1.66E-04
response to oxidative stress (GO:0006979)	456	29	4.02	+	7.22	4.22E-16	1.05E-13
defense response to fungus (GO:0050832)	254	16	2.24	+	7.15	2.37E-09	3.01E-07
response to jasmonic acid (GO:0009753)	175	11	1.54	+	7.13	8.04E-07	6.65E-05
response to salt stress (GO:0009651)	450	28	3.97	+	7.06	2.36E-15	5.62E-13
response to fatty acid (GO:0070542)	179	11	1.58	+	6.97	9.92E-07	8.09E-05
negative regulation of response to stimulus (GO:0048585)	226	13	1.99	+	6.53	2.09E-07	2.01E-05
response to fungus (GO:0009620)	350	20	3.08	+	6.48	1.15E-10	1.67E-08
