GO biological process complete,Arabidopsis thaliana - REFLIST (27462),upload_1 (198),expected,over/under,foldenrich,rawPvalue,FDR
negative regulation of anion channel activity by blue light (GO:0010362),2,2,0.01,+,100,0.000303,0.0261
regulation of anion channel activity by blue light (GO:0010361),2,2,0.01,+,100,0.000303,0.0258
negative regulation of ion transmembrane transport (GO:0034766),3,2,0.02,+,92.46,0.000503,0.0399
negative regulation of transmembrane transport (GO:0034763),3,2,0.02,+,92.46,0.000503,0.0394
negative regulation of ion transmembrane transporter activity (GO:0032413),3,2,0.02,+,92.46,0.000503,0.0389
negative regulation of transporter activity (GO:0032410),3,2,0.02,+,92.46,0.000503,0.0384
negative regulation of anion transmembrane transport (GO:1903960),3,2,0.02,+,92.46,0.000503,0.0379
negative regulation of anion channel activity (GO:0010360),3,2,0.02,+,92.46,0.000503,0.0374
negative regulation of anion transport (GO:1903792),3,2,0.02,+,92.46,0.000503,0.0369
ammonium ion metabolic process (GO:0097164),4,2,0.03,+,69.35,0.00075,0.048
vitamin E metabolic process (GO:0042360),9,3,0.06,+,46.23,0.0000758,0.00921
vitamin E biosynthetic process (GO:0010189),9,3,0.06,+,46.23,0.0000758,0.00902
fat-soluble vitamin metabolic process (GO:0006775),10,3,0.07,+,41.61,0.000098,0.011
fat-soluble vitamin biosynthetic process (GO:0042362),10,3,0.07,+,41.61,0.000098,0.0108
reductive pentose-phosphate cycle (GO:0019253),14,4,0.1,+,39.63,0.00000721,0.00172
"photosynthesis, dark reaction (GO:0019685)",15,4,0.11,+,36.99,0.00000908,0.00208
carbon fixation (GO:0015977),16,4,0.12,+,34.67,0.0000113,0.0024
regulation of stomatal complex development (GO:2000038),15,3,0.11,+,27.74,0.000272,0.0238
photosystem II assembly (GO:0010207),26,4,0.19,+,21.34,0.0000603,0.00835
intracellular receptor signaling pathway (GO:0030522),21,3,0.15,+,19.81,0.000654,0.0443
blue light signaling pathway (GO:0009785),21,3,0.15,+,19.81,0.000654,0.0438
establishment of plastid localization (GO:0051667),30,4,0.22,+,18.49,0.0000998,0.0108
chloroplast relocation (GO:0009902),30,4,0.22,+,18.49,0.0000998,0.0106
plastid localization (GO:0051644),31,4,0.22,+,17.90,0.000112,0.0115
chloroplast localization (GO:0019750),31,4,0.22,+,17.90,0.000112,0.0113
chlorophyll biosynthetic process (GO:0015995),41,5,0.3,+,16.91,0.0000193,0.00371
glucose metabolic process (GO:0006006),42,5,0.3,+,16.51,0.0000215,0.00376
chlorophyll metabolic process (GO:0015994),60,7,0.43,+,16.18,0.000000524,0.000208
cellular response to water deprivation (GO:0042631),38,4,0.27,+,14.60,0.00023,0.0208
porphyrin-containing compound biosynthetic process (GO:0006779),48,5,0.35,+,14.45,0.0000388,0.00624
cellular response to water stimulus (GO:0071462),39,4,0.28,+,14.23,0.000253,0.0225
tetrapyrrole biosynthetic process (GO:0033014),52,5,0.37,+,13.34,0.0000553,0.00784
porphyrin-containing compound metabolic process (GO:0006778),73,7,0.53,+,13.30,0.00000177,0.000554
tetrapyrrole metabolic process (GO:0033013),75,7,0.54,+,12.95,0.00000209,0.000566
photosynthesis (GO:0015979),188,16,1.36,+,11.80,1.87E-12,3.71E-09
vitamin biosynthetic process (GO:0009110),59,5,0.43,+,11.75,0.0000967,0.0111
vitamin metabolic process (GO:0006766),72,6,0.52,+,11.56,0.0000209,0.00388
glycosyl compound biosynthetic process (GO:1901659),48,4,0.35,+,11.56,0.000527,0.0383
response to high light intensity (GO:0009644),60,5,0.43,+,11.56,0.000104,0.0109
"photosynthesis, light reaction (GO:0019684)",127,10,0.92,+,10.92,5.87E-08,0.0000349
circadian rhythm (GO:0007623),115,7,0.83,+,8.44,0.000029,0.00493
rhythmic process (GO:0048511),115,7,0.83,+,8.44,0.000029,0.00479
hexose metabolic process (GO:0019318),87,5,0.63,+,7.97,0.000531,0.0381
monosaccharide metabolic process (GO:0005996),123,7,0.89,+,7.89,0.0000435,0.00682
response to blue light (GO:0009637),89,5,0.64,+,7.79,0.000586,0.041
establishment of organelle localization (GO:0051656),92,5,0.66,+,7.54,0.000676,0.0447
cellular response to environmental stimulus (GO:0104004),189,10,1.36,+,7.34,0.00000186,0.000554
cellular response to abiotic stimulus (GO:0071214),189,10,1.36,+,7.34,0.00000186,0.000527
pigment metabolic process (GO:0042440),137,6,0.99,+,6.07,0.000591,0.0409
sulfur compound biosynthetic process (GO:0044272),141,6,1.02,+,5.90,0.000683,0.0447
response to cadmium ion (GO:0046686),313,13,2.26,+,5.76,0.000000731,0.000272
generation of precursor metabolites and energy (GO:0006091),374,14,2.7,+,5.19,0.000000895,0.000314
response to light stimulus (GO:0009416),714,26,5.15,+,5.05,2.54E-11,3.78E-08
response to radiation (GO:0009314),738,26,5.32,+,4.89,5.1E-11,6.07E-08
carbohydrate catabolic process (GO:0016052),233,8,1.68,+,4.76,0.000363,0.03
response to cold (GO:0009409),417,14,3.01,+,4.66,0.00000306,0.000791
chloroplast organization (GO:0009658),240,8,1.73,+,4.62,0.000439,0.0358
defense response to bacterium (GO:0042742),423,14,3.05,+,4.59,0.00000358,0.000889
plastid organization (GO:0009657),313,10,2.26,+,4.43,0.00012,0.0115
response to temperature stimulus (GO:0009266),630,20,4.54,+,4.40,5.23E-08,0.0000346
response to bacterium (GO:0009617),518,16,3.73,+,4.28,0.00000169,0.00056
response to metal ion (GO:0010038),432,13,3.11,+,4.17,0.0000213,0.00384
carbohydrate biosynthetic process (GO:0016051),307,9,2.21,+,4.07,0.000482,0.0388
response to abiotic stimulus (GO:0009628),2150,59,15.5,+,3.81,1.92E-19,5.72E-16
response to inorganic substance (GO:0010035),931,23,6.71,+,3.43,0.0000004,0.00017
small molecule biosynthetic process (GO:0044283),617,15,4.45,+,3.37,0.0000548,0.00795
immune system process (GO:0002376),836,18,6.03,+,2.99,0.0000463,0.00706
defense response to other organism (GO:0098542),818,17,5.9,+,2.88,0.000115,0.0114
immune response (GO:0006955),824,17,5.94,+,2.86,0.000125,0.0118
response to external stimulus (GO:0009605),1528,31,11.02,+,2.81,0.00000024,0.00011
carboxylic acid metabolic process (GO:0019752),845,17,6.09,+,2.79,0.000168,0.0156
oxoacid metabolic process (GO:0043436),947,19,6.83,+,2.78,0.0000712,0.00902
