GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (198)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of anion channel activity by blue light (GO:0010362)	2	2	.01	+	 > 100	3.03E-04	2.61E-02
regulation of anion channel activity by blue light (GO:0010361)	2	2	.01	+	 > 100	3.03E-04	2.58E-02
negative regulation of ion transmembrane transport (GO:0034766)	3	2	.02	+	92.46	5.03E-04	3.99E-02
negative regulation of transmembrane transport (GO:0034763)	3	2	.02	+	92.46	5.03E-04	3.94E-02
negative regulation of ion transmembrane transporter activity (GO:0032413)	3	2	.02	+	92.46	5.03E-04	3.89E-02
negative regulation of transporter activity (GO:0032410)	3	2	.02	+	92.46	5.03E-04	3.84E-02
negative regulation of anion transmembrane transport (GO:1903960)	3	2	.02	+	92.46	5.03E-04	3.79E-02
negative regulation of anion channel activity (GO:0010360)	3	2	.02	+	92.46	5.03E-04	3.74E-02
negative regulation of anion transport (GO:1903792)	3	2	.02	+	92.46	5.03E-04	3.69E-02
ammonium ion metabolic process (GO:0097164)	4	2	.03	+	69.35	7.50E-04	4.80E-02
vitamin E metabolic process (GO:0042360)	9	3	.06	+	46.23	7.58E-05	9.21E-03
vitamin E biosynthetic process (GO:0010189)	9	3	.06	+	46.23	7.58E-05	9.02E-03
fat-soluble vitamin metabolic process (GO:0006775)	10	3	.07	+	41.61	9.80E-05	1.10E-02
fat-soluble vitamin biosynthetic process (GO:0042362)	10	3	.07	+	41.61	9.80E-05	1.08E-02
reductive pentose-phosphate cycle (GO:0019253)	14	4	.10	+	39.63	7.21E-06	1.72E-03
photosynthesis, dark reaction (GO:0019685)	15	4	.11	+	36.99	9.08E-06	2.08E-03
carbon fixation (GO:0015977)	16	4	.12	+	34.67	1.13E-05	2.40E-03
regulation of stomatal complex development (GO:2000038)	15	3	.11	+	27.74	2.72E-04	2.38E-02
photosystem II assembly (GO:0010207)	26	4	.19	+	21.34	6.03E-05	8.35E-03
intracellular receptor signaling pathway (GO:0030522)	21	3	.15	+	19.81	6.54E-04	4.43E-02
blue light signaling pathway (GO:0009785)	21	3	.15	+	19.81	6.54E-04	4.38E-02
establishment of plastid localization (GO:0051667)	30	4	.22	+	18.49	9.98E-05	1.08E-02
chloroplast relocation (GO:0009902)	30	4	.22	+	18.49	9.98E-05	1.06E-02
plastid localization (GO:0051644)	31	4	.22	+	17.90	1.12E-04	1.15E-02
chloroplast localization (GO:0019750)	31	4	.22	+	17.90	1.12E-04	1.13E-02
chlorophyll biosynthetic process (GO:0015995)	41	5	.30	+	16.91	1.93E-05	3.71E-03
glucose metabolic process (GO:0006006)	42	5	.30	+	16.51	2.15E-05	3.76E-03
chlorophyll metabolic process (GO:0015994)	60	7	.43	+	16.18	5.24E-07	2.08E-04
cellular response to water deprivation (GO:0042631)	38	4	.27	+	14.60	2.30E-04	2.08E-02
porphyrin-containing compound biosynthetic process (GO:0006779)	48	5	.35	+	14.45	3.88E-05	6.24E-03
cellular response to water stimulus (GO:0071462)	39	4	.28	+	14.23	2.53E-04	2.25E-02
