GO biological process complete	Arabidopsis thaliana - REFLIST (27462)	upload_1 (55)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to chitin (GO:0010200)	138	8	.28	+	28.95	5.11E-10	2.34E-07
cellular response to hypoxia (GO:0071456)	234	13	.47	+	27.74	1.86E-15	1.11E-11
cellular response to decreased oxygen levels (GO:0036294)	236	13	.47	+	27.50	2.06E-15	6.14E-12
cellular response to oxygen levels (GO:0071453)	237	13	.47	+	27.39	2.17E-15	4.31E-12
ethylene-activated signaling pathway (GO:0009873)	55	3	.11	+	27.24	2.16E-04	2.25E-02
response to hypoxia (GO:0001666)	260	13	.52	+	24.97	6.78E-15	1.01E-11
response to high light intensity (GO:0009644)	60	3	.12	+	24.97	2.76E-04	2.65E-02
response to decreased oxygen levels (GO:0036293)	264	13	.53	+	24.59	8.18E-15	9.74E-12
response to oxygen levels (GO:0070482)	266	13	.53	+	24.40	8.98E-15	8.91E-12
cellular response to ethylene stimulus (GO:0071369)	63	3	.13	+	23.78	3.16E-04	2.94E-02
alpha-amino acid catabolic process (GO:1901606)	68	3	.14	+	22.03	3.92E-04	3.54E-02
response to light intensity (GO:0009642)	139	6	.28	+	21.55	4.52E-07	1.50E-04
response to organonitrogen compound (GO:0010243)	250	9	.50	+	17.98	2.20E-09	8.18E-07
response to nitrogen compound (GO:1901698)	309	10	.62	+	16.16	7.02E-10	2.79E-07
organic acid catabolic process (GO:0016054)	160	4	.32	+	12.48	3.27E-04	3.00E-02
small molecule catabolic process (GO:0044282)	236	5	.47	+	10.58	1.20E-04	1.35E-02
response to wounding (GO:0009611)	238	5	.48	+	10.49	1.25E-04	1.38E-02
negative regulation of transcription, DNA-templated (GO:0045892)	272	5	.54	+	9.18	2.30E-04	2.32E-02
negative regulation of RNA biosynthetic process (GO:1902679)	274	5	.55	+	9.11	2.38E-04	2.36E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	274	5	.55	+	9.11	2.38E-04	2.32E-02
negative regulation of RNA metabolic process (GO:0051253)	284	5	.57	+	8.79	2.80E-04	2.64E-02
response to oxidative stress (GO:0006979)	456	8	.91	+	8.76	3.74E-06	6.19E-04
defense response to bacterium (GO:0042742)	423	7	.85	+	8.26	2.30E-05	3.12E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	312	5	.62	+	8.00	4.27E-04	3.79E-02
cellular response to chemical stimulus (GO:0070887)	1092	17	2.19	+	7.77	2.78E-11	2.07E-08
cellular response to stress (GO:0033554)	1129	16	2.26	+	7.08	4.69E-10	2.54E-07
response to bacterium (GO:0009617)	518	7	1.04	+	6.75	8.13E-05	9.49E-03
organonitrogen compound catabolic process (GO:1901565)	832	11	1.67	+	6.60	7.30E-07	1.98E-04
negative regulation of cellular metabolic process (GO:0031324)	485	6	.97	+	6.18	4.33E-04	3.79E-02
response to oxygen-containing compound (GO:1901700)	1536	18	3.08	+	5.85	6.02E-10	2.56E-07
response to organic substance (GO:0010033)	1724	19	3.45	+	5.50	4.81E-10	2.39E-07
defense response to other organism (GO:0098542)	818	9	1.64	+	5.49	3.53E-05	4.57E-03
immune response (GO:0006955)	824	9	1.65	+	5.45	3.73E-05	4.73E-03
response to external biotic stimulus (GO:0043207)	1105	12	2.21	+	5.42	1.65E-06	3.77E-04
response to other organism (GO:0051707)	1105	12	2.21	+	5.42	1.65E-06	3.63E-04
