TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0008150," ""biological_process""",100,5.976725274,4.643469078,4.347798215,7.73E-09,1,0,,FALSE
GO:0008152," ""metabolic process""",45.80882683,7.325520989,2.931862413,4.00877045,9.83E-22,1,0,,FALSE
GO:0009987," ""cellular process""",63.13473713,6.803283491,3.699631371,4.148077977,5.92E-31,1,0,,FALSE
GO:0010035," ""response to inorganic substance""",3.995869438,5.279375471,-3.926480142,2.949877704,1.06E-11,0.793486467,0,,FALSE
GO:0033993," ""response to lipid""",4.009338661,,,2.951337519,0.00000361,0.785465532,0.53297257,10035,TRUE
GO:0009743," ""response to carbohydrate""",0.682440623,,,2.184691431,0.000301,0.808528306,0.54037326,10035,TRUE
GO:1901700," ""response to oxygen-containing compound""",7.084811206,,,3.19838213,4.42E-18,0.777870976,0.58502605,10035,TRUE
GO:0014070," ""response to organic cyclic compound""",1.311004355,,,2.46686762,0.0452,0.811197406,0.58709542,10035,TRUE
GO:0009737," ""response to abscisic acid""",2.491806223,,,2.745074792,0.0000233,0.777940808,0.64167019,10035,TRUE
GO:0070887," ""cellular response to chemical stimulus""",7.152157321,,,3.202488317,2.16E-10,0.732258544,0.64909561,10035,TRUE
GO:0097305," ""response to alcohol""",2.523234409,,,2.750508395,0.0000113,0.780137504,0.66731861,10035,TRUE
GO:0010033," ""response to organic substance""",8.799892246,,,3.292477594,0.00000504,0.77133328,0.67685998,10035,TRUE
GO:1901701," ""cellular response to oxygen-containing compound""",2.873434203,,,2.80685803,0.000255,0.7303741,0.68047245,10035,TRUE
GO:0009753," ""response to jasmonic acid""",0.772235442,,,2.238046103,0.00943,0.803821291,0.72175187,10035,TRUE
GO:0070542," ""response to fatty acid""",0.790194406,,,2.247973266,0.0112,0.803851601,0.72369645,10035,TRUE
GO:0009725," ""response to hormone""",6.797467786,,,3.180412633,0.0000612,0.769703603,0.77880804,10035,TRUE
GO:0010150," ""leaf senescence""",0.484892022,2.737783681,6.404211903,2.037426498,0.0218,0.967460462,0,,FALSE
GO:0048316," ""seed development""",2.563642078,,,2.757396029,0.0321,0.96422925,0.51831065,10150,TRUE
GO:0048731," ""system development""",7.951331208,,,3.248463718,0.0158,0.961373875,0.66252262,10150,TRUE
GO:0009791," ""post-embryonic development""",6.034211826,,,3.128722284,0.0158,0.962813328,0.76873561,10150,TRUE
GO:0007275," ""multicellular organism development""",10.17824272,,,3.35564305,0.000202,0.961943822,0.78357776,10150,TRUE
GO:0010154," ""fruit development""",2.71629327,,,2.782472624,0.0187,0.963978143,0.78697257,10150,TRUE
GO:0048856," ""anatomical structure development""",11.79454945,,,3.419625361,0.00409,0.962106053,0.82472204,10150,TRUE
GO:0090693," ""plant organ senescence""",0.511830467,,,2.06069784,0.0302,0.967296159,0.9644677,10150,TRUE
GO:0019740," ""nitrogen utilization""",0.031428187,4.249802001,5.838016151,0.903089987,0.0387,1,0,,FALSE
GO:0019752," ""carboxylic acid metabolic process""",4.265253895,-4.243549271,-5.023190433,2.978180517,5.05E-18,0.691083051,0,,FALSE
GO:0009099," ""valine biosynthetic process""",0.040407668,,,1,0.0491,0.740816281,0.52656431,19752,TRUE
GO:0033875," ""ribonucleoside bisphosphate metabolic process""",0.278363938,,,1.799340549,0.0117,0.742437071,0.52772777,19752,TRUE
GO:0042364," ""water-soluble vitamin biosynthetic process""",0.305302384,,,1.838849091,0.003,0.739318513,0.53317673,19752,TRUE
GO:0006766," ""vitamin metabolic process""",0.422035649,,,1.977723605,0.0000227,0.794452082,0.55319826,19752,TRUE
GO:0009695," ""jasmonic acid biosynthetic process""",0.085305078,,,1.301029996,0.0209,0.741300075,0.56505786,19752,TRUE
GO:0006573," ""valine metabolic process""",0.103264042,,,1.380211242,0.00216,0.748470107,0.57582097,19752,TRUE
GO:0031408," ""oxylipin biosynthetic process""",0.103264042,,,1.380211242,0.0382,0.748876702,0.57582097,19752,TRUE
GO:0006551," ""leucine metabolic process""",0.112243524,,,1.414973348,0.000392,0.746840712,0.58064788,19752,TRUE
GO:0006536," ""glutamate metabolic process""",0.121223005,,,1.447158031,0.00084,0.73565489,0.58517548,19752,TRUE
GO:0009081," ""branched-chain amino acid metabolic process""",0.179589638,,,1.612783857,0.000202,0.737241292,0.60944485,19752,TRUE
GO:0042128," ""nitrate assimilation""",0.179589638,,,1.612783857,0.0126,0.761463703,0.60944485,19752,TRUE
GO:0044282," ""small molecule catabolic process""",1.099986531,,,2.390935107,2.45E-14,0.752275533,0.62234052,19752,TRUE
GO:0055086," ""nucleobase-containing small molecule metabolic process""",1.840793786,,,2.613841822,0.00431,0.707730045,0.6671599,19752,TRUE
GO:0043648," ""dicarboxylic acid metabolic process""",0.426525389,,,1.982271233,0.00166,0.749384924,0.67065862,19752,TRUE
GO:0009066," ""aspartate family amino acid metabolic process""",0.28734342,,,1.812913357,0.0405,0.722624861,0.69311353,19752,TRUE
GO:0046395," ""carboxylic acid catabolic process""",0.695909846,,,2.193124598,2E-15,0.69247713,0.71108027,19752,TRUE
GO:0033865," ""nucleoside bisphosphate metabolic process""",0.278363938,,,1.799340549,0.0117,0.747763972,0.71408212,19752,TRUE
GO:0044283," ""small molecule biosynthetic process""",2.985677726,,,2.823474229,2.67E-08,0.719919248,0.71556342,19752,TRUE
GO:0006572," ""tyrosine catabolic process""",0.022448705,,,0.77815125,0.0207,0.735172925,0.72929261,19752,TRUE
GO:0019676," ""ammonia assimilation cycle""",0.026938446,,,0.84509804,0.0289,0.76308785,0.74610986,19752,TRUE
GO:0006552," ""leucine catabolic process""",0.031428187,,,0.903089987,0.000363,0.737762841,0.74812082,19752,TRUE
GO:0009068," ""aspartate family amino acid catabolic process""",0.031428187,,,0.903089987,0.0389,0.734515203,0.74812082,19752,TRUE
GO:0006631," ""fatty acid metabolic process""",1.122435235,,,2.399673721,0.016,0.709754022,0.75554741,19752,TRUE
GO:1901605," ""alpha-amino acid metabolic process""",1.216719795,,,2.434568904,6.68E-08,0.689138329,0.76360445,19752,TRUE
GO:0006082," ""organic acid metabolic process""",4.952184259,,,3.042969073,7.14E-20,0.713134167,0.77434198,19752,TRUE
GO:0009064," ""glutamine family amino acid metabolic process""",0.372648498,,,1.924279286,0.000413,0.716466956,0.77859583,19752,TRUE
GO:0043649," ""dicarboxylic acid catabolic process""",0.062856373,,,1.176091259,0.0227,0.742360193,0.79014409,19752,TRUE
GO:0009083," ""branched-chain amino acid catabolic process""",0.067346114,,,1.204119983,0.00396,0.723088566,0.7945867,19752,TRUE
GO:0009065," ""glutamine family amino acid catabolic process""",0.080815337,,,1.278753601,0.0443,0.712647111,0.80657088,19752,TRUE
GO:0006520," ""cellular amino acid metabolic process""",1.890180937,,,2.625312451,1.85E-13,0.693945005,0.81082762,19752,TRUE
GO:0032787," ""monocarboxylic acid metabolic process""",2.119157725,,,2.674861141,0.000036,0.708062589,0.82405595,19752,TRUE
GO:0046394," ""carboxylic acid biosynthetic process""",2.164055134,,,2.683947131,0.00000543,0.670413419,0.8265283,19752,TRUE
GO:0009231," ""riboflavin biosynthetic process""",0.058366632,,,1.146128036,0.0128,0.744344821,0.85327334,19752,TRUE
GO:1901607," ""alpha-amino acid biosynthetic process""",0.80815337,,,2.257678575,0.00155,0.66505204,0.85455137,19752,TRUE
GO:0006541," ""glutamine metabolic process""",0.179589638,,,1.612783857,0.0328,0.729660048,0.85467785,19752,TRUE
GO:0072330," ""monocarboxylic acid biosynthetic process""",0.987743007,,,2.344392274,0.0489,0.690305889,0.87484361,19752,TRUE
GO:0008652," ""cellular amino acid biosynthetic process""",0.992232748,,,2.346352974,0.000801,0.663714924,0.87531335,19752,TRUE
GO:0016053," ""organic acid biosynthetic process""",2.276298658,,,2.705863712,0.00000752,0.676365874,0.89458847,19752,TRUE
GO:0072329," ""monocarboxylic acid catabolic process""",0.273874197,,,1.792391689,0.000526,0.712477953,0.89715101,19752,TRUE
GO:0016054," ""organic acid catabolic process""",0.736317514,,,2.217483944,1.36E-15,0.699998131,0.9029817,19752,TRUE
GO:1901606," ""alpha-amino acid catabolic process""",0.305302384,,,1.838849091,0.00000812,0.686323884,0.90620929,19752,TRUE
GO:0006084," ""acetyl-CoA metabolic process""",0.107753783,,,1.397940009,0.00367,0.734350564,0.92279368,19752,TRUE
GO:0043436," ""oxoacid metabolic process""",4.81300229,,,3.030599722,3.7E-20,0.688368115,0.92316499,19752,TRUE
GO:0009063," ""cellular amino acid catabolic process""",0.426525389,,,1.982271233,3.91E-12,0.679990679,0.93527496,19752,TRUE
GO:0009110," ""vitamin biosynthetic process""",0.345710053,,,1.892094603,0.0000788,0.736822178,0.95030705,19752,TRUE
GO:0006771," ""riboflavin metabolic process""",0.058366632,,,1.146128036,0.0129,0.764536643,0.96323719,19752,TRUE
GO:0042727," ""flavin-containing compound biosynthetic process""",0.062856373,,,1.176091259,0.0156,0.825855223,0.96805446,19752,TRUE
GO:0006767," ""water-soluble vitamin metabolic process""",0.38162798,,,1.934498451,0.000892,0.782767797,0.96918019,19752,TRUE
GO:0006637," ""acyl-CoA metabolic process""",0.202038342,,,1.662757832,0.0105,0.720785379,0.9707796,19752,TRUE
GO:0042126," ""nitrate metabolic process""",0.179589638,,,1.612783857,0.0126,0.761463703,0.98665243,19752,TRUE
GO:0034032," ""purine nucleoside bisphosphate metabolic process""",0.278363938,,,1.799340549,0.0118,0.73865208,0.99721636,19752,TRUE
GO:0032501," ""multicellular organismal process""",11.77659049,5.080795277,5.228251659,3.418963831,0.00207,1,0,,FALSE
GO:0032502," ""developmental process""",12.45454137,4.470795767,3.847872917,3.443262987,0.00351,1,0,,FALSE
GO:0042592," ""homeostatic process""",2.042832129,-0.023277055,5.841266735,2.658964843,0.000109,0.923193318,0,,FALSE
GO:0055081," ""anion homeostasis""",0.121223005,,,1.447158031,0.00429,0.933578645,0.57190103,42592,TRUE
GO:0045454," ""cell redox homeostasis""",0.148161451,,,1.531478917,0.000587,0.900519436,0.58293022,42592,TRUE
GO:0055062," ""phosphate ion homeostasis""",0.076325596,,,1.255272505,0.0385,0.933418699,0.62532682,42592,TRUE
GO:0019725," ""cellular homeostasis""",0.969784043,,,2.336459734,0.00141,0.890506465,0.71137314,42592,TRUE
GO:0046916," ""cellular transition metal ion homeostasis""",0.282853679,,,1.806179974,0.0406,0.899347849,0.74150621,42592,TRUE
GO:0048878," ""chemical homeostasis""",1.854263009,,,2.617000341,0.0164,0.917383486,0.88394142,42592,TRUE
GO:0072506," ""trivalent inorganic anion homeostasis""",0.076325596,,,1.255272505,0.0383,0.933418699,0.93441496,42592,TRUE
GO:0042908," ""xenobiotic transport""",0.336730571,-5.300907734,3.560631952,1.880813592,0.0174,0.992748787,0,,FALSE
