TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""", 5.09136622816863,2.523938881,0.203885851,3.054995862,0.000000325,1,0,, FALSE
GO:0006811," ""ion transport""", 3.58281327167422,4.994203699,3.618741057,2.902546779,0.0118,0.93662567,0,, FALSE
GO:0008152," ""metabolic process""", 45.8088268306919,-6.201877925,5.62022358,4.00877045,0.000411,1,0,, FALSE
GO:0009987," ""cellular process""", 63.1347371256678,-4.993652821,-7.173506111,4.148077977,4.22E-08,1,0,, FALSE
GO:0010035," ""response to inorganic substance""", 3.99586943833341,-6.091400676,-1.725908994,2.949877704,0.0000114,0.780355497,0,, FALSE
GO:1901700," ""response to oxygen-containing compound""", 7.08481120639339,,,3.19838213,0.000000487,0.762114944,0.58469051,10035, TRUE
GO:0009725," ""response to hormone""", 6.79746778610874,,,3.180412633,0.0165,0.760020384,0.6429081,10035, TRUE
GO:0010033," ""response to organic substance""", 8.79989224621739,,,3.292477594,0.00000431,0.75443066,0.67559883,10035, TRUE
GO:0070887," ""cellular response to chemical stimulus""", 7.15215732052261,,,3.202488317,0.00546,0.727227623,0.67685998,10035, TRUE
GO:0010817," ""regulation of hormone levels""", 1.25263772280339,-1.612815561,5.991398176,2.447158031,0.00157,0.900878472,0,, FALSE
GO:0006880," ""intracellular sequestering of iron ion""", 0.0673461141292147,,,1.204119983,0.00157,0.857638433,0.51918645,10817, TRUE
GO:0060918," ""auxin transport""", 0.422035648543079,,,1.977723605,0.000959,0.868985212,0.61594294,10817, TRUE
GO:0051238," ""sequestering of metal ion""", 0.0853050778970053,,,1.301029996,0.00386,0.93087445,0.78977874,10817, TRUE
GO:0009914," ""hormone transport""", 0.435504871368922,,,1.991226076,0.00125,0.871258513,0.79327824,10817, TRUE
GO:0051651," ""maintenance of location in cell""", 0.206528083329592,,,1.672097858,0.0282,0.908154357,0.85657677,10817, TRUE
GO:0009926," ""auxin polar transport""", 0.300812643110492,,,1.832508913,0.00477,0.872877115,0.96019377,10817, TRUE
GO:0097577," ""sequestering of iron ion""", 0.0718358550711624,,,1.230448921,0.00192,0.856946655,0.97109707,10817, TRUE
GO:0019748," ""secondary metabolic process""", 1.39181969200377,-1.994941795,-7.285249525,2.492760389,6.09E-12,0.943580887,0,, FALSE
GO:0032501," ""multicellular organismal process""", 11.7765904907287,0.626619782,1.31338667,3.418963831,0.00375,1,0,, FALSE
GO:0032502," ""developmental process""", 12.4545413729628,6.297469652,-2.294973749,3.443262987,0.000141,1,0,, FALSE
GO:0044419," ""biological process involved in interspecies interaction between organisms""", 6.38441161944956,3.648830722,5.55204209,3.1532049,9.44E-09,1,0,, FALSE
GO:0050896," ""response to stimulus""", 28.1416962241279,6.207358658,1.557624148,3.79719827,2.75E-22,1,0,, FALSE
GO:0065007," ""biological regulation""", 29.6592286625062,-4.974585676,5.851489891,3.820004307,0.00013,1,0,, FALSE
GO:0071554," ""cell wall organization or biogenesis""", 2.9677187626274,2.458670112,2.528425754,2.820857989,0.00144,0.973167296,0,, FALSE
GO:0099402," ""plant organ development""", 4.46280249629596,6.268526376,-0.33289715,2.997823081,0.00139,0.943281139,0,, FALSE
GO:0048364," ""root development""", 2.31221658510304,,,2.712649702,0.00921,0.94615771,0.67783468,99402, TRUE
GO:0022622," ""root system development""", 2.32119606698693,,,2.71432976,0.0125,0.94774284,0.67821697,99402, TRUE
GO:0048731," ""system development""", 7.95133120818929,,,3.248463718,0.0363,0.942032254,0.72762695,99402, TRUE
GO:0007275," ""multicellular organism development""", 10.1782427153953,,,3.35564305,0.00534,0.942940852,0.78357776,99402, TRUE
GO:0048856," ""anatomical structure development""", 11.7945494544965,,,3.419625361,0.000986,0.943314435,0.82472204,99402, TRUE
GO:0012501," ""programmed cell death""", 0.471422798904503,-3.845893112,-7.623528164,2.025305865,0.0329,0.978224393,0.03820882,, FALSE
GO:0008219," ""cell death""", 0.552238135859561,-4.206844545,6.691589678,2.093421685,0.0468,0.977866737,0.03890241,, FALSE
GO:0042546," ""cell wall biogenesis""", 1.05957886229965,4.413122934,0.544780895,2.374748346,0.000547,0.93818553,0.04204583,, FALSE
GO:0044036," ""cell wall macromolecule metabolic process""", 0.781214923898891,,,2.243038049,0.0342,0.887528978,0.72621663,42546, TRUE
GO:0044550," ""secondary metabolite biosynthetic process""", 0.615094509046828,4.433840027,-3.399023388,2.139879086,0.000000152,0.843843223,0.09034382,, FALSE
GO:0009808," ""lignin metabolic process""", 0.278363938400754,,,1.799340549,0.0000395,0.858530573,0.76811082,44550, TRUE
GO:0019757," ""glycosinolate metabolic process""", 0.484892021730346,,,2.037426498,0.0000293,0.790473039,0.80902185,44550, TRUE
GO:0019760," ""glucosinolate metabolic process""", 0.484892021730346,,,2.037426498,0.0000305,0.763765439,0.80902185,44550, TRUE
GO:0009698," ""phenylpropanoid metabolic process""", 0.543258653975666,,,2.086359831,0.0000209,0.854841585,0.81794369,44550, TRUE
GO:1901659," ""glycosyl compound biosynthetic process""", 0.233466528981278,,,1.72427587,0.000592,0.868961281,0.84962142,44550, TRUE
GO:0009809," ""lignin biosynthetic process""", 0.179589637677906,,,1.612783857,0.00472,0.837907021,0.84989384,44550, TRUE
GO:0019758," ""glycosinolate biosynthetic process""", 0.161630673910115,,,1.568201724,0.000163,0.789663228,0.90215785,44550, TRUE
GO:0019761," ""glucosinolate biosynthetic process""", 0.161630673910115,,,1.568201724,0.000167,0.772627431,0.90215785,44550, TRUE
GO:0009699," ""phenylpropanoid biosynthetic process""", 0.38162798006555,,,1.934498451,0.00179,0.827281164,0.90583162,44550, TRUE
GO:0016143," ""S-glycoside metabolic process""", 0.484892021730346,,,2.037426498,0.0000317,0.854557642,0.90788543,44550, TRUE
GO:0016144," ""S-glycoside biosynthetic process""", 0.161630673910115,,,1.568201724,0.000172,0.839605126,0.94058873,44550, TRUE
GO:0006790," ""sulfur compound metabolic process""", 1.77793741301127,4.015079817,-5.662102389,2.598790507,0.000000629,0.921196154,0.10189136,, FALSE
GO:0005976," ""polysaccharide metabolic process""", 2.08772953800566,-0.082478432,-7.532634749,2.668385917,0.0000185,0.877745441,0.10712169,, FALSE
GO:0006073," ""cellular glucan metabolic process""", 0.996722489112378,,,2.348304863,0.000124,0.855859648,0.6685457,5976, TRUE
GO:0044262," ""cellular carbohydrate metabolic process""", 2.1011987608315,,,2.671172843,0.00384,0.865326579,0.73303239,5976, TRUE
GO:0044042," ""glucan metabolic process""", 1.03264041664796,,,2.36361198,0.000185,0.872852467,0.82520615,5976, TRUE
GO:0044264," ""cellular polysaccharide metabolic process""", 1.34692228258429,,,2.478566496,0.000394,0.855991246,0.85318617,5976, TRUE
GO:0010410," ""hemicellulose metabolic process""", 0.502850985498137,,,2.053078443,0.00376,0.847366798,0.85835674,5976, TRUE
GO:0010411," ""xyloglucan metabolic process""", 0.269384456516859,,,1.785329835,0.00174,0.854974272,0.89239645,5976, TRUE
