TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",5.091366228,-5.953716869,-6.068048698,3.054995862,0.00000205,1,0,,FALSE
GO:0008150," ""biological_process""",100,-3.933906027,-7.271177269,4.347798215,0.000000949,1,0,,FALSE
GO:0008152," ""metabolic process""",45.80882683,-2.912818596,-7.518445626,4.00877045,0.000000247,1,0,,FALSE
GO:0009987," ""cellular process""",63.13473713,-5.109332041,-6.652947141,4.148077977,1.92E-26,1,0,,FALSE
GO:0010150," ""leaf senescence""",0.484892022,6.244322945,-2.724083337,2.037426498,0.000383,0.98793763,0,,FALSE
GO:0090693," ""plant organ senescence""",0.511830467,,,2.06069784,0.00063,0.987921073,0.9644677,10150,TRUE
GO:0030001," ""metal ion transport""",1.324473578,6.862439093,-0.037925732,2.471291711,0.0182,0.96982897,0,,FALSE
GO:0006810," ""transport""",12.01005702,,,3.427486109,0.0358,0.97090759,0.5724416,30001,TRUE
GO:0070588," ""calcium ion transmembrane transport""",0.314281866,,,1.851258349,0.00187,0.949286357,0.73545136,30001,TRUE
GO:0006816," ""calcium ion transport""",0.323261348,,,1.86332286,0.0278,0.972289867,0.74225378,30001,TRUE
GO:0055085," ""transmembrane transport""",6.043191308,,,3.129367596,0.00647,0.942277668,0.74884806,30001,TRUE
GO:0044282," ""small molecule catabolic process""",1.099986531,3.337799933,5.064716186,2.390935107,8.11E-21,0.774649906,0,,FALSE
GO:1901565," ""organonitrogen compound catabolic process""",3.807300319,,,2.92890769,0.00000075,0.815094279,0.5934423,44282,TRUE
GO:0019752," ""carboxylic acid metabolic process""",4.265253895,,,2.978180517,3.58E-19,0.738897466,0.62234052,44282,TRUE
GO:1901361," ""organic cyclic compound catabolic process""",1.104476272,,,2.392696953,0.00292,0.843662109,0.63025104,44282,TRUE
GO:0016042," ""lipid catabolic process""",1.176312127,,,2.419955748,0.0000327,0.822561195,0.63540132,44282,TRUE
GO:0043648," ""dicarboxylic acid metabolic process""",0.426525389,,,1.982271233,0.000949,0.787208058,0.67065862,44282,TRUE
GO:0046395," ""carboxylic acid catabolic process""",0.695909846,,,2.193124598,2.61E-21,0.712122612,0.71108027,44282,TRUE
GO:0044283," ""small molecule biosynthetic process""",2.985677726,,,2.823474229,0.00258,0.788689588,0.71556342,44282,TRUE
GO:0006572," ""tyrosine catabolic process""",0.022448705,,,0.77815125,0.0311,0.758106303,0.72929261,44282,TRUE
GO:0006552," ""leucine catabolic process""",0.031428187,,,0.903089987,0.0059,0.762233648,0.74812082,44282,TRUE
GO:0006631," ""fatty acid metabolic process""",1.122435235,,,2.399673721,0.0394,0.743527765,0.75554741,44282,TRUE
GO:0044248," ""cellular catabolic process""",6.204821982,,,3.14082218,7E-17,0.810097504,0.76319369,44282,TRUE
GO:1901605," ""alpha-amino acid metabolic process""",1.216719795,,,2.434568904,2.75E-08,0.742643755,0.76360445,44282,TRUE
GO:0006082," ""organic acid metabolic process""",4.952184259,,,3.042969073,8.57E-22,0.762922974,0.77434198,44282,TRUE
GO:0009064," ""glutamine family amino acid metabolic process""",0.372648498,,,1.924279286,0.000158,0.766197246,0.77859583,44282,TRUE
GO:0043649," ""dicarboxylic acid catabolic process""",0.062856373,,,1.176091259,0.0357,0.759452149,0.79014409,44282,TRUE
GO:0009083," ""branched-chain amino acid catabolic process""",0.067346114,,,1.204119983,0.00586,0.749064987,0.7945867,44282,TRUE
GO:0009065," ""glutamine family amino acid catabolic process""",0.080815337,,,1.278753601,0.0016,0.743190383,0.80657088,44282,TRUE
GO:0006520," ""cellular amino acid metabolic process""",1.890180937,,,2.625312451,2.82E-12,0.746903938,0.81082762,44282,TRUE
GO:0009074," ""aromatic amino acid family catabolic process""",0.09428456,,,1.342422681,0.0196,0.734574091,0.81698903,44282,TRUE
GO:0032787," ""monocarboxylic acid metabolic process""",2.119157725,,,2.674861141,0.000000527,0.752305634,0.82405595,44282,TRUE
GO:0046394," ""carboxylic acid biosynthetic process""",2.164055134,,,2.683947131,0.00271,0.745734801,0.8265283,44282,TRUE
GO:1901575," ""organic substance catabolic process""",7.14766758,,,3.202215776,6.53E-11,0.820517129,0.85191451,44282,TRUE
