TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0008152," ""metabolic process""", 45.8088268306919,-5.884540271,-4.078382932,4.00877045,0.000192,1,0,, FALSE
GO:0009416," ""response to light stimulus""", 3.00363669016298,-6.992548609,3.007204731,2.826074803,0.000000512,0.882278931,0,, FALSE
GO:0009409," ""response to cold""", 1.85426300902438,,,2.617000341,0.00728,0.888179218,0.57549838,9416, TRUE
GO:0009266," ""response to temperature stimulus""", 2.79710860683339,,,2.79518459,0.031,0.88913434,0.60890548,9416, TRUE
GO:0009314," ""response to radiation""", 3.10690073182777,,,2.840733235,0.00000164,0.887693369,0.61807276,9416, TRUE
GO:0009645," ""response to low light intensity stimulus""", 0.0808153369550577,,,1.278753601,0.00163,0.917677739,0.63309878,9416, TRUE
GO:0010114," ""response to red light""", 0.278363938400754,,,1.799340549,0.0445,0.908150024,0.71649044,9416, TRUE
GO:0009987," ""cellular process""", 63.1347371256678,6.169847294,-1.287731194,4.148077977,0.000000002,1,0,, FALSE
GO:0019748," ""secondary metabolic process""", 1.39181969200377,-2.132973598,8.773831393,2.492760389,9.58E-12,0.927842988,0,, FALSE
GO:0032501," ""multicellular organismal process""", 11.7765904907287,-6.946386272,-2.92061106,3.418963831,0.000175,1,0,, FALSE
GO:0032502," ""developmental process""", 12.4545413729628,5.398740264,-2.79971369,3.443262987,1.76E-08,1,0,, FALSE
GO:0040007," ""growth""", 1.68365285323037,-4.662130426,-3.266884832,2.575187845,0.000626,1,0,, FALSE
GO:0050896," ""response to stimulus""", 28.1416962241279,1.722503621,-2.263726303,3.79719827,1.29E-16,1,0,, FALSE
GO:0065007," ""biological regulation""", 29.6592286625062,4.159772404,-1.850454439,3.820004307,0.0439,1,0,, FALSE
GO:0065008," ""regulation of biological quality""", 4.21586674448884,-0.455927111,-4.9588777,2.973127854,0.00000467,0.974993052,0,, FALSE
GO:0071554," ""cell wall organization or biogenesis""", 2.9677187626274,-0.449728072,-1.543860805,2.820857989,7.82E-12,0.965431705,0,, FALSE
GO:0099402," ""plant organ development""", 4.46280249629596,3.399497149,-4.333371357,2.997823081,0.0000281,0.825806059,0,, FALSE
GO:0000902," ""cell morphogenesis""", 1.41875813765546,,,2.501059262,0.000166,0.84179113,0.51200985,99402, TRUE
GO:0006949," ""syncytium formation""", 0.0448974094194765,,,1.041392685,0.0288,0.866230208,0.52554918,99402, TRUE
GO:0030154," ""cell differentiation""", 3.08445202711804,,,2.837588438,0.00028,0.807319369,0.55361074,99402, TRUE
GO:0048869," ""cellular developmental process""", 3.43465182058995,,,2.88422877,0.00135,0.816112877,0.56279749,99402, TRUE
GO:0009888," ""tissue development""", 2.79710860683339,,,2.79518459,0.00492,0.8457843,0.56399245,99402, TRUE
GO:0010623," ""programmed cell death involved in cell development""", 0.0448974094194765,,,1.041392685,0.0344,0.86959959,0.58199059,99402, TRUE
GO:0009653," ""anatomical structure morphogenesis""", 3.80730031877161,,,2.92890769,0.000168,0.839612176,0.59125928,99402, TRUE
GO:0048364," ""root development""", 2.31221658510304,,,2.712649702,0.00076,0.833841699,0.67783468,99402, TRUE
GO:0022622," ""root system development""", 2.32119606698693,,,2.71432976,0.000793,0.839573562,0.67821697,99402, TRUE
GO:0009826," ""unidimensional cell growth""", 1.05957886229965,,,2.374748346,0.00694,0.802349905,0.71428594,99402, TRUE
GO:0048367," ""shoot system development""", 3.56485430790643,,,2.900367129,0.00622,0.830783064,0.72337648,99402, TRUE
GO:0048731," ""system development""", 7.95133120818929,,,3.248463718,0.0000125,0.817676739,0.72762695,99402, TRUE
GO:1905392," ""plant organ morphogenesis""", 1.85875274996633,,,2.618048097,0.0114,0.821824282,0.76639313,99402, TRUE
GO:0009791," ""post-embryonic development""", 6.03421182597764,,,3.128722284,0.000867,0.824511106,0.76873561,99402, TRUE
GO:0048827," ""phyllome development""", 2.08323979706371,,,2.667452953,0.0344,0.835179806,0.77783339,99402, TRUE
GO:0090627," ""plant epidermal cell differentiation""", 0.754276478247205,,,2.227886705,0.0422,0.834709117,0.778264,99402, TRUE
GO:0007275," ""multicellular organism development""", 10.1782427153953,,,3.35564305,0.0000612,0.816356392,0.78357776,99402, TRUE
GO:0048366," ""leaf development""", 1.39630943294572,,,2.494154594,0.0314,0.842600082,0.78972309,99402, TRUE
GO:0048856," ""anatomical structure development""", 11.7945494544965,,,3.419625361,0.000000169,0.817022923,0.82472204,99402, TRUE
GO:0048468," ""cell development""", 1.37835046917793,,,2.488550717,0.00367,0.820425149,0.83870429,99402, TRUE
