TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",5.091366228,-7.725165128,1.634685035,3.054995862,-6.707743929,1,0,,FALSE
GO:0007568," ""aging""",0.583666322,-3.080481435,5.947107479,2.117271296,-4.583359493,0.992165023,0,,FALSE
GO:0008150," ""biological_process""",100,-6.680414325,3.520052355,4.347798215,-16.10402527,1,0,,FALSE
GO:0008152," ""metabolic process""",45.80882683,-7.388453091,2.557008167,4.00877045,-29.40893539,1,0,,FALSE
GO:0009987," ""cellular process""",63.13473713,-6.578791606,2.233226055,4.148077977,-55.39469495,1,0,,FALSE
GO:0019740," ""nitrogen utilization""",0.031428187,-4.55365921,5.482408395,0.903089987,-1.850780887,1,0,,FALSE
GO:0019752," ""carboxylic acid metabolic process""",4.265253895,4.241065256,-5.630893789,2.978180517,-28.21467016,0.71702967,0,,FALSE
GO:0009110," ""vitamin biosynthetic process""",0.345710053,,,1.892094603,-3.903089987,0.758923019,0.54068893,19752,TRUE
GO:0006102," ""isocitrate metabolic process""",0.053876891,,,1.113943352,-1.311580178,0.803808303,0.54074694,19752,TRUE
GO:0006766," ""vitamin metabolic process""",0.422035649,,,1.977723605,-4.761953897,0.815613213,0.55319826,19752,TRUE
GO:0009695," ""jasmonic acid biosynthetic process""",0.085305078,,,1.301029996,-1.66756154,0.757634873,0.56505786,19752,TRUE
GO:0006551," ""leucine metabolic process""",0.112243524,,,1.414973348,-1.795880017,0.765803739,0.58064788,19752,TRUE
GO:0006536," ""glutamate metabolic process""",0.121223005,,,1.447158031,-5.218244625,0.755004478,0.58517548,19752,TRUE
GO:0005996," ""monosaccharide metabolic process""",0.81264311,,,2.260071388,-1.308918508,0.792746334,0.59869129,19752,TRUE
GO:0009081," ""branched-chain amino acid metabolic process""",0.179589638,,,1.612783857,-2.018181393,0.756907694,0.60944485,19752,TRUE
GO:0042128," ""nitrate assimilation""",0.179589638,,,1.612783857,-1.399027104,0.781837403,0.60944485,19752,TRUE
GO:0006570," ""tyrosine metabolic process""",0.053876891,,,1.113943352,-1.307153081,0.762248545,0.61164358,19752,TRUE
GO:0009694," ""jasmonic acid metabolic process""",0.193058861,,,1.643452676,-1.552841969,0.77059704,0.61413144,19752,TRUE
GO:0044282," ""small molecule catabolic process""",1.099986531,,,2.390935107,-19.1877553,0.773115986,0.62234052,19752,TRUE
GO:0006090," ""pyruvate metabolic process""",0.390607462,,,1.944482672,-1.847711656,0.76695873,0.66387727,19752,TRUE
GO:0043648," ""dicarboxylic acid metabolic process""",0.426525389,,,1.982271233,-5.866461092,0.770446419,0.67065862,19752,TRUE
GO:1902652," ""secondary alcohol metabolic process""",0.067346114,,,1.204119983,-1.310691141,0.835728391,0.67079176,19752,TRUE
GO:0009066," ""aspartate family amino acid metabolic process""",0.28734342,,,1.812913357,-1.496209317,0.742713789,0.69311353,19752,TRUE
GO:0046395," ""carboxylic acid catabolic process""",0.695909846,,,2.193124598,-20.16877031,0.712996286,0.71108027,19752,TRUE
GO:0044283," ""small molecule biosynthetic process""",2.985677726,,,2.823474229,-7.274905479,0.741744344,0.71556342,19752,TRUE
GO:0006572," ""tyrosine catabolic process""",0.022448705,,,0.77815125,-2.189095719,0.746224825,0.72929261,19752,TRUE
GO:0019676," ""ammonia assimilation cycle""",0.026938446,,,0.84509804,-2.006123085,0.780475727,0.74610986,19752,TRUE
GO:0006552," ""leucine catabolic process""",0.031428187,,,0.903089987,-2.759450752,0.754484634,0.74812082,19752,TRUE
GO:0006631," ""fatty acid metabolic process""",1.122435235,,,2.399673721,-3.382999659,0.730628011,0.75554741,19752,TRUE
