TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0008152," ""metabolic process""", 45.8088268306919,6.116011042,3.547037541,4.00877045,-3.337242168,1,0,, FALSE
GO:0009416," ""response to light stimulus""", 3.00363669016298,4.741666502,-4.748947544,2.826074803,-6.07211659,0.897021978,0,, FALSE
GO:0071214," ""cellular response to abiotic stimulus""", 0.978763525344588,,,2.340444115,-1.363512104,0.885587974,0.53027986,9416, TRUE
GO:0009409," ""response to cold""", 1.85426300902438,,,2.617000341,-2.164943898,0.907419444,0.57549838,9416, TRUE
GO:0009314," ""response to radiation""", 3.10690073182777,,,2.840733235,-5.688246139,0.902907468,0.61807276,9416, TRUE
GO:0010114," ""response to red light""", 0.278363938400754,,,1.799340549,-2.818156412,0.920626767,0.71649044,9416, TRUE
GO:0009639," ""response to red or far red light""", 0.924886634041216,,,2.315970345,-2.307153081,0.910131716,0.82155357,9416, TRUE
GO:0009987," ""cellular process""", 63.1347371256678,0.861397098,-8.342962961,4.148077977,-6.407823243,1,0,, FALSE
GO:0010817," ""regulation of hormone levels""", 1.25263772280339,-2.598203554,4.024530123,2.447158031,-4.42945706,0.921329765,0,, FALSE
GO:0060918," ""auxin transport""", 0.422035648543079,,,1.977723605,-2.950781977,0.857866797,0.61594294,10817, TRUE
GO:0009914," ""hormone transport""", 0.435504871368922,,,1.991226076,-2.838631998,0.859580995,0.79327824,10817, TRUE
GO:0009926," ""auxin polar transport""", 0.300812643110492,,,1.832508913,-2.655607726,0.86243806,0.96019377,10817, TRUE
GO:0019748," ""secondary metabolic process""", 1.39181969200377,-2.493858071,-7.341150787,2.492760389,-11.26042766,0.921044025,0,, FALSE
GO:0032501," ""multicellular organismal process""", 11.7765904907287,7.583414249,0.400900762,3.418963831,-4.490797478,1,0,, FALSE
GO:0032502," ""developmental process""", 12.4545413729628,6.879475055,2.504894413,3.443262987,-7.215382707,1,0,, FALSE
GO:0040007," ""growth""", 1.68365285323037,6.739425033,1.268509344,2.575187845,-3.480172006,1,0,, FALSE
GO:0044419," ""biological process involved in interspecies interaction between organisms""", 6.38441161944956,-0.552479125,-8.362111641,3.1532049,-2.212539525,1,0,, FALSE
GO:0050896," ""response to stimulus""", 28.1416962241279,1.060969378,-7.135476707,3.79719827,-17.01547269,1,0,, FALSE
GO:0065007," ""biological regulation""", 29.6592286625062,0.283950595,-0.52635817,3.820004307,-3.612610174,1,0,, FALSE
GO:0071554," ""cell wall organization or biogenesis""", 2.9677187626274,4.976965276,1.819118179,2.820857989,-12.87614836,0.965900391,0,, FALSE
GO:0099402," ""plant organ development""", 4.46280249629596,0.186795653,6.583189953,2.997823081,-5.179142011,0.891350762,0,, FALSE
GO:0030154," ""cell differentiation""", 3.08445202711804,,,2.837588438,-1.53313238,0.873143716,0.55361074,99402, TRUE
GO:0009888," ""tissue development""", 2.79710860683339,,,2.79518459,-1.841637508,0.904122795,0.56399245,99402, TRUE
GO:0009653," ""anatomical structure morphogenesis""", 3.80730031877161,,,2.92890769,-3.297569464,0.900201628,0.59125928,99402, TRUE
GO:0048364," ""root development""", 2.31221658510304,,,2.712649702,-3.924453039,0.893283643,0.67783468,99402, TRUE
GO:0022622," ""root system development""", 2.32119606698693,,,2.71432976,-3.924453039,0.900054186,0.67821697,99402, TRUE
GO:0048856," ""anatomical structure development""", 11.7945494544965,,,3.419625361,-6.798602876,0.885954676,0.69512938,99402, TRUE
GO:0009791," ""post-embryonic development""", 6.03421182597764,,,3.128722284,-2.625251654,0.890295027,0.73753335,99402, TRUE
GO:0048731," ""system development""", 7.95133120818929,,,3.248463718,-4.801342913,0.885965031,0.78111126,99402, TRUE
GO:0048528," ""post-embryonic root development""", 0.552238135859561,,,2.093421685,-2.089375595,0.906169507,0.81993665,99402, TRUE
GO:0007275," ""multicellular organism development""", 10.1782427153953,,,3.35564305,-4.91721463,0.885466299,0.82472204,99402, TRUE
GO:0048527," ""lateral root development""", 0.511830467382032,,,2.06069784,-1.679853714,0.906871376,0.92734487,99402, TRUE
GO:0042546," ""cell wall biogenesis""", 1.05957886229965,1.512807415,1.752244655,2.374748346,-5.966576245,0.872431687,0.04204583,, FALSE
GO:0009834," ""plant-type secondary cell wall biogenesis""", 0.282853679342702,,,1.806179974,-2.950781977,0.884314197,0.65538057,42546, TRUE
GO:0042545," ""cell wall modification""", 0.659991918466305,,,2.170261715,-4.455931956,0.879808504,0.71341806,42546, TRUE
GO:0044036," ""cell wall macromolecule metabolic process""", 0.781214923898891,,,2.243038049,-4.910094889,0.809047339,0.72621663,42546, TRUE
GO:0071555," ""cell wall organization""", 2.36609347640641,,,2.722633923,-4.744727495,0.864267294,0.82327745,42546, TRUE
GO:0009832," ""plant-type cell wall biogenesis""", 0.695909846001886,,,2.193124598,-2.053056729,0.875023886,0.83042461,42546, TRUE
