TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",0.876,-6.464,-6.579,5.302,3.81,1,0,-1,FALSE
GO:0007568," ""aging""",0.04,5.263,-2.607,3.961,5.09,0.99,0,-1,FALSE
GO:0007623," ""circadian rhythm""",0.045,2.784,-4.908,4.015,6.51,1,0,-1,FALSE
GO:0008150," ""biological_process""",100,-4.945,-7.328,7.359,1.12,1,0,-1,FALSE
GO:0008152," ""metabolic process""",62.634,2.25,-3.496,7.156,1.36,1,0,-1,FALSE
GO:0009987," ""cellular process""",79.11,2.582,-6.388,7.257,1.49,1,0,-1,FALSE
GO:0010189," ""vitamin E biosynthetic process""",0.001,0.289,5.897,2.433,20.8,0.902,0,-1,FALSE
GO:0042360," ""vitamin E metabolic process""",0.001,,,2.491,20.8,0.91,0.814,10189,TRUE
GO:0042362," ""fat-soluble vitamin biosynthetic process""",0.003,,,2.846,18.72,0.908,0.85,10189,TRUE
GO:0010200," ""response to chitin""",0.004,-6.903,-1.402,2.935,14.47,0.731,0,-1,FALSE
GO:0010243," ""response to organonitrogen compound""",0.224,,,4.709,8.74,0.676,0.734,10200,TRUE
GO:0033993," ""response to lipid""",0.19,,,4.639,2.66,0.681,0.738,10200,TRUE
GO:0044419," ""biological process involved in interspecies interaction between organisms""",0.755,1.574,-2.139,5.237,3.8,1,0,-1,FALSE
GO:0048511," ""rhythmic process""",0.096,3.771,-3.631,4.343,6.51,1,0,-1,FALSE
GO:0050896," ""response to stimulus""",12.913,3.324,-2.122,6.47,2.76,1,0,-1,FALSE
GO:0065007," ""biological regulation""",22.821,5.848,-1.095,6.717,1.62,1,0,-1,FALSE
GO:0070509," ""calcium ion import""",0.018,4.44,-1.209,3.617,20.8,1,0,-1,FALSE
GO:0080037," ""negative regulation of cytokinin-activated signaling pathway""",0.003,-2.503,-6.976,2.795,37.45,0.893,0,-1,FALSE
GO:0051259," ""protein complex oligomerization""",0.174,5.412,0.446,4.6,6.93,0.984,0.006,-1,FALSE
GO:0007154," ""cell communication""",7.739,-5.669,-6.913,6.248,1.75,0.992,0.011,-1,FALSE
GO:0015977," ""carbon fixation""",0.05,3.365,-5.764,4.062,15.6,0.978,0.028,-1,FALSE
GO:0015979," ""photosynthesis""",0.221,4.843,-3.924,4.704,5.98,0.969,0.037,-1,FALSE
GO:0044281," ""small molecule metabolic process""",15.889,5.588,2.245,6.56,2.09,0.967,0.044,-1,FALSE
GO:0006091," ""generation of precursor metabolites and energy""",3.506,2.223,-0.762,5.904,2.67,0.958,0.068,-1,FALSE
GO:0009056," ""catabolic process""",5.897,4.132,-4.881,6.13,2,0.972,0.075,-1,FALSE
GO:0019685," ""photosynthesis dark reaction""",0.02,3.177,1.743,3.663,16.64,0.935,0.111,-1,FALSE
GO:0019684," ""photosynthesis light reaction""",0.088,,,4.305,5.41,0.946,0.785,19685,TRUE
GO:1901564," ""organonitrogen compound metabolic process""",32.36,3.9,4.701,6.869,1.52,0.938,0.118,-1,FALSE
GO:2000762," ""regulation of phenylpropanoid metabolic process""",0.006,0.336,-6.154,3.127,9.25,0.913,0.128,-1,FALSE
GO:0042752," ""regulation of circadian rhythm""",0.033,-0.271,-5.358,3.872,7.66,0.919,0.138,-1,FALSE
GO:0010119," ""regulation of stomatal movement""",0.009,-0.042,-6.932,3.312,4.46,0.924,0.141,-1,FALSE
GO:0033013," ""tetrapyrrole metabolic process""",0.892,2.174,5.313,5.309,6.66,0.934,0.148,-1,FALSE
GO:0016567," ""protein ubiquitination""",0.833,2.562,6.099,5.28,2.25,0.93,0.161,-1,FALSE
GO:0032446," ""protein modification by small protein conjugation""",0.925,,,5.325,2.24,0.93,0.924,16567,TRUE
