TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""", 5.09136622816863,-2.82660989,-7.482546379,3.054995862,-1.578396073,1,0,, FALSE
GO:0009987," ""cellular process""", 63.1347371256678,3.967250024,-1.315463602,4.148077977,-1.772113295,1,0,, FALSE
GO:0044419," ""biological process involved in interspecies interaction between organisms""", 6.38441161944956,3.435519394,4.323131919,3.1532049,-3.647817482,1,0,, FALSE
GO:0048523," ""negative regulation of cellular process""", 3.70403627710681,0.509606848,7.535111947,2.916980047,-1.66756154,0.74234993,0,, FALSE
GO:0050896," ""response to stimulus""", 28.1416962241279,0.539215996,-6.108338508,3.79719827,-5.732828272,1,0,, FALSE
GO:0065007," ""biological regulation""", 29.6592286625062,2.746871233,-3.940305794,3.820004307,-3.049148541,1,0,, FALSE
GO:0071456," ""cellular response to hypoxia""", 1.03713015758991,-5.662176421,-0.868909367,2.365487985,-12.59516628,0.572886769,0,, FALSE
GO:0009873," ""ethylene-activated signaling pathway""", 0.871009742737844,,,2.290034611,-1.798602876,0.490109013,0.52601023,71456, TRUE
GO:0000160," ""phosphorelay signal transduction system""", 1.10447627171912,,,2.392696953,-1.404503778,0.539842413,0.75551046,71456, TRUE
GO:0071369," ""cellular response to ethylene stimulus""", 0.906927670273425,,,2.307496038,-1.677780705,0.65946827,0.92052623,71456, TRUE
GO:0071453," ""cellular response to oxygen levels""", 1.0550891213577,,,2.372912003,-13.00392635,0.577324972,0.96193793,71456, TRUE
GO:0001666," ""response to hypoxia""", 1.1493736811386,,,2.409933123,-12.63638802,0.632565912,0.97289978,71456, TRUE
GO:0036293," ""response to decreased oxygen levels""", 1.17182238584834,,,2.418301291,-12.65169514,0.641297836,0.98435453,71456, TRUE
GO:0036294," ""cellular response to decreased oxygen levels""", 1.05059938041575,,,2.371067862,-12.85078089,0.576699172,0.98712503,71456, TRUE
GO:1901565," ""organonitrogen compound catabolic process""", 3.80730031877161,4.200337601,1.518096104,2.92890769,-1.460923901,1,0,, FALSE
GO:0009620," ""response to fungus""", 2.85098549813676,-5.882664076,3.459081525,2.803457116,-2.412289035,0.68804554,0.2242382,, FALSE
GO:0051707," ""response to other organism""", 6.3125757643784,,,3.148294097,-3.614393726,0.654230548,0.81904415,9620, TRUE
GO:0098542," ""defense response to other organism""", 5.02402011403942,,,3.049218023,-1.619788758,0.629596409,0.89969714,9620, TRUE
GO:0043207," ""response to external biotic stimulus""", 6.3125757643784,,,3.148294097,-3.583359493,0.654635378,0.929782,9620, TRUE
GO:0006955," ""immune response""", 5.05095855969111,,,3.051538391,-1.609064893,0.697079576,0.9457064,9620, TRUE
GO:0042221," ""response to chemical""", 13.7026893548242,-6.589024779,1.624520614,3.484726804,-7.935542011,0.671802446,0.32861697,, FALSE
GO:0010200," ""response to chitin""", 0.583666322453194,-3.840245629,1.291997938,2.117271296,-2.36552273,0.700910896,0.35320673,, FALSE
GO:0010243," ""response to organonitrogen compound""", 1.14488394019665,,,2.408239965,-1.841637508,0.680031844,0.87411923,10200, TRUE
GO:0009607," ""response to biotic stimulus""", 6.42481928792709,-6.773377234,2.741405005,3.155943018,-3.634512015,0.707878511,0.38503493,, FALSE
GO:1901698," ""response to nitrogen compound""", 1.40977865577156,-4.473555735,0.250410519,2.498310554,-2.379863945,0.696513084,0.38847995,, FALSE
GO:0009605," ""response to external stimulus""", 8.35091815202263,-7.433333517,1.923085125,3.269746373,-2.425968732,0.696262919,0.40761856,, FALSE
GO:0009628," ""response to abiotic stimulus""", 9.28478426794774,-7.494895295,0.945381396,3.315760491,-4.879426069,0.691314996,0.41751914,, FALSE
GO:0031323," ""regulation of cellular metabolic process""", 15.3683832442868,-0.209002377,7.994634104,3.534533756,-2.412289035,0.573534879,0.42455195,, FALSE
GO:0019222," ""regulation of metabolic process""", 16.6748978583936,,,3.569958818,-2.442492798,0.674929852,0.53382791,31323, TRUE
GO:0050794," ""regulation of cellular process""", 23.7282808781933,,,3.723127159,-2.337242168,0.648140445,0.60561973,31323, TRUE
