TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0000302," ""response to reactive oxygen species""",0.167,5.489,-3.789,4.581,15.08,0.52,0.712,9738,TRUE
GO:0001101," ""response to acid chemical""",0.048,6.241,-4.992,4.04,3.46,0.633,0.482,-1,TRUE
GO:0001666," ""response to hypoxia""",0.039,,,3.948,18.86,0.597,0.947,71456,TRUE
GO:0002221," ""pattern recognition receptor signaling pathway""",0.032,2.561,-5.012,3.862,21.02,0.646,0.305,-1,TRUE
GO:0002229," ""defense response to oomycetes""",0.011,6.575,-0.901,3.387,9.47,0.61,0.585,-1,TRUE
GO:0002237," ""response to molecule of bacterial origin""",0.042,,,3.984,17.09,0.486,0.77,50829,TRUE
GO:0002239," ""response to oomycetes""",0.011,6.494,-0.304,3.404,8.76,0.637,0.57,-1,TRUE
GO:0002376," ""immune system process""",0.876,-5.49,-1.338,5.302,6.87,1,0,-1,TRUE
GO:0002682," ""regulation of immune system process""",0.288,-1.376,-8.311,4.818,7.04,0.886,0.201,-1,TRUE
GO:0002831," ""regulation of response to biotic stimulus""",0.082,-3.496,-5.577,4.274,7.37,0.82,0.57,-1,TRUE
GO:0006139," ""nucleobase-containing compound metabolic process""",18.964,1.989,5.521,6.637,0.2,0.974,0.072,-1,FALSE
GO:0006950," ""response to stress""",4.522,6.173,-3.301,6.014,4.24,0.607,0.549,-1,TRUE
GO:0006952," ""defense response""",0.774,5.944,-2.622,5.248,6.27,0.607,0.592,-1,TRUE
GO:0006955," ""immune response""",0.683,,,5.193,6.97,0.595,0.916,44403,FALSE
GO:0006970," ""response to osmotic stress""",0.059,,,4.129,4.74,0.603,0.743,70482,TRUE
GO:0006979," ""response to oxidative stress""",0.59,6.191,-2.518,5.13,8.3,0.615,0.278,-1,TRUE
GO:0007154," ""cell communication""",7.739,-3.325,3.293,6.248,2.74,0.995,0.011,-1,TRUE
GO:0007165," ""signal transduction""",7.086,,,6.209,2.82,0.469,0.734,51716,TRUE
GO:0007568," ""aging""",0.04,-1.925,4.241,3.961,7.27,0.987,0,-1,TRUE
GO:0008219," ""cell death""",0.256,-4.858,1.121,4.767,12.49,0.996,0.008,-1,TRUE
GO:0009266," ""response to temperature stimulus""",0.236,,,4.732,5.56,0.605,0.826,70482,FALSE
GO:0009314," ""response to radiation""",0.216,,,4.694,2.85,0.607,0.835,70482,TRUE
GO:0009404," ""toxin metabolic process""",0.067,-0.115,5.334,4.186,9.5,0.993,0.007,-1,FALSE
GO:0009408," ""response to heat""",0.19,,,4.638,6.59,0.571,0.728,70482,TRUE
GO:0009409," ""response to cold""",0.04,,,3.96,5.38,0.61,0.856,70482,TRUE
GO:0009416," ""response to light stimulus""",0.185,,,4.627,2.94,0.607,0.811,70482,TRUE
GO:0009605," ""response to external stimulus""",1.712,6.643,-3.307,5.593,5.04,0.639,0.392,-1,TRUE
GO:0009607," ""response to biotic stimulus""",0.65,7.004,-3.728,5.172,6.33,0.666,0.351,-1,TRUE
GO:0009615," ""response to virus""",0.168,,,4.585,9.34,0.574,0.789,44403,TRUE
GO:0009617," ""response to bacterium""",0.169,,,4.587,7.3,0.574,0.797,44403,TRUE
GO:0009620," ""response to fungus""",0.041,6.499,-0.7,3.972,8.41,0.609,0.667,-1,TRUE
