TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0000160," ""phosphorelay signal transduction system""",2.749,-3.841,3.308,5.798,22.06,0.462,0.497,-1,TRUE
GO:0001666," ""response to hypoxia""",0.039,,,3.948,30.51,0.639,0.947,71456,TRUE
GO:0002376," ""immune system process""",0.876,4.537,-0.114,5.302,5.11,1,0,-1,TRUE
GO:0006355," ""regulation of transcription DNA-templated""",9.898,0.743,7.494,6.355,3.65,0.565,0.569,-1,TRUE
GO:0006950," ""response to stress""",4.522,-5.482,1.387,6.014,4.48,0.665,0.549,-1,TRUE
GO:0006955," ""immune response""",0.683,,,5.193,5.18,0.705,0.916,98542,FALSE
GO:0006979," ""response to oxidative stress""",0.59,-6.862,1.147,5.13,10.71,0.698,0.492,-1,TRUE
GO:0009056," ""catabolic process""",5.897,4.544,3.786,6.13,5,0.989,0.037,-1,TRUE
GO:0009063," ""cellular amino acid catabolic process""",0.722,,,5.218,20.57,0.861,0.884,9065,TRUE
GO:0009065," ""glutamine family amino acid catabolic process""",0.13,-0.374,-6.159,4.474,67.81,0.879,0,-1,FALSE
GO:0009314," ""response to radiation""",0.216,,,4.694,5.79,0.648,0.819,9642,TRUE
GO:0009416," ""response to light stimulus""",0.185,,,4.627,5.98,0.646,0.789,9642,TRUE
GO:0009605," ""response to external stimulus""",1.712,-6.264,2.135,5.593,4.39,0.695,0.392,-1,TRUE
GO:0009607," ""response to biotic stimulus""",0.65,-7.135,2.169,5.172,5.51,0.72,0.234,-1,TRUE
GO:0009611," ""response to wounding""",0.103,-7.364,0.634,4.374,12.82,0.736,0.38,-1,TRUE
GO:0009628," ""response to abiotic stimulus""",0.598,-6.784,2.752,5.136,5.11,0.722,0.351,-1,TRUE
GO:0009642," ""response to light intensity""",0.01,-5.917,-1.141,3.351,26.34,0.704,0.654,-1,TRUE
GO:0009644," ""response to high light intensity""",0.005,-5.532,-1.357,3.023,30.51,0.716,0.546,-1,FALSE
GO:0009719," ""response to endogenous stimulus""",0.539,-4.487,1.207,5.091,4.75,0.724,0.348,-1,TRUE
GO:0009725," ""response to hormone""",0.379,,,4.938,4.86,0.65,0.782,10200,FALSE
GO:0009873," ""ethylene-activated signaling pathway""",0.013,-3.804,4.071,3.477,33.29,0.578,0.477,-1,FALSE
GO:0009889," ""regulation of biosynthetic process""",11.506,,,6.42,3.14,0.584,0.786,6355,TRUE
GO:0009890," ""negative regulation of biosynthetic process""",0.914,,,5.32,7.78,0.595,0.819,45892,TRUE
GO:0009987," ""cellular process""",79.11,4.712,1.788,7.257,1.64,1,0,-1,TRUE
GO:0010033," ""response to organic substance""",0.993,,,5.356,6.37,0.644,0.763,70887,TRUE
GO:0010200," ""response to chitin""",0.004,-5.96,4.358,2.935,35.38,0.739,0,-1,FALSE
GO:0010243," ""response to organonitrogen compound""",0.224,-5.172,2.594,4.709,21.97,0.663,0.734,10200,FALSE
