ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0010200;response to chitin;9/34;138/21510;6.473807780704646e-13;1.864456640842938e-10;1.3492778321889684e-10;STZ/ATCMPG1/ATWRKY40/ATL6/ATSZF1/ATERF6/AtERF#100/NA/ERF105;9
GO:0042493;response to drug;11/34;465/21510;7.830016180503585e-11;4.9044020373286505e-9;3.54923831648784e-9;STZ/ATCMPG1/ATWRKY40/ATHSPRO2/ATL6/ATSZF1/ATERF6/AtERF#100/DIC2/NA/ERF105;11
GO:0071456;cellular response to hypoxia;9/34;238/21510;8.808847857271061e-11;4.9044020373286505e-9;3.54923831648784e-9;NA/NA/STZ/ATHSPRO2/ATSZF1/DIC2/NA/ATBCB/PBP1;9
GO:0036294;cellular response to decreased oxygen levels;9/34;240/21510;9.49013539925355e-11;4.9044020373286505e-9;3.54923831648784e-9;NA/NA/STZ/ATHSPRO2/ATSZF1/DIC2/NA/ATBCB/PBP1;9
GO:0071453;cellular response to oxygen levels;9/34;240/21510;9.49013539925355e-11;4.9044020373286505e-9;3.54923831648784e-9;NA/NA/STZ/ATHSPRO2/ATSZF1/DIC2/NA/ATBCB/PBP1;9
GO:0010243;response to organonitrogen compound;9/34;242/21510;1.021750424443469e-10;4.9044020373286505e-9;3.54923831648784e-9;STZ/ATCMPG1/ATWRKY40/ATL6/ATSZF1/ATERF6/AtERF#100/NA/ERF105;9
GO:0001666;response to hypoxia;9/34;264/21510;2.212426805298436e-10;8.359624850342367e-9;6.049728510116187e-9;NA/NA/STZ/ATHSPRO2/ATSZF1/DIC2/NA/ATBCB/PBP1;9
GO:0036293;response to decreased oxygen levels;9/34;268/21510;2.5276463751860535e-10;8.359624850342367e-9;6.049728510116187e-9;NA/NA/STZ/ATHSPRO2/ATSZF1/DIC2/NA/ATBCB/PBP1;9
GO:0070482;response to oxygen levels;9/34;269/21510;2.61238276573199e-10;8.359624850342367e-9;6.049728510116187e-9;NA/NA/STZ/ATHSPRO2/ATSZF1/DIC2/NA/ATBCB/PBP1;9
GO:1901698;response to nitrogen compound;9/34;290/21510;5.075911071335728e-10;1.4618623885446896e-8;1.057926728552078e-8;STZ/ATCMPG1/ATWRKY40/ATL6/ATSZF1/ATERF6/AtERF#100/NA/ERF105;9
GO:0002213;defense response to insect;3/34;30/21510;1.422757549213133e-5;3.725037947030749e-4;2.6957511458775154e-4;PLIP2/ORA47/AtCAF1a;3
GO:0010087;phloem or xylem histogenesis;4/34;103/21510;2.0588432748032077e-5;4.6357683739654007e-4;3.354832375896014e-4;ORA47/ATERF6/AtERF#100/ERF104;4
GO:0009611;response to wounding;5/34;215/21510;2.0925343354704935e-5;4.6357683739654007e-4;3.354832375896014e-4;STZ/ORA47/ATWRKY40/AtCAF1a/ATBCB;5
