genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G16030;83.08214205528166;-1.433619228938537;0.309117977019464;-4.63777371591775;3.521820502914954e-6;0.004074124824136793;Hsp70b;Q9S9N1;838174;"Hsp70b [Source:UniProtKB/TrEMBL;Acc:A0A178W9N7]";HSP70-5;UniProtKB Gene Name
AT1G25560;930.6184327805835;-0.9182650456210135;0.11396108276686136;-8.057707274505074;7.773870480619827e-16;1.528809368718695e-11;TEM1;Q9C6M5;839143;"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]";TEM1;UniProtKB Gene Name
AT1G27730;768.686826149283;-0.7706061158028804;0.1357916858094971;-5.6749138300261475;1.3875848531325116e-8;4.548040620283995e-5;STZ;Q96289;839666;"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]";ZAT10;UniProtKB Gene Name
AT1G28190;125.85600787302684;-0.9312075751687273;0.19305106636640976;-4.823633418327257;1.4096639691993427e-6;0.002310204301522856;;;839713;"F3H9.15 protein [Source:UniProtKB/TrEMBL;Acc:Q9FZ93]";;
AT1G68840;1324.5581009871362;-0.6563621185173282;0.12201395265763954;-5.3794021439418716;7.473360300239345e-8;1.6832372699962072e-4;RAV2;P82280;843216;"TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]";RAV2;UniProtKB Gene Name
AT1G69490;135.59512903356875;-0.9731990871481025;0.24874357763791588;-3.9124591532760773;9.136099490497818e-5;0.04229884269690679;NAP;O49255;843282;"NAP [Source:UniProtKB/TrEMBL;Acc:A0A178W8K0]";NAC029;UniProtKB Gene Name
AT1G80450;109.84789210872688;-0.9539111675688138;0.20096839552037662;-4.746573037510739;2.068920378805206e-6;0.0025429617605989487;;Q9M8L3;844384;"VQ motif-containing protein 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8L3]";VQ11;UniProtKB Gene Name
AT2G03760;1158.9380079218797;-0.7445617234042212;0.1455027227594603;-5.117166945632372;3.101590764467342e-7;6.099588397401474e-4;ST;P52839;814903;"Cytosolic sulfotransferase 12 [Source:UniProtKB/Swiss-Prot;Acc:P52839]";SOT12;UniProtKB Gene Name
AT2G17230;284.56976110166045;0.6648232996136674;0.14845298653267383;4.4783423704806555;7.522488637454842e-6;0.006724420979281224;EXL5;Q9SII5;816228;"Protein EXORDIUM-like 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SII5]";EXL5;UniProtKB Gene Name
AT2G23130;691.7782101878104;0.8429952871240268;0.18401401554204072;4.581147173169709;4.62432257698068e-6;0.004689842680683489;AGP17;O22194;816845;"Lysine-rich arabinogalactan protein 17 [Source:UniProtKB/Swiss-Prot;Acc:O22194]";AGP17;UniProtKB Gene Name
AT2G23130;691.7782101878104;0.8429952871240268;0.18401401554204072;4.581147173169709;4.62432257698068e-6;0.004689842680683489;AGP17;;816845;"Lysine-rich arabinogalactan protein 17 [Source:UniProtKB/Swiss-Prot;Acc:O22194]";AGP17;UniProtKB Gene Name
AT2G23320;715.0621438816702;-0.4583998240292641;0.11143220692890433;-4.113710359534843;3.89349907709671e-5;0.026403294086270315;WRKY15;;816864;"Probable WRKY transcription factor 15 [Source:UniProtKB/Swiss-Prot;Acc:O22176]";WRKY15;UniProtKB Gene Name
