genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G01470;2867.6571689520683;-0.5871584717864242;0.15376634241744347;-3.8185110119379164;1.3425959231672758e-4;0.013273674045943137;LEA14;O03983;837071;"LSR3 [Source:UniProtKB/TrEMBL;Acc:A0A178W160]";LEA14;UniProtKB Gene Name
AT1G01560;9.835652400265234;-3.88670824507985;0.9886657436518504;-3.9312662242381875;8.449963748697493e-5;0.009565375378620272;ATMPK11;Q9LMM5;839523;"Mitogen-activated protein kinase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMM5]";MPK11;UniProtKB Gene Name
AT1G01560;9.835652400265234;-3.88670824507985;0.9886657436518504;-3.9312662242381875;8.449963748697493e-5;0.009565375378620272;ATMPK11;;839523;"Mitogen-activated protein kinase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMM5]";MPK11;UniProtKB Gene Name
AT1G02610;431.381288073325;-0.5624400651997836;0.15461372651999622;-3.6377110742948373;2.750717448792839e-4;0.021918496686183238;;;837915;"RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]";;
AT1G02930;2642.58057079527;-1.5613938523779813;0.4288175859639801;-3.641160958611281;2.714113777936447e-4;0.021735735267522514;GSTF6;P42760;839515;"Glutathione S-transferase F6 [Source:UniProtKB/Swiss-Prot;Acc:P42760]";GSTF6;UniProtKB Gene Name
AT1G02930;2642.58057079527;-1.5613938523779813;0.4288175859639801;-3.641160958611281;2.714113777936447e-4;0.021735735267522514;ATGSTF6;P42760;839515;"Glutathione S-transferase F6 [Source:UniProtKB/Swiss-Prot;Acc:P42760]";GSTF6;UniProtKB Gene Name
AT1G03730;219.7032006622098;-0.7988313624023592;0.20152949813906448;-3.963843356822778;7.375265683284282e-5;0.008620552403024064;;;839106;"At1g03730 [Source:UniProtKB/TrEMBL;Acc:Q1ECK0]";;
AT1G07135;1841.7607096868348;-0.7782141100376211;0.19750760005344095;-3.9401729848727567;8.142287461580684e-5;0.009346465703816776;;;837224;"At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]";;
AT1G07160;30.736101112775273;-1.9454559990155922;0.4088543152728795;-4.758311032420305;1.9521952922492297e-6;7.579841902905873e-4;;Q8RX37;837227;"PP2C-type phosphatase AP2C2 [Source:UniProtKB/TrEMBL;Acc:F6LPR6]";;
AT1G07400;84.83769067368256;-1.4289380611099172;0.336048091350489;-4.252183237724667;2.1169653148112506e-5;0.003798974310739013;;Q9LNW0;837252;"17.8 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:Q9LNW0]";HSP17.8;UniProtKB Gene Name
AT1G08050;182.9301859483404;-1.2606619830263086;0.30023551120179703;-4.198910308710887;2.6820251910753244e-5;0.004539080924894438;;;837321;"T6D22.13 [Source:UniProtKB/TrEMBL;Acc:Q9LN03]";;
AT1G08560;302.60010353687494;0.6669029184552685;0.1831521408123224;3.641251014033463;2.71316442200395e-4;0.021735735267522514;SYP111;Q42374;837378;"SYP111 [Source:UniProtKB/TrEMBL;Acc:A0A178WAC8]";KN;UniProtKB Gene Name
AT1G09750;1682.0326956842866;0.6413046003342519;0.17965231756255348;3.569698454410168;3.5739238410926777e-4;0.026137377954292513;;O04496;837504;"Aspartyl protease AED3 [Source:UniProtKB/Swiss-Prot;Acc:O04496]";AED3;UniProtKB Gene Name
AT1G09932;42.38904170965382;-1.7959749629690234;0.48633915777845543;-3.6928446625043363;2.2175948986465424e-4;0.019329281249223233;;;837526;"Phosphoglycerate mutase family protein [Source:UniProtKB/TrEMBL;Acc:Q8GWG7]";;
AT1G09970;2309.9998835757942;-0.4346158648929742;0.1275639870266635;-3.4070420266977903;6.567101435575902e-4;0.04029898021744925;LRR XI-23;F4I2N7;837531;"Receptor-like protein kinase 7 [Source:UniProtKB/Swiss-Prot;Acc:F4I2N7]";LRR XI-23;TAIR Gene Name
AT1G09970;2309.9998835757942;-0.4346158648929742;0.1275639870266635;-3.4070420266977903;6.567101435575902e-4;0.04029898021744925;LRR XI-23;;837531;"Receptor-like protein kinase 7 [Source:UniProtKB/Swiss-Prot;Acc:F4I2N7]";LRR XI-23;TAIR Gene Name
AT1G10340;158.4092655920563;-1.528229114973102;0.27847906292191565;-5.487770243616523;4.070390094344121e-8;4.0046034990659224e-5;;;837573;"Ankyrin repeat family protein [Source:UniProtKB/TrEMBL;Acc:Q9SY76]";;
AT1G11210;484.6384869532572;-0.4866607315621692;0.13791222651716192;-3.528771479166923;4.1749347989708627e-4;0.028868800893297377;;;837662;"At1g11210/T28P6_5 [Source:UniProtKB/TrEMBL;Acc:Q9SXA7]";;
AT1G11860;6999.207665495764;0.45607529993432366;0.12755363749142085;3.5755569884473024;3.4948303303704433e-4;0.025735207484503732;;O65396;837733;"Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860]";;
AT1G11860;6999.207665495764;0.45607529993432366;0.12755363749142085;3.5755569884473024;3.4948303303704433e-4;0.025735207484503732;;;837733;"Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860]";;
AT1G12950;63.68660148589021;-1.32571349744253;0.3795695544473252;-3.492676064003194;4.782062324901138e-4;0.03171457793424341;RSH2;Q9LPV4;837853;"Protein DETOXIFICATION [Source:UniProtKB/TrEMBL;Acc:A0A178WCP4]";DTX31;UniProtKB Gene Name
AT1G13520;101.73557959442284;-2.8714854610099794;0.832724720880156;-3.4483009679056202;5.641250590485309e-4;0.03596086757009366;;;837912;"At1g13520 [Source:UniProtKB/TrEMBL;Acc:Q6NNH1]";;
AT1G14540;15.129681406637474;-2.0798148241748797;0.5504349011881394;-3.7784937322933234;1.5777982281093365e-4;0.015001666313754719;;Q9LE15;838016;"Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A178WND9]";PER4;UniProtKB Gene Name
AT1G14740;431.57018057164186;-0.4610894228200979;0.13501003899396422;-3.415223240108178;6.372975667577294e-4;0.03933378479222922;;Q94B71;838039;"Protein OBERON 3 [Source:UniProtKB/Swiss-Prot;Acc:Q94B71]";OBE3;UniProtKB Gene Name
AT1G14870;1920.467847548993;-0.9512178380091414;0.23726724879167768;-4.009056634884814;6.09617959161628e-5;0.007831081958673812;PCR2;;838052;"PCR2 [Source:UniProtKB/TrEMBL;Acc:A0A178WDU8]";PCR2;UniProtKB Gene Name
AT1G14870;1920.467847548993;-0.9512178380091414;0.23726724879167768;-4.009056634884814;6.09617959161628e-5;0.007831081958673812;PCR2;Q9LQU4;838052;"PCR2 [Source:UniProtKB/TrEMBL;Acc:A0A178WDU8]";PCR2;UniProtKB Gene Name
AT1G15520;141.0525179915912;-3.4674023975059827;0.8234071471079554;-4.211042386120287;2.541950421971956e-5;0.004413280590342368;PDR12;Q9M9E1;838122;"ABC transporter G family member 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9E1]";ABCG40;UniProtKB Gene Name
AT1G15520;141.0525179915912;-3.4674023975059827;0.8234071471079554;-4.211042386120287;2.541950421971956e-5;0.004413280590342368;PDR12;;838122;"ABC transporter G family member 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9E1]";ABCG40;UniProtKB Gene Name
