"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010200","GO:0010200","response to chitin","28/524","141/21644",6.10479012758701e-18,8.6443828206632e-15,7.69203556075963e-15,"ATWRKY33/ATBZIP60/AT-HSFA4A/BT5/ANAC062/ATSZF2/STZ/AtRDUF2/ATSZF1/AtWRKY15/ADOF1/ERF105/SCL13/ATL6/ATCMPG2/AtERF#100/NA/ATWRKY40/ATERF-4/ATERF-2/XERICO/AT-HSFB2A/ATMYB44/ATERF6/ATCMPG1/AtWRKY22/NA/BRH1",28
"GO:0001666","GO:0001666","response to hypoxia","36/524","264/21644",4.13162352522019e-17,1.95459253125773e-14,1.73925606594967e-14,"AtGILP/(AT)SRC2/NHL3/CBP60G/ATSZF2/STZ/NA/ATSZF1/NA/ATCAL4/NA/HHO2/PBP1/IQM4/CBP1/NA/EXL2/NA/SCL13/NA/NA/NA/ATLPP1/CID1/ATERF-4/ERF74/NA/AtRAV2/NA/NA/ANAC091/NA/NA/AtWRKY22/NA/ATMYB30",36
"GO:0036293","GO:0036293","response to decreased oxygen levels","36/524","268/21644",6.7514840975561e-17,1.95459253125773e-14,1.73925606594967e-14,"AtGILP/(AT)SRC2/NHL3/CBP60G/ATSZF2/STZ/NA/ATSZF1/NA/ATCAL4/NA/HHO2/PBP1/IQM4/CBP1/NA/EXL2/NA/SCL13/NA/NA/NA/ATLPP1/CID1/ATERF-4/ERF74/NA/AtRAV2/NA/NA/ANAC091/NA/NA/AtWRKY22/NA/ATMYB30",36
"GO:0071456","GO:0071456","cellular response to hypoxia","34/524","238/21644",7.43951560606634e-17,1.95459253125773e-14,1.73925606594967e-14,"AtGILP/(AT)SRC2/NHL3/CBP60G/ATSZF2/STZ/NA/ATSZF1/NA/ATCAL4/NA/HHO2/PBP1/IQM4/CBP1/NA/EXL2/NA/SCL13/NA/NA/NA/ATLPP1/CID1/ATERF-4/NA/AtRAV2/NA/NA/ANAC091/NA/NA/AtWRKY22/NA",34
"GO:0070482","GO:0070482","response to oxygen levels","36/524","269/21644",7.62231866806402e-17,1.95459253125773e-14,1.73925606594967e-14,"AtGILP/(AT)SRC2/NHL3/CBP60G/ATSZF2/STZ/NA/ATSZF1/NA/ATCAL4/NA/HHO2/PBP1/IQM4/CBP1/NA/EXL2/NA/SCL13/NA/NA/NA/ATLPP1/CID1/ATERF-4/ERF74/NA/AtRAV2/NA/NA/ANAC091/NA/NA/AtWRKY22/NA/ATMYB30",36
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","34/524","240/21644",9.6625336997204e-17,1.95459253125773e-14,1.73925606594967e-14,"AtGILP/(AT)SRC2/NHL3/CBP60G/ATSZF2/STZ/NA/ATSZF1/NA/ATCAL4/NA/HHO2/PBP1/IQM4/CBP1/NA/EXL2/NA/SCL13/NA/NA/NA/ATLPP1/CID1/ATERF-4/NA/AtRAV2/NA/NA/ANAC091/NA/NA/AtWRKY22/NA",34
"GO:0071453","GO:0071453","cellular response to oxygen levels","34/524","240/21644",9.6625336997204e-17,1.95459253125773e-14,1.73925606594967e-14,"AtGILP/(AT)SRC2/NHL3/CBP60G/ATSZF2/STZ/NA/ATSZF1/NA/ATCAL4/NA/HHO2/PBP1/IQM4/CBP1/NA/EXL2/NA/SCL13/NA/NA/NA/ATLPP1/CID1/ATERF-4/NA/AtRAV2/NA/NA/ANAC091/NA/NA/AtWRKY22/NA",34
"GO:0042493","GO:0042493","response to drug","46/524","470/21644",8.43478810208312e-16,1.49295749406871e-13,1.32847912607809e-13,"ATWRKY33/ATBT2/ATBZIP60/AT-HSFA4A/NHL3/BT5/ANAC062/ATSZF2/AT-SYR1/ATCAT3/STZ/AtRDUF2/ATLACS7/ATSZF1/AtWRKY15/ATSYP122/ADOF1/AtSOD2/ERF105/ATDHAR1/SCL13/ATL6/ATLOX4/ATCMPG2/AtERF#100/NA/ATWRKY40/CYT1/ATERF-4/ATERF-2/MBS2/MBS1/ATGRP-5/XERICO/AT-HSFB2A/ATMYB44/ATWRKY1/UPL5/ATERF6/ATMYB3R-1/ATBT4/ATCMPG1/DIC3/AtWRKY22/NA/BRH1",46
"GO:1901698","GO:1901698","response to nitrogen compound","35/524","294/21644",7.9276678245248e-15,1.2472864043919e-12,1.10987349543347e-12,"ATCLC-A/ATWRKY33/ATBT2/ATBZIP60/AT-HSFA4A/BT5/ANAC062/ATSZF2/STZ/AtRDUF2/ATSZF1/AtWRKY15/ADOF1/ERF105/SCL13/ATL6/ATCMPG2/AtERF#100/NA/ATWRKY40/CYT1/ATERF-4/ATERF-2/XERICO/AT-HSFB2A/ATMYB44/ABCG36/NA/ATERF6/ATMYB3R-1/ATCMPG1/ATRMA1/AtWRKY22/NA/BRH1",35
"GO:0010243","GO:0010243","response to organonitrogen compound","32/524","246/21644",9.39213882894269e-15,1.32992685817828e-12,1.18340949244678e-12,"ATWRKY33/ATBZIP60/AT-HSFA4A/BT5/ANAC062/ATSZF2/STZ/AtRDUF2/ATSZF1/AtWRKY15/ADOF1/ERF105/SCL13/ATL6/ATCMPG2/AtERF#100/NA/ATWRKY40/ATERF-4/ATERF-2/XERICO/AT-HSFB2A/ATMYB44/ABCG36/NA/ATERF6/ATMYB3R-1/ATCMPG1/ATRMA1/AtWRKY22/NA/BRH1",32
"GO:0042742","GO:0042742","defense response to bacterium","33/524","441/21644",1.15266881713646e-08,1.48379913187747e-06,1.32032973599267e-06,"TET8/BIR1/ATWRKY33/SAG101/NHL3/CBP60G/CYP79B3/ADR1/ATNPR3/ATPME3/H2A.Z/CRK7/LSU2/CRK10/AtMYB51/ATL6/ATWRKY40/TAO1/CYT1/VAD1/ATEXO70B1/ATERF-4/ATERF-2/ATMYB44/AtCAF1a/ABCG36/ATGLR3.6/LecRK-IV.2/SRFR1/AtJAZ1/FLS2/mMDH1/EARLI1",33
"GO:0002376","GO:0002376","immune system process","31/524","416/21644",3.54777125673585e-08,4.18637008294831e-06,3.72515981957264e-06,"ATWRKY33/AtGILP/SAG101/NHL3/CBP60G/ANAC062/CYP79B3/AT-SYR1/ATNPR3/NOI/ATSYP122/NSL1/AtMYB51/ATL6/ATBZIP10/ATWRKY40/ASU1/TAO1/ATEXO70B1/ATERF-4/ATERF-2/ATGSTU13/ABCG36/ATGRP8/ATGLR3.6/ANAC091/SRFR1/CAD1/EARLI1/ATCLC-D/ATMYB30",31
"GO:0006955","GO:0006955","immune response","28/524","378/21644",1.8551093619103e-07,2.02064219728075e-05,1.79802907385152e-05,"ATWRKY33/AtGILP/NHL3/CBP60G/ANAC062/CYP79B3/AT-SYR1/ATNPR3/NOI/ATSYP122/NSL1/AtMYB51/ATL6/ATBZIP10/ASU1/TAO1/ATEXO70B1/ATERF-4/ATERF-2/ATGSTU13/ABCG36/ATGRP8/ATGLR3.6/SRFR1/CAD1/EARLI1/ATCLC-D/ATMYB30",28
"GO:0045087","GO:0045087","innate immune response","27/524","364/21644",2.99151228934628e-07,3.02570100122452e-05,2.69236106041165e-05,"ATWRKY33/AtGILP/NHL3/CBP60G/ANAC062/CYP79B3/AT-SYR1/ATNPR3/NOI/ATSYP122/NSL1/AtMYB51/ATL6/ATBZIP10/ASU1/TAO1/ATERF-4/ATERF-2/ATGSTU13/ABCG36/ATGRP8/ATGLR3.6/SRFR1/CAD1/EARLI1/ATCLC-D/ATMYB30",27
"GO:0000302","GO:0000302","response to reactive oxygen species","16/524","154/21644",1.09539297871027e-06,0.00010340509719025,9.20130102116629e-05,"AtLEA5/ATBT2/AT-HSFA4A/BT5/ATCAT3/ATLACS7/CRK7/AtSOD2/ATDHAR1/ATLOX4/CYT1/MBS2/MBS1/UPL5/ATERF6/ATBT4",16
"GO:0006979","GO:0006979","response to oxidative stress","29/524","455/21644",2.44427039219642e-06,0.000216317929709383,0.000192486293385468,"AtLEA5/ATBT2/AT-HSFA4A/ATMSRB9/BT5/ATCAT3/STZ/ATLACS7/ACS6/CRK7/GrxS12/AtSOD2/ATDHAR1/ATLOX4/NA/NA/TPX2/CYT1/MBS2/MBS1/GATL10/ADF3/ATGSTU19/UPL5/ATERF6/NA/ATBT4/NA/AtGolS3",29
"GO:0052542","GO:0052542","defense response by callose deposition","7/524","29/21644",4.602795483922e-06,0.000383385788543151,0.000341148371161278,"CYP79B3/NSL1/AtMYB51/ATEXO70B1/ATGSTU13/ABCG36/FLS2",7
