genes,lFC_nguyen2017,Padj_nguyen2017
AT1G01010,1.237,3.3E-03
AT1G01480,0.937,2.6E-04
AT1G01520,1.317,2.4E-04
AT1G01720,1.890,5.5E-04
AT1G01740,0.723,2.7E-03
AT1G01810,1.253,8.4E-05
AT1G02220,0.960,2.7E-03
AT1G02250,1.064,1.2E-02
AT1G02470,2.394,1.3E-04
AT1G02520,3.322,1.9E-05
AT1G02530,3.073,1.8E-05
AT1G02750,1.439,2.2E-04
AT1G02850,2.414,3.2E-05
AT1G02920,1.223,1.7E-03
AT1G03220,0.838,2.3E-03
AT1G03290,0.837,3.4E-04
AT1G03495,1.984,4.4E-04
AT1G03530,0.712,2.2E-03
AT1G03660,0.972,1.8E-04
AT1G03700,0.854,3.3E-02
AT1G03770,0.833,1.2E-04
AT1G03800,0.726,4.9E-04
AT1G03940,1.749,3.2E-03
AT1G04360,0.735,3.8E-03
AT1G04570,1.848,4.8E-04
AT1G04770,1.511,1.4E-04
AT1G04880,0.764,4.8E-03
AT1G04945,0.916,3.5E-04
AT1G05060,1.244,1.1E-03
AT1G05400,0.871,2.9E-03
AT1G05490,0.885,4.6E-03
AT1G05560,2.947,8.0E-05
AT1G05660,1.286,1.4E-03
AT1G05675,1.223,3.7E-03
AT1G05680,5.985,8.9E-05
AT1G05690,1.104,1.0E-03
AT1G05730,0.964,1.0E-03
AT1G06000,0.770,2.3E-03
AT1G06180,0.731,5.4E-04
AT1G06475,1.479,6.1E-04
AT1G06520,0.711,7.9E-03
AT1G06570,1.039,4.2E-04
AT1G07180,0.706,4.2E-04
AT1G07260,0.762,4.5E-04
AT1G07390,0.913,8.9E-03
AT1G07400,2.057,2.1E-04
AT1G07500,1.770,9.5E-04
AT1G07510,0.714,4.3E-03
AT1G07600,0.760,2.8E-03
AT1G07985,1.289,2.3E-03
AT1G08630,1.707,2.4E-04
AT1G08910,1.280,2.8E-04
AT1G09140,0.758,1.9E-03
AT1G09240,0.959,6.7E-04
AT1G09480,0.740,3.5E-03
AT1G09560,0.862,2.2E-04
AT1G09740,0.711,1.6E-03
AT1G09794,0.737,7.2E-05
AT1G09812,0.887,1.2E-03
AT1G09815,0.808,5.1E-04
AT1G09960,0.922,3.5E-04
AT1G10155,0.866,5.3E-03
AT1G10170,1.541,1.2E-04
AT1G10270,0.849,2.2E-03
AT1G10370,1.094,1.4E-04
AT1G10520,0.825,1.0E-02
AT1G10585,1.066,5.0E-03
AT1G10657,0.800,2.1E-03
AT1G11330,0.900,5.1E-04
AT1G12030,0.959,6.7E-03
AT1G12064,0.889,3.5E-02
AT1G12200,1.098,4.6E-04
AT1G12520,0.708,3.2E-02
AT1G12780,1.223,1.3E-03
AT1G12805,3.625,5.9E-04
AT1G13230,1.010,3.6E-03
AT1G13370,0.703,5.7E-04
AT1G13590,1.610,3.0E-04
AT1G13990,1.120,2.5E-04
AT1G14060,0.875,5.6E-05
AT1G14070,0.763,1.4E-03
AT1G14720,0.729,6.7E-04
AT1G14870,1.533,1.2E-04
AT1G15300,0.711,1.2E-03
AT1G15415,1.540,3.5E-04
AT1G15670,1.193,1.4E-03
AT1G15870,0.846,1.3E-04
AT1G16250,0.921,2.8E-04
AT1G16310,0.781,1.3E-03
AT1G16510,1.282,5.6E-04
