genes,lfc_liu2020,qval_liu2020
AT1G29490,8.676101766,2.09E-28
AT4G38850,8.242396901,3.23E-17
AT3G03840,8.045694717,5.29E-11
AT3G03850,7.701772108,2.94E-14
AT1G29420,7.560483981,3.29E-13
AT4G38410,7.2739231,1.80E-08
AT2G18010,6.966882722,1.01E-09
AT5G59930,6.385492923,9.68E-06
AT3G03820,6.310918376,7.10E-20
AT3G06990,6.212509568,7.65E-06
AT1G04610,6.21205375,1.12E-05
AT5G58750,5.936275636,0.000163119
AT1G30280,5.78170901,0.000210058
AT2G40610,5.667480362,1.39E-33
AT5G26700,5.607433247,0.000562454
AT3G27500,5.510110487,0.000962201
AT3G18200,5.50328472,0.004895697
AT5G07200,5.405402485,0.001667182
AT1G52830,5.404386734,0.001679543
AT3G23800,5.264086537,5.55E-52
AT1G29510,5.206507668,1.63E-24
AT5G65800,5.171981409,0.005755927
AT3G54770,4.953933478,2.23E-09
AT3G05980,4.727371928,0.025013073
AT2G16245,4.726313632,0.024526587
AT5G22570,4.723363547,0.027581356
AT1G29430,4.645023298,7.75E-22
AT3G50640,4.540608933,0.041984375
AT5G64800,4.54008331,0.041917028
AT1G26945,4.524671941,5.32E-32
AT5G10430,4.459150142,4.02E-58
AT5G18080,4.400434388,6.07E-12
AT3G42800,4.371618619,1.87E-10
AT3G03830,4.321651739,6.12E-09
AT5G18020,4.31184713,1.20E-20
AT1G29440,4.287870017,2.54E-28
AT1G11545,4.202976591,2.74E-79
AT4G34790,4.113773678,1.31E-11
AT5G18030,4.113585703,1.02E-17
AT3G07000,4.056612752,6.82E-08
AT2G44740,4.033451427,9.23E-14
AT1G06350,3.986849448,1.14E-07
AT5G53250,3.948230424,7.63E-23
AT4G02170,3.922425975,0.006603225
AT1G65330,3.900949767,0.000283756
AT4G04745,3.893897993,6.42E-11
AT4G28680,3.836545086,0.000439672
AT1G29460,3.737704723,3.17E-19
AT1G65310,3.698606032,1.20E-09
AT1G77870,3.659673136,1.31E-09
AT5G45670,3.644888746,3.22E-50
AT1G52750,3.607513212,5.62E-24
AT1G29450,3.543095575,2.04E-14
AT5G18010,3.505308203,3.03E-09
AT4G16515,3.475797717,7.23E-45
AT3G52630,3.389760256,1.88E-06
AT3G28857,3.381902847,4.22E-08
AT3G15370,3.351311779,4.39E-06
AT1G20190,3.341722394,4.37E-50
AT3G07010,3.279016297,1.55E-50
AT3G57240,3.261706928,5.36E-10
AT1G65790,3.261094391,3.07E-07
AT1G11120,3.209249645,1.69E-08
AT5G18050,3.203465031,2.43E-33
AT4G17280,3.156903456,0.020955759
AT5G64770,3.119455467,1.33E-08
AT1G23965,3.059891448,6.33E-17
AT1G78970,3.052514557,1.25E-48
AT4G19380,3.045457435,9.59E-11
AT4G08112,3.043496951,0.033280519
AT3G15540,3.013568084,1.03E-25
AT1G75780,2.966825202,2.67E-38
AT2G47780,2.965308197,1.69E-05
AT1G29500,2.914661071,6.50E-17
AT3G54830,2.890950522,7.59E-68
AT5G26670,2.823438631,1.14E-06
AT4G30180,2.797302661,1.36E-06
AT1G64640,2.795426843,2.19E-46
AT4G14700,2.776878123,0.009713601
AT5G12940,2.758611873,8.86E-21
