Geneid,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
mRNA:Solyc00g500001.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500002.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500003.1.1,0,0,0,0,2,5,18,0,0,5,0,0,4,0,0,0,0,0,0,0
mRNA:Solyc00g500004.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500005.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500006.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500007.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500008.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500009.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500010.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500011.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500012.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500013.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500014.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500015.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500016.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500017.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500018.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g014290.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g005280.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500019.1.1,24,64,62,39,59,231,213,221,199,232,57,66,92,64,6,284,233,289,364,305
mRNA:Solyc00g500020.1.1,665,999,775,777,1528,8765,9391,10856,11699,9398,1159,1238,1429,993,894,10866,10372,11214,11858,14036
mRNA:Solyc00g500021.1.1,37,33,47,42,76,1920,1723,1747,1963,2418,207,73,190,284,135,1882,2379,3761,3663,3633
mRNA:Solyc00g500022.1.1,2326,2211,2045,2405,3055,25316,27926,33880,35360,31827,3198,3165,3979,4143,2087,24454,27475,34305,44329,50586
mRNA:Solyc00g180440.1.1,55,75,144,120,191,600,569,543,637,479,189,152,211,150,60,723,536,519,853,861
mRNA:Solyc00g500023.1.1,684,699,859,994,1198,2136,2362,2626,2729,3021,1035,958,1301,774,809,3228,3223,2788,3827,3871
mRNA:Solyc00g500024.1.1,1724,1320,1082,931,1402,50568,47181,58996,73617,88603,3033,1622,2704,3859,1581,36863,72832,172755,117904,138953
mRNA:Solyc00g500025.1.1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500026.1.1,64,63,100,62,116,2286,2372,1972,3068,2881,175,114,255,110,115,2421,2971,3279,4204,4578
mRNA:Solyc00g500027.1.1,104,113,147,101,167,4705,5501,6225,7143,6125,311,173,389,332,148,4560,3497,5290,7402,8167
mRNA:Solyc00g500028.1.1,59,81,127,122,194,785,897,644,933,814,147,170,218,183,110,714,682,374,1012,1015
mRNA:Solyc00g500029.1.1,190,167,95,109,129,319,316,369,478,589,181,61,125,239,167,482,751,1574,868,646
mRNA:Solyc00g500030.1.1,185,231,323,249,461,1607,1607,2129,1614,1702,404,443,653,366,211,2366,1933,1448,2133,2772
mRNA:Solyc00g500031.1.1,269,428,406,470,662,1958,2116,3342,2430,2271,581,523,808,745,386,3603,3725,3006,3866,3431
mRNA:Solyc00g500032.1.1,240,360,365,344,637,2495,2234,2236,2301,2262,704,722,641,473,435,2134,2747,1847,3463,3919
mRNA:Solyc00g500033.1.1,22,14,25,31,28,126,68,169,51,93,20,25,48,97,19,142,81,166,137,78
mRNA:Solyc00g500034.1.1,1184,1775,1818,1932,2629,10635,10146,14070,10057,10124,2754,2478,2891,2739,1969,14959,13822,8801,14864,14889
mRNA:Solyc00g500035.1.1,754,1240,1564,1940,2367,13764,13550,14312,10134,8337,1512,1667,2717,2375,1835,15096,8959,5474,9096,9251
mRNA:Solyc00g500036.1.1,52,23,57,60,87,265,295,511,379,310,50,116,74,95,98,669,333,423,451,391
mRNA:Solyc00g500037.1.1,457,801,984,918,1307,1550,1506,1829,1603,1415,933,1025,1228,1268,790,2155,1236,1389,1727,1718
mRNA:Solyc00g500038.1.1,3,2,0,8,5,22,12,25,11,37,0,4,13,1,0,19,16,1,15,31
mRNA:Solyc00g500039.1.1,5172,5812,6416,6233,10780,31912,26828,26724,18463,21879,21116,14034,18949,16011,10978,13336,7221,12372,15610,22224
mRNA:Solyc00g500040.1.1,208,350,133,165,204,263,256,442,319,387,304,206,191,254,153,384,489,556,691,529
mRNA:Solyc00g500041.1.1,110,249,100,163,236,1266,1264,925,1119,982,238,192,280,199,152,1111,1021,1165,1639,2018
mRNA:Solyc00g500042.1.1,3248,4570,2877,3116,4246,5759,6213,7461,6636,5965,4809,3162,4060,2831,2878,10290,12814,5296,9583,7697
mRNA:Solyc00g500043.1.1,636,901,654,669,817,1518,1482,2142,1783,1999,1032,732,944,845,535,2412,2875,2368,2999,2262
mRNA:Solyc00g500044.1.1,5138,5755,6326,6099,10674,31597,26524,26326,18319,21714,20971,13852,18753,15871,10843,13144,7143,12322,15429,22099
mRNA:Solyc00g500045.1.1,3,2,0,8,5,22,12,25,11,19,0,4,13,1,0,19,16,1,15,31
mRNA:Solyc00g500046.1.1,457,785,969,914,1290,1505,1472,1783,1577,1409,919,1013,1213,1247,787,2090,1208,1383,1711,1708
