,attribute,results/star/S01,results/star/S02,results/star/S03,results/star/S04,results/star/S05,results/star/S06,results/star/S07,results/star/S08,results/star/S09,results/star/S10,results/star/S11,results/star/S12,results/star/S13,results/star/S14,results/star/S15,results/star/S16,results/star/S17,results/star/S18,results/star/S19,results/star/S20,
0,                                 Started job on |,01/06/2002 09:58,01/06/2002 09:48,01/06/2002 09:44,01/06/2002 09:46,01/06/2002 09:28,01/06/2002 09:54,01/06/2002 10:01,01/06/2002 09:39,01/06/2002 09:36,01/06/2002 09:51,01/06/2002 09:26,01/06/2002 09:43,01/06/2002 09:33,01/06/2002 09:31,01/06/2002 09:49,01/06/2002 09:52,01/06/2002 09:56,01/06/2002 09:41,01/06/2002 09:35,01/06/2002 09:30,
1,                             Started mapping on |,01/06/2002 09:59,01/06/2002 09:48,01/06/2002 09:44,01/06/2002 09:46,01/06/2002 09:28,01/06/2002 09:54,01/06/2002 10:01,01/06/2002 09:39,01/06/2002 09:38,01/06/2002 09:51,01/06/2002 09:26,01/06/2002 09:43,01/06/2002 09:33,01/06/2002 09:31,01/06/2002 09:49,01/06/2002 09:52,01/06/2002 09:56,01/06/2002 09:41,01/06/2002 09:35,01/06/2002 09:30,
2,                                    Finished on |,01/06/2002 10:00,01/06/2002 09:49,01/06/2002 09:46,01/06/2002 09:48,01/06/2002 09:30,01/06/2002 09:56,01/06/2002 10:03,01/06/2002 09:41,01/06/2002 09:39,01/06/2002 09:52,01/06/2002 09:28,01/06/2002 09:44,01/06/2002 09:35,01/06/2002 09:33,01/06/2002 09:51,01/06/2002 09:54,01/06/2002 09:57,01/06/2002 09:43,01/06/2002 09:36,01/06/2002 09:31,
3,"       Mapping speed, Million of reads per hour |",830.75,789.99,705.08,737.59,785.19,615.21,625.19,633.86,692.29,691.38,779.89,753.55,717.76,733.92,735.75,593.47,702.08,746.02,682.58,736.49,
4,                          Number of input reads |,16153441,17994187,19389710,18234791,20502118,18456264,16671616,19543954,19230222,17860576,21230285,19048154,20535828,19978893,18393676,18628213,15796818,18236039,19719063,20048902,
5,                      Average input read length |,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,
6,                                    UNIQUE READS:,,,,,,,,,,,,,,,,,,,,,
7,                   Uniquely mapped reads number |,12266399,12047849,8792732,10880181,12633942,6379869,6258839,7739080,9569573,9351498,12508437,10382246,11089252,12059436,10175338,6366197,9591502,11976830,11096270,11347110,
8,                        Uniquely mapped reads % |,75.94%,66.95%,45.35%,59.67%,61.62%,34.57%,37.54%,39.60%,49.76%,52.36%,58.92%,54.51%,54.00%,60.36%,55.32%,34.18%,60.72%,65.68%,56.27%,56.60%,54.00%
9,                          Average mapped length |,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,75.99,76,75.99,75.99,
10,                       Number of splices: Total |,589317,623783,478925,574824,633804,307102,318351,377004,453316,417634,726037,561793,563386,618219,525412,354359,400917,708289,510031,520818,
11,            Number of splices: Annotated (sjdb) |,524848,547723,420624,500181,551298,253577,267763,313861,399401,371075,647069,495280,486173,544787,464804,291847,357663,653452,458741,469335,
12,                       Number of splices: GT/AG |,575769,606062,461198,553611,611167,273068,286969,345658,427418,400117,707794,544460,538192,597289,509619,313270,383592,694063,492369,502713,
13,                       Number of splices: GC/AG |,4144,5056,4508,4717,5472,3431,3195,3197,4586,3391,5458,4716,5282,5708,3776,4221,3895,5191,4516,4481,
14,                       Number of splices: AT/AC |,180,227,167,160,161,531,580,281,356,231,205,167,276,291,102,434,195,207,187,240,
15,               Number of splices: Non-canonical |,9224,12438,13052,16336,17004,30072,27607,27868,20956,13895,12580,12450,19636,14931,11915,36434,13235,8828,12959,13384,
16,"                      Mismatch rate per base, % |",1.41%,1.45%,1.48%,1.43%,1.44%,1.59%,1.55%,1.59%,1.47%,1.45%,1.45%,1.46%,1.45%,1.48%,1.49%,1.57%,1.45%,1.42%,1.43%,1.43%,
17,                         Deletion rate per base |,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,
18,                        Deletion average length |,1.44,1.41,1.41,1.45,1.39,1.5,1.52,1.45,1.45,1.46,1.46,1.41,1.47,1.51,1.42,1.51,1.54,1.48,1.48,1.43,
