Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving
S01_fastp	62.4398	0.936363	1149359302.0	0.381983	98.21149666331401
S02_fastp	60.6182	0.927287	1267642932.0	0.389414	97.67249418837329
S03_fastp	68.1863	0.909927	1339904252.0	0.401722	97.2883538980775
S04_fastp	63.0938	0.920953	1275615289.0	0.3794	97.39125702229188
S05_fastp	53.9002	0.92858	1446276345.0	0.385469	97.9990798598041
S06_fastp	68.5253	0.909378	1274806416.0	0.409039	96.43669522610179
S07_fastp	69.2316	0.914172	1157616050.0	0.405222	96.65214802635965
S08_fastp	68.8704	0.913252	1355700054.0	0.401721	96.1916170659017
S09_fastp	68.4605	0.921594	1346482837.0	0.395546	97.19706216552251
S10_fastp	78.11399999999999	0.924131	1253956193.0	0.402923	96.95751063702505
S11_fastp	68.1754	0.926061	1493450455.0	0.406968	97.52656116085093
S12_fastp	72.3859	0.917273	1327379474.0	0.405483	97.57698250948779
S13_fastp	61.592400000000005	0.920192	1435326019.0	0.383674	97.36429571684542
S14_fastp	80.9905	0.913684	1386763318.0	0.388552	96.25042394928025
S15_fastp	80.8809	0.917315	1281485592.0	0.39812	96.7005418932222
S16_fastp	70.92530000000001	0.901059	1274640652.0	0.394812	94.77235308189269
S17_fastp	69.2595	0.922699	1107010249.0	0.390003	93.58560643069734
S18_fastp	79.6173	0.926757	1284085815.0	0.401654	96.91943952877142
S19_fastp	77.8212	0.925342	1386365675.0	0.399823	97.40157108494009
S20_fastp	72.8288	0.928108	1413865668.0	0.401357	97.4926389026464
