Geneid	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
mRNA:Solyc00g160260.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g160270.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500003.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500004.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500005.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500006.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500007.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500008.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500009.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500010.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500011.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500013.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500014.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500015.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc02g010630.2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc02g010600.2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500016.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500017.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500018.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g014290.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g005280.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500019.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500020.1.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	6	1	0	0
mRNA:Solyc00g500021.1.1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500022.1.1	0	0	1	0	3	6	25	17	6	1	0	0	0	0	0	5	10	1	18	23
mRNA:Solyc00g180440.2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500023.1.1	0	0	8	3	2	2	0	8	0	0	0	0	3	1	0	1	0	0	0	8
mRNA:Solyc00g500024.1.1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	7	0	0
mRNA:Solyc00g500025.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500026.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500028.1.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500029.1.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500030.1.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
mRNA:Solyc00g500031.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500032.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500033.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500034.1.1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	10	0	0	0	0
mRNA:Solyc00g500035.1.1	0	0	0	0	0	9	12	5	3	10	2	0	1	1	27	12	3	3	4	2
