"sample","treatment","compartment"
"S01","no_solA","root"
"S02","no_solA","root"
"S03","no_solA","root"
"S04","no_solA","root"
"S05","no_solA","root"
"S06","no_solA","shoot"
"S07","no_solA","shoot"
"S08","no_solA","shoot"
"S09","no_solA","shoot"
"S10","no_solA","shoot"
"S11","yes_solA","root"
"S12","yes_solA","root"
"S13","yes_solA","root"
"S14","yes_solA","root"
"S15","yes_solA","root"
"S16","yes_solA","shoot"
"S17","yes_solA","shoot"
"S18","yes_solA","shoot"
"S19","yes_solA","shoot"
"S20","yes_solA","shoot"
