"Geneid","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20"
"Solyc00g160260.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g160270.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500003.1","0","1","0","4","2","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"Solyc00g500004.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500005.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500006.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500007.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500008.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500009.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500010.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500011.1","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0"
"Solyc00g500013.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500014.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500015.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc02g010630.2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","3","0","0","0","0"
"Solyc02g010600.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500016.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500017.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500018.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g014290.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g005280.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500019.1","0","0","0","0","0","1","0","6","0","1","0","0","0","0","0","0","3","1","1","0"
"Solyc00g500020.1","0","0","0","1","0","2","0","12","0","2","0","0","0","0","23","14","0","1","8","1"
"Solyc00g500021.1","0","0","0","0","0","0","1","7","0","4","0","0","0","0","0","1","3","0","0","3"
"Solyc00g500022.1","0","0","0","0","0","14","0","0","9","1","0","0","2","33","0","0","0","0","2","5"
"Solyc00g180440.2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500023.1","0","6","4","6","5","4","4","17","6","0","9","0","2","0","0","3","2","0","30","26"
"Solyc00g500024.1","1","0","0","0","0","14","8","8","16","9","5","0","4","0","0","21","13","22","7","11"
"Solyc00g500025.1","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","1","9","0","2"
"Solyc00g500026.1","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","1","0","0","1"
"Solyc00g500028.1","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","14","0","0","0"
"Solyc00g500029.1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"Solyc00g500030.1","0","4","0","3","0","16","8","19","6","7","0","0","0","0","0","21","24","12","10","38"
"Solyc00g500031.1","0","0","0","0","0","1","4","0","7","0","2","0","1","1","0","0","2","0","0","0"
"Solyc00g500032.1","0","0","4","0","0","4","0","2","0","0","0","0","0","1","0","0","0","0","0","0"
"Solyc00g500033.1","3","0","0","0","1","10","7","17","4","10","0","1","1","2","1","6","9","13","1","0"
"Solyc00g500034.1","1","0","0","0","0","2","1","10","1","9","0","1","1","0","1","2","1","7","1","0"
"Solyc00g500035.1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","2","8","0","0","0"
"Solyc00g500036.1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500037.1","0","2","0","0","0","2","11","25","10","1","1","0","0","1","0","19","15","1","7","1"
"Solyc00g500038.1","0","0","0","0","0","8","6","3","9","4","0","0","0","0","0","0","9","0","10","0"
"Solyc00g500039.1","0","0","3","0","1","15","4","3","9","4","3","0","0","0","0","1","4","1","9","4"
"Solyc00g500040.1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","6","0","9","4"
"Solyc00g160280.1","0","0","0","0","0","1","0","0","6","0","0","0","1","0","0","1","0","0","3","4"
"Solyc00g500041.1","0","0","0","0","0","1","2","3","3","4","0","0","0","20","0","0","9","0","0","8"
"Solyc00g500042.2","0","0","0","0","0","7","3","3","3","3","0","0","0","0","0","5","1","1","13","4"
"Solyc00g500043.1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","9","1","3","0","13","1"
"Solyc00g500044.1","2","9","6","0","3","8","5","6","8","16","2","3","3","0","0","2","11","17","13","7"
"Solyc00g500045.1","0","0","0","0","0","0","2","0","2","8","0","0","0","0","0","0","0","0","0","1"
"Solyc00g500046.1","0","0","0","0","0","1","5","1","6","1","0","0","0","0","0","1","4","1","27","7"
"Solyc00g500047.1","0","0","0","0","0","4","2","4","1","1","0","0","1","1","0","14","11","8","1","4"
"Solyc00g277510.2","2","0","0","1","0","34","4","8","8","16","0","0","0","0","0","12","9","14","25","18"
"Solyc00g500048.1","1","1","0","2","2","19","8","8","10","17","4","0","1","1","0","8","5","36","2","3"
"Solyc00g500049.1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0"
"Solyc00g500050.1","0","2","0","0","0","5","19","11","11","10","4","0","9","2","0","3","2","0","1","4"
"Solyc00g500051.1","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","1","0","1","0","2"
"Solyc00g500052.1","4","0","0","2","1","13","25","27","8","2","9","1","9","3","0","16","30","15","35","18"
"Solyc00g500053.2","0","0","0","0","0","3","1","2","1","0","0","0","2","9","0","0","0","0","0","2"
"Solyc00g500054.1","0","0","4","0","2","6","8","1","9","13","1","5","5","0","0","1","3","10","16","1"
"Solyc00g500055.1","0","0","0","0","0","7","2","20","13","1","0","0","0","0","0","12","1","0","9","3"
"Solyc00g500056.1","0","0","1","0","0","14","4","6","5","15","0","0","0","1","0","24","8","4","7","16"
"Solyc00g500057.1","3","1","0","4","4","2","11","7","1","1","10","2","0","0","1","0","4","0","16","1"
"Solyc00g500058.1","1","0","0","3","3","0","9","8","1","0","0","2","0","1","0","2","0","0","3","2"
"Solyc00g500059.1","0","0","0","0","0","1","0","1","8","0","0","0","0","1","0","1","0","0","0","0"
"Solyc00g500061.1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","5","3","0","0","2"
"Solyc00g500062.1","193","332","263","269","449","7723","6297","6456","6341","4201","365","260","615","248","242","7705","4797","3013","4152","4785"
"Solyc00g500063.1","27812","17999","10926","13829","17237","450586","438925","578518","524697","482863","35038","24873","37098","36211","18507","521623","692630","362248","528453","503339"
"Solyc00g500064.1","76","112","146","165","248","3589","3782","3043","3651","2415","218","199","373","406","238","4964","2301","1911","2780","3545"
"Solyc00g500065.1","1381","1581","1778","1798","2643","6616","7236","7673","7331","6433","2369","2004","3082","1778","1729","8799","8011","6379","7629","7716"
"Solyc00g500066.1","18","26","23","21","24","20","25","30","38","17","21","22","28","37","24","74","31","5","45","49"
"Solyc00g500067.1","0","2","0","2","2","17","3","8","13","7","0","2","0","1","0","1","28","0","1","10"
"Solyc00g500068.1","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500069.1","7","2","5","0","2","13","1","23","6","24","11","7","3","0","0","13","8","20","29","29"
"Solyc00g500070.1","0","0","4","4","5","0","0","0","5","0","1","0","2","1","0","3","1","0","7","1"
"Solyc00g500071.1","0","1","0","0","0","12","4","14","6","41","0","10","8","1","0","8","13","25","10","39"
"Solyc00g500072.1","0","0","0","0","0","0","13","1","0","0","0","0","0","0","0","1","0","0","1","0"
"Solyc00g500073.1","0","1","0","0","0","1","3","0","4","1","0","0","8","0","9","4","0","0","2","6"
"Solyc00g500074.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solyc00g500075.1","0","0","0","1","0","1","3","0","6","0","0","0","1","0","0","3","2","5","2","0"
"Solyc00g500076.1","0","0","1","0","0","2","0","1","0","1","3","0","0","0","0","2","6","0","0","0"
"Solyc00g500077.1","0","0","0","0","0","0","2","7","1","0","0","1","0","0","0","2","0","0","0","0"
"Solyc00g500078.1","2","0","0","1","0","14","10","14","1","1","1","0","0","0","0","1","8","1","9","8"
