"sample","treatment","organ"
"1","S01","no_solA","root"
"2","S02","no_solA","root"
"3","S03","no_solA","root"
"4","S04","no_solA","root"
"5","S05","no_solA","root"
"6","S06","no_solA","shoot"
"7","S07","no_solA","shoot"
"8","S08","no_solA","shoot"
"9","S09","no_solA","shoot"
"10","S10","no_solA","shoot"
"11","S11","yes_solA","root"
"12","S12","yes_solA","root"
"13","S13","yes_solA","root"
"14","S14","yes_solA","root"
"15","S15","yes_solA","root"
"16","S16","yes_solA","shoot"
"17","S17","yes_solA","shoot"
"18","S18","yes_solA","shoot"
"19","S19","yes_solA","shoot"
"20","S20","yes_solA","shoot"
