genes,batchcorr,refgroup
AT1G08310,r+p,em2
AT1G17710,r+p,em2
AT1G23110,r+p,em2
AT1G25560,r+p,em2
AT1G61800,r+p,em2
AT1G68740,r+p,em2
AT1G68840,r+p,em2
AT1G71030,r+p,em2
AT1G73010,r+p,em2
AT1G80920,r+p,em2
AT2G05510,r+p,em2
AT2G05540,r+p,em2
AT2G11810,r+p,em2
AT2G36120,r+p,em2
AT2G43535,r+p,em2
AT2G43620,r+p,em2
AT2G45130,r+p,em2
AT3G02030,r+p,em2
AT3G02040,r+p,em2
AT3G02870,r+p,em2
AT3G03250,r+p,em2
AT3G05630,r+p,em2
AT3G05770,r+p,em2
AT3G09922,r+p,em2
AT3G10020,r+p,em2
AT3G12500,r+p,em2
AT3G17790,r+p,em2
AT3G47420,r+p,em2
AT3G49780,r+p,em2
AT3G52720,r+p,em2
AT4G04610,r+p,em2
AT4G12480,r+p,em2
AT4G15540,r+p,em2
AT4G23000,r+p,em2
AT4G23670,r+p,em2
AT4G33030,r+p,em2
AT4G33770,r+p,em2
AT4G37610,r+p,em2
AT4G39800,r+p,em2
AT5G01220,r+p,em2
AT5G03545,r+p,em2
AT5G11740,r+p,em2
AT5G20150,r+p,em2
AT5G20410,r+p,em2
AT5G20790,r+p,em2
AT5G21940,r+p,em2
AT5G27660,r+p,em2
AT5G52310,r+p,em2
AT5G56550,r+p,em2
AT1G07610,r,em2
AT1G08310,r,em2
AT1G08650,r,em2
AT1G13245,r,em2
AT1G13260,r,em2
AT1G13750,r,em2
AT1G15810,r,em2
AT1G17710,r,em2
AT1G18330,r,em2
AT1G19200,r,em2
AT1G22150,r,em2
AT1G22410,r,em2
AT1G23390,r,em2
AT1G25560,r,em2
AT1G26770,r,em2
AT1G26800,r,em2
AT1G28330,r,em2
AT1G32450,r,em2
AT1G35720,r,em2
AT1G49200,r,em2
AT1G51390,r,em2
AT1G52870,r,em2
AT1G53310,r,em2
AT1G53540,r,em2
AT1G54740,r,em2
AT1G55210,r,em2
AT1G61800,r,em2
AT1G62180,r,em2
AT1G62510,r,em2
AT1G65390,r,em2
AT1G65970,r,em2
AT1G66230,r,em2
AT1G66730,r,em2
AT1G68840,r,em2
AT1G69490,r,em2
AT1G70290,r,em2
AT1G71030,r,em2
AT1G72140,r,em2
AT1G73010,r,em2
AT1G73830,r,em2
AT1G74470,r,em2
AT1G77760,r,em2
AT1G80440,r,em2
AT1G80920,r,em2
AT2G01520,r,em2
AT2G02710,r,em2
AT2G05540,r,em2
AT2G15890,r,em2
AT2G15960,r,em2
AT2G16660,r,em2
AT2G17880,r,em2
AT2G18700,r,em2
AT2G20270,r,em2
AT2G20570,r,em2
AT2G20670,r,em2
AT2G22980,r,em2
AT2G24980,r,em2
AT2G25200,r,em2
