"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tair_symbol","uniprotswissprot","entrezgene_id","description","external_gene_name","external_gene_source","group","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017"
"AT1G01170",985.487897668453,0.371257762866356,0.100627765828995,3.68941673113626,0.000224768779882504,0.0390320439158581,NA,NA,839263,"At1g01170 [Source:UniProtKB/TrEMBL;Acc:Q2HIQ2]",NA,NA,"em2",-1.22970927195196,2.35643128279894e-07,NA,NA
"AT1G06500",338.773063444221,0.332989526564789,0.0921927225733566,3.61188516045649,0.000303979183464628,0.0471297262279991,NA,NA,837161,"AT1G06500 protein [Source:UniProtKB/TrEMBL;Acc:Q8VY54]",NA,NA,"em2",-0.279566329875615,0.0462853550451656,NA,NA
"AT1G07610",2100.46921370448,0.583911463184339,0.149900080488052,3.8953378896343,9.80619307640751e-05,0.0283035822673432,"MT1C","Q38804",837274,"Metallothionein-like protein 1C [Source:UniProtKB/Swiss-Prot;Acc:Q38804]","MT1C","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT1G10150",193.890933143371,0.52747375740129,0.141555643107642,3.72626442734033,0.000194338529651472,0.0372268476232371,NA,"Q9SY57",837552,"Protein PHLOEM PROTEIN 2-LIKE A10 [Source:UniProtKB/Swiss-Prot;Acc:Q9SY57]","PP2A10","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT1G13245",747.823340746195,0.746973813092516,0.163022398276062,4.58203180048666,4.60479847091097e-06,0.00392655913256362,"RTFL17",NA,837884,"At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]","RTFL17","TAIR Gene Name","em2",NA,NA,NA,NA
"AT1G13750",399.240183841752,-0.720687269477695,0.192298160806745,-3.74775955450748,0.000178421167592126,0.0360352577720576,NA,"Q9LMX4",837935,"Probable inactive purple acid phosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMX4]","PAP1","UniProtKB Gene Name","em2",0.398532026575306,0.0144880045821733,NA,NA
"AT1G15810",3509.01305752369,0.596891989478971,0.162612670892291,3.67063640369287,0.000241947310450711,0.0400321742175437,NA,NA,838150,"At1g15810/F7H2_23 [Source:UniProtKB/TrEMBL;Acc:Q9LMQ3]",NA,NA,"em2",-0.379097666412528,0.00203910981188483,NA,NA
"AT1G15990",52.3043465265636,1.11950056035633,0.265730834542687,4.21291176947134,2.52099558051091e-05,0.00996651465563262,"ATCNGC7","Q9S9N5",838169,"Putative cyclic nucleotide-gated ion channel 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9S9N5]","CNGC7","UniProtKB Gene Name","em2",NA,NA,NA,NA
"AT1G17620",545.677558360675,-0.343277597477828,0.0930217491216803,-3.69029394436339,0.000223995069036904,0.0390320439158581,NA,NA,838339,"At1g17620/F11A6_23 [Source:UniProtKB/TrEMBL;Acc:Q9LNP3]",NA,NA,"em2",0.814098233448874,2.43701679013833e-06,NA,NA
"AT1G19200",115.165665727997,-1.1672337464302,0.308750788412823,-3.78050450471894,0.000156510887373692,0.033990262704829,NA,NA,838503,"Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200]","FLZ12","UniProtKB Gene Name","em2",NA,NA,NA,NA
