sample,batch,batch2,batch3
E02_1_1,9,b,1
E02_1_2,9,b,2
E02_2,2,a,1
E02_3,2,a,1
E02_4,4,a,1
E02_5,7,b,2
E02_6,1,a,2
E06_1,8,b,2
E06_2,2,a,2
E06_3,2,a,2
E06_4,1,a,2
E06_5,3,a,2
E24_1,4,a,2
E24_2,5,b,2
E24_3,4,a,2
E24_4,3,a,2
E24_6,3,a,2
M02_1,8,b,2
M02_2,2,a,2
M02_3,9,c,2
M02_4,1,b,2
M02_5,4,b,2
M06_1,4,b,2
M06_2,9,c,2
M06_4,8,b,2
M06_5,7,b,2
M06_6,7,c,2
M24_1,8,b,2
M24_2,8,b,2
M24_3,7,c,2
M24_5,3,a,2
M24_6,2,a,2
N02_1,8,b,2
N02_2,1,a,2
N02_3,2,a,2
N02_4,7,c,2
N02_5,5,b,2
N06_1,7,c,2
N06_2,8,c,2
N06_3,7,c,2
N06_5,1,a,2
N06_6,4,a,2
N24_1,8,b,2
N24_2,8,b,2
N24_3,9,c,2
N24_4,8,b,2
N24_6,7,b,1
