Group.1,original_genename,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,description_ITAG4.0,goterm,gene_id_versionless,ensembl_gene_id,description_ITAG3.0,athaliana_eg_homolog_ensembl_gene,athaliana_eg_homolog_associated_gene_name,external_gene_name,athaliana_eg_homolog_perc_id
Solyc01g074000.4,mRNA:Solyc01g074000.4.1,228.961026639685,1.26398440706357,0.356508869717294,1.61009077874947e-05,0.0346474497703471,Solyc01g074000.4,Histone H3 (AHRD V3.11 *** tr|B3TM40|B3TM40_ELAGV),"GO:0000786,GO:0003677",Solyc01g074000,"NA","NA","NA","NA","NA","NA"
Solyc01g081540.4,mRNA:Solyc01g081540.4.1,222.971157957496,-1.10360955699162,0.350089447779191,6.28681958191599e-05,0.0438635401891602,Solyc01g081540.4,Myosin-17 (AHRD V3.3 *** A0A2G3ALU8_CAPAN),GO:0005515,Solyc01g081540,Solyc01g081540.3,,AT2G31900,XIF,,68.4551
Solyc02g065610.4,mRNA:Solyc02g065610.4.1,202.833917630377,-1.30260633449453,0.393951851771273,3.52033275622702e-05,0.0402374034036749,Solyc02g065610.4,Protein trichome birefringence-like 21 (AHRD V3.11 *** tr|A0A2G3A5R0|A0A2G3A5R0_CAPAN),,Solyc02g065610,Solyc02g065610.3,,"AT5G15890,AT5G15900,AT3G02440","TBL21,TBL19,TBL20",,"22.1111,24.2222,22"
Solyc02g068540.3,mRNA:Solyc02g068540.3.1,56.0242110129094,-1.73009486805341,0.577008480346129,9.01035709502158e-05,0.048633402420379,Solyc02g068540.3,leucine-rich repeat receptor protein kinase EMS1-like (AHRD V3.11 *** tr|A0A2G3A6F6|A0A2G3A6F6_CAPAN),,Solyc02g068540,Solyc02g068540.2,,,,,"NA"
Solyc02g079930.3,mRNA:Solyc02g079930.3.1,17.0710415578105,-2.28345778624077,0.730704586960412,5.53100826798642e-05,0.0438635401891602,Solyc02g079930.3,phosphosulfolactate synthase,,Solyc02g079930,Solyc02g079930.3,Phosphosulfolactate synthase-related protein [Source:UniProtKB/TrEMBL;Acc:Q4VUC5],AT4G21320,HSA32,,66.7832
Solyc02g081190.5,mRNA:Solyc02g081190.5.1,35948.4636851462,-1.02125545759096,0.289480096202276,1.78310173281597e-05,0.0346474497703471,Solyc02g081190.5,1-aminocyclopropane-1-carboxylate oxidase 2 (AHRD V3.11 *** tr|Q7Y257|Q7Y257_BETPN),,Solyc02g081190,Solyc02g081190.3,,"AT1G12010,AT1G62380",",ACO2",,"69.0625,68.4375"
Solyc03g034100.5,mRNA:Solyc03g034100.5.1,16.0656494903276,-2.43934746945974,0.798382229754631,7.99471540882892e-05,0.048633402420379,Solyc03g034100.5,Transcription repressor OFP6 (AHRD V3.11 *-* tr|A0A2G3AAF1|A0A2G3AAF1_CAPAN),,Solyc03g034100,Solyc03g034100.3,,AT2G18500,OFP7,,27.8061
Solyc03g062720.3,mRNA:Solyc03g062720.3.1,231.5315092856,0.907181550529663,0.293302153246698,8.53329459189676e-05,0.048633402420379,Solyc03g062720.3,Photosynthetic NDH subcomplex B 2 (AHRD V3.3 *** A0A0F7GZL7_9ROSI),,Solyc03g062720,Solyc03g062720.3,NDH-dependent cyclic electron flow 1 [Source:Projected from Arabidopsis thaliana (AT1G64770) UniProtKB/TrEMBL;Acc:F4I890],AT1G64770,NDF2,,47.2934
Solyc03g083400.3,mRNA:Solyc03g083400.3.1,929.343831199365,-0.716092841523812,0.217109106273949,4.9199631623843e-05,0.0434544564583134,Solyc03g083400.3,CCT motif protein (AHRD V3.3 *** A0A2K3PQC2_TRIPR),GO:0005515,Solyc03g083400,Solyc03g083400.3,,"AT5G53420,AT4G27900",,,"52,47.6364"
Solyc03g115310.1,mRNA:Solyc03g115310.1.1,5.00519449809803,-0.0381746745649781,0.149324704088184,7.54429124698524e-05,0.048633402420379,Solyc03g115310.1,Expansin (AHRD V3.3 *** K4BL33_SOLLC),,Solyc03g115310,Solyc03g115310.1,Expansin [Source:UniProtKB/TrEMBL;Acc:K4BL33],"AT5G39300,AT5G39280,AT5G39290,AT5G39270,AT5G39310,AT5G39260","EXPA25,EXPA23,EXPA26,EXPA22,EXPA24,EXPA21",,"58.3012,57.9151,55.5985,55.9846,56.7568,50.9653"
