Group.1,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fullgene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT1G07135,AT1G07135,830.551304245593,1.30621168858076,0.259413098369763,5.0352572664581,4.77207485812146e-07,0.00154622042652933,AT1G07135.1,,,837224,At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6],,
AT1G27730,AT1G27730,947.103454582108,1.15580379641075,0.27500919011536,4.20278244492816,2.63653959435491e-05,0.0370487485282279,AT1G27730.1,STZ,Q96289,839666,Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289],ZAT10,UniProtKB Gene Name
AT1G73540,AT1G73540,257.15637181907,0.944530569763901,0.220873592252449,4.27633996500743,1.89991020482052e-05,0.0307799023968101,AT1G73540.1,atnudt21,Q8VY81,843688,"Nudix hydrolase 21, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VY81]",NUDT21,UniProtKB Gene Name
AT1G80440,AT1G80440,1119.08150521296,1.2477022977079,0.304365937306091,4.09934931862342,4.14313306985476e-05,0.0447478100749409,AT1G80440.1,,Q9M8L2,844383,F-box/kelch-repeat protein At1g80440 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8L2],,
AT2G15890,AT2G15890,26.4081990366692,1.97950158422461,0.473096391836086,4.18414009995334,2.86247545210941e-05,0.0370487485282279,"AT2G15890.2,AT2G15890.1",MEE14,",Q9XIM0",816085,CCG-binding protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIM0],MEE14,UniProtKB Gene Name
AT2G18700,AT2G18700,638.462136349509,1.05747531777337,0.240425960166516,4.39834083241666,1.09081581086377e-05,0.0190313795432316,AT2G18700.1,ATTPS11,Q9ZV48,816385,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV48]",TPS11,UniProtKB Gene Name
AT2G20670,AT2G20670,1243.92249459172,0.922769100551474,0.199986878530699,4.61414822477879,3.94710671703356e-06,0.00912806855583802,AT2G20670.1,,,816595,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SIU5],,
AT2G31810,AT2G31810,9.64032779932258,4.2188552194942,0.845968891519755,4.98700987918736,6.13209308839702e-07,0.00173852504172416,"AT2G31810.1,AT2G31810.2",,"Q93YZ7,",817738,"Acetolactate synthase small subunit 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93YZ7]",,
AT2G40000,AT2G40000,1249.0022447085,1.64036439017349,0.289201607422497,5.6720445117619,1.41103300316374e-08,8.00090988618919e-05,AT2G40000.1,HSPRO2,O04203,818588,Nematode resistance protein-like HSPRO2 [Source:UniProtKB/Swiss-Prot;Acc:O04203],HSPRO2,UniProtKB Gene Name
AT3G18773,AT3G18773,117.418904810205,1.41563043138315,0.313233658934031,4.51940712949142,6.2013042492934e-06,0.0117209818065186,AT3G18773.1,,Q9LS99,821409,RING-H2 finger protein ATL77 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS99],ATL77,UniProtKB Gene Name
AT3G44260,AT3G44260,494.931765092705,1.41790993937613,0.238686331018008,5.94047398243828,2.84199162284948e-09,4.65692677675815e-05,AT3G44260.1,,Q9LXM2,823551,Probable CCR4-associated factor 1 homolog 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXM2],CAF1-9,UniProtKB Gene Name
AT4G24570,AT4G24570,469.921339136445,1.50694316334238,0.32687786214733,4.61011080237417,4.0245441364305e-06,0.00912806855583802,AT4G24570.1,DIC2,Q9SB52,828559,DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9],PUMP4,UniProtKB Gene Name
AT4G33980,AT4G33980,409.23810498403,0.59328869509271,0.143384264740187,4.13775316397342,3.50723377718924e-05,0.0397737846502145,"AT4G33980.2,AT4G33980.1",,",Q8L983",829544,BEST Arabidopsis thaliana protein match is: cold regulated gene 27 (TAIR:AT5G42900.2); Ha. [Source:TAIR;Acc:AT4G33980],,
AT4G37610,AT4G37610,1148.12339560872,1.74777124220648,0.322510345993272,5.4192718587792,5.98422606890278e-08,0.000271456462937568,AT4G37610.1,BT5,Q6EJ98,829915,BTB/POZ and TAZ domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6EJ98],BT5,UniProtKB Gene Name
AT5G18670,AT5G18670,834.695847380319,0.824300999387443,0.19729344277854,4.17804559431157,2.94024722678939e-05,0.0370487485282279,AT5G18670.1,BMY3,Q8VYW2,831985,Inactive beta-amylase 9 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYW2],BAM9,UniProtKB Gene Name
AT5G21940,AT5G21940,2595.24276366141,1.47684471862108,0.254086771513637,5.81236366546465,6.1596844628872e-09,4.65692677675815e-05,AT5G21940.1,,,832254,At5g21940 [Source:UniProtKB/TrEMBL;Acc:Q9C593],,
AT5G24660,AT5G24660,922.498886098526,-1.09926816559888,0.260425361278583,-4.22104882643501,2.43168253545965e-05,0.0367686610578402,AT5G24660.1,LSU2,Q9FIR9,832538,Protein RESPONSE TO LOW SULFUR 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIR9],LSU2,UniProtKB Gene Name
AT5G38430,AT5G38430,64.4124382949683,1.74516490511961,0.298912100317205,5.83838828628096,5.27082057126276e-09,4.65692677675815e-05,AT5G38430.1,,P10796,833830,"Ribulose bisphosphate carboxylase small chain 1B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P10796]",RBCS-1B,UniProtKB Gene Name
AT5G47230,AT5G47230,242.519829635146,0.837221241673306,0.205376642421198,4.07651635455352,4.57154415553893e-05,0.0471305422689902,AT5G47230.1,ERF5,O80341,834770,ERF5 [Source:UniProtKB/TrEMBL;Acc:A0A178UKK9],ERF5,UniProtKB Gene Name
AT5G50450,AT5G50450,1431.92423505072,0.599754122914586,0.112357374948949,5.3379150517453,9.40214888792083e-08,0.000355416898211554,AT5G50450.1,,Q9FK27,835113,F-box protein At5g50450 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK27],,
AT5G56550,AT5G56550,504.313299337178,1.89127216364864,0.456704047029428,4.14113291955736,3.45594608330259e-05,0.0397737846502145,AT5G56550.1,OXS3,,835756,Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9],OXS3,TAIR Gene Name
AT5G61600,AT5G61600,740.885188795607,0.871028809715821,0.191305015207466,4.55308925785981,5.28638303261653e-06,0.0109000412329796,AT5G61600.1,ERF104,Q9FKG1,836281,Ethylene-responsive transcription factor ERF104 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKG1],ERF104,UniProtKB Gene Name
