"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT1G02660",1.54748466779639,0.00267080845889496,"","Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]","PLIP2","p","em24",NA,NA,NA,NA,-0.276814362,0.029090969
"AT1G03230",0.771727906036582,0.00100751241829154,"","Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVS5]","","p","em24",NA,NA,NA,NA,-1.022738053,1.61e-09
"AT1G04820",0.373097416152694,0.0464761569872741,"TUA4","Tubulin alpha-2 chain [Source:UniProtKB/Swiss-Prot;Acc:B9DGT7]","TUBA4","p","em24",-0.376264364256083,0.00691443522582688,NA,NA,0.721535747,2.35e-20
"AT1G05070",-0.43116644735509,0.049001699629374,"","At1g05070/T7A14_6 [Source:UniProtKB/TrEMBL;Acc:Q94AB8]","","p","em24",NA,NA,NA,NA,0.39246265,0.007021052
"AT1G05200",-0.742697113137276,0.0019604466070341,"ATGLR3.4","Glutamate receptor [Source:UniProtKB/TrEMBL;Acc:Q53YX3]","GLR3.4","p","em24",NA,NA,NA,NA,0.368217278,0.002000368
"AT1G06000",-0.544087438266403,0.0312421769787953,"","Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PVE7]","UGT89C1","p","nm2",NA,NA,0.77,0.0023,-0.875052573,0.008357048
"AT1G07135",1.66454639197436,6.42006980734253e-07,"","At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]","","p","em24",NA,NA,NA,NA,-1.456253608,3.79e-06
"AT1G07135",1.5994060582352,0.000619401350369378,"","At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]","","p","en6",NA,NA,NA,NA,-1.456253608,3.79e-06
"AT1G07590",-1.01580208258878,0.00907821316811811,"","Pentatricopeptide repeat-containing protein At1g07590, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q940Q2]","","p","en6",0.270332591597852,0.00134985747192256,NA,NA,-0.891536652,3.88e-10
"AT1G08660",-0.554390160947771,0.044663036546746,"MGP2","Sialyltransferase-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZJ0]","SIA1","p","em24",-0.434335027829861,0.00621641113046128,NA,NA,0.595171695,2.54e-11
"AT1G08830",0.550390579313849,0.0121211416253126,"CSD1","Superoxide dismutase [Cu-Zn] 1 [Source:UniProtKB/Swiss-Prot;Acc:P24704]","CSD1","p","nm2",0.427074451368005,5.26938708026892e-05,NA,NA,-0.368025849,0.000806618
"AT1G08840",0.429447181010281,0.0350123411716793,"emb2411","DNA replication helicase, putative [Source:TAIR;Acc:AT1G08840]","emb2411","p","nm2",NA,NA,NA,NA,1.067418575,1.3e-06
"AT1G09310",-0.518635881079539,0.00472845214341775,"","T31J12.3 protein [Source:UniProtKB/TrEMBL;Acc:Q9ZPZ4]","","p","nm2",-0.303600285845804,0.0183144295090175,NA,NA,0.61307585,0.001014785
"AT1G09490",0.459283344829556,0.0438081649466214,"","At1g09490/F14J9_15 [Source:UniProtKB/TrEMBL;Acc:O80532]","","p","nm2",NA,NA,NA,NA,-1.00014318,3.41e-17
"AT1G10910",0.459067541719322,0.0228331253081614,"","Pentatricopeptide repeat-containing protein At1g10910, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0WVV0]","","p","nm2",-1.01188112539122,1.34424848660393e-06,NA,NA,0.45413643,0.000699021
"AT1G10910",-0.548267333119299,0.0120217389955359,"","Pentatricopeptide repeat-containing protein At1g10910, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0WVV0]","","p","em24",-1.01188112539122,1.34424848660393e-06,NA,NA,0.45413643,0.000699021
"AT1G11050",0.67086374648058,0.0225208530082004,"","Probable receptor-like protein kinase At1g11050 [Source:UniProtKB/Swiss-Prot;Acc:O04086]","","p","em24",0.885465420159772,1.33839777753853e-05,NA,NA,-0.647509071,2.58e-05
"AT1G11260",0.694790303659357,0.000744942738850192,"STP1","STP1 [Source:UniProtKB/TrEMBL;Acc:A0A178WJ63]","STP1","p","em2",NA,NA,NA,NA,0.594237669,4.36e-10
"AT1G12000",-0.35591908294542,0.0389268302509091,"","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8W4M5]","PFP-BETA1","p","nm2",NA,NA,NA,NA,0.495509291,4.03e-06
"AT1G13245",0.786611486816933,0.00999345277383081,"RTFL17","At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]","RTFL17","p","en2",NA,NA,NA,NA,-0.488138646,1.53e-05
"AT1G13245",0.94595939354502,3.4901577378808e-09,"RTFL17","At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]","RTFL17","r","em2",NA,NA,NA,NA,-0.488138646,1.53e-05
"AT1G13245",0.866151181542705,0.00194673823798673,"RTFL17","At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]","RTFL17","p","em2",NA,NA,NA,NA,-0.488138646,1.53e-05
"AT1G13750",-0.558410985146886,0.0296931384889345,"","Probable inactive purple acid phosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMX4]","PAP1","r","em2",0.398532026575306,0.0144880045821733,NA,NA,0.765433715,0.003779948
"AT1G16090",-0.750700767439607,0.0242567071846085,"WAKL7","Wall associated kinase-like 7 [Source:UniProtKB/TrEMBL;Acc:F4I2T5]","WAKL7","p","em24",0.305829178950633,0.0252757375038205,NA,NA,-1.169746324,0.000561233
"AT1G17620",-0.413275813085978,0.0177131924074763,"","At1g17620/F11A6_23 [Source:UniProtKB/TrEMBL;Acc:Q9LNP3]","","p","em2",0.814098233448874,2.43701679013833e-06,NA,NA,0.953986282,2.51e-05
"AT1G17745",-0.743548863423698,0.0169952594471228,"PGDH","D-3-phosphoglycerate dehydrogenase [Source:TAIR;Acc:AT1G17745]","PGDH","p","nm2",1.92785482766136,1.6961602672367e-08,0.738,0.0026,-1.771634471,6.93e-17
"AT1G18270",0.48627647247235,0.0492040009890664,"","Ketose-bisphosphate aldolase class-II family protein [Source:UniProtKB/TrEMBL;Acc:F4IAP5]","","p","nm2",NA,NA,NA,NA,-0.31280791,1.29e-05
"AT1G18740",1.24691135582361,0.000798939315210425,"","At1g18740/F6A14_15 [Source:UniProtKB/TrEMBL;Acc:Q9M9U5]","","p","em24",0.283621683867282,0.0188870766855859,NA,NA,-0.967946891,0.001722355
"AT1G18740",1.64188420251679,0.0325480527358557,"","At1g18740/F6A14_15 [Source:UniProtKB/TrEMBL;Acc:Q9M9U5]","","p","en24",0.283621683867282,0.0188870766855859,NA,NA,-0.967946891,0.001722355
"AT1G19180",0.911022945964739,0.0103778511221761,"TIFY10A","TIFY10A [Source:UniProtKB/TrEMBL;Acc:A0A178W7G1]","TIFY10A","p","em24",0.424611536222778,0.00802800000759638,NA,NA,-1.110349215,9.37e-08
"AT1G19200",-1.40420886955446,0.0177131924074763,"","Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200]","FLZ12","p","em2",NA,NA,NA,NA,-1.388010245,2.23e-07
"AT1G19200",-1.32000988912823,0.0278095753619604,"","Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200]","FLZ12","p","nm2",NA,NA,NA,NA,-1.388010245,2.23e-07
"AT1G19200",-0.933513823882627,0.0211258496270209,"","Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G19200]","FLZ12","r","em2",NA,NA,NA,NA,-1.388010245,2.23e-07
"AT1G19530",1.26147967094702,0.0433439360294194,"","DNA polymerase epsilon catalytic subunit A [Source:UniProtKB/TrEMBL;Acc:Q93WK6]","","r","nm2",NA,NA,2.884,0.00048,-0.414955882,0.003436008
"AT1G19530",1.21607739395884,0.0187509432009678,"","DNA polymerase epsilon catalytic subunit A [Source:UniProtKB/TrEMBL;Acc:Q93WK6]","","p","em2",NA,NA,2.884,0.00048,-0.414955882,0.003436008
"AT1G19570",-0.684931982267655,0.00376511274683054,"DHAR1","Glutathione S-transferase DHAR1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9FWR4]","DHAR1","p","nm2",-0.598526712066152,1.43286543275667e-05,NA,NA,-0.785131864,9.52e-07
"AT1G19690",-0.54954849346317,0.0314126434374121,"","At1g19690 [Source:UniProtKB/TrEMBL;Acc:Q147R9]","","p","em24",-0.312005907905435,0.0125242076291233,NA,NA,0.849545792,3.77e-06
"AT1G19770",0.889488293432072,0.0312615149371613,"ATPUP14","PUP14 [Source:UniProtKB/TrEMBL;Acc:A0A178WHV5]","PUP14","p","em24",0.437949259175739,0.000744429012236606,NA,NA,-0.447345164,0.000311119
"AT1G20020",-0.420836488354101,0.00892143014022274,"ATLFNR2","Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W493]","LFNR2","p","em24",-1.39658549000555,1.94935352951085e-07,NA,NA,0.413751682,0.013505163
"AT1G20020",0.643566501079018,0.00930277146785023,"ATLFNR2","Ferredoxin--NADP reductase, leaf isozyme 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W493]","LFNR2","p","nm2",-1.39658549000555,1.94935352951085e-07,NA,NA,0.413751682,0.013505163
"AT1G21130",1.28011286402694,0.0210243547006318,"","Indole glucosinolate O-methyltransferase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPU8]","IGMT4","r","em24",NA,NA,NA,NA,-0.318771406,0.019367296
"AT1G22410",-0.482103665023579,0.00026095194896627,"","Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]","","p","nm2",0.449599707727662,0.000235965965980197,NA,NA,-0.984701805,4.69e-09
"AT1G22410",-0.534389672781896,0.00127717373171409,"","Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]","","p","em2",0.449599707727662,0.000235965965980197,NA,NA,-0.984701805,4.69e-09
"AT1G22410",-0.478304957356082,0.0123899327605598,"","Phospho-2-dehydro-3-deoxyheptonate aldolase [Source:UniProtKB/TrEMBL;Acc:Q9SK84]","","r","em2",0.449599707727662,0.000235965965980197,NA,NA,-0.984701805,4.69e-09
"AT1G22430",0.443555505686629,0.0329388157324433,"","Alcohol dehydrogenase-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SK86]","","p","em2",-1.03300479249742,9.21275280327823e-07,NA,NA,-0.622621439,1.85e-08
"AT1G22630",0.708190587464818,0.00190464717226483,"","At1g22630/F12K8_2 [Source:UniProtKB/TrEMBL;Acc:Q9SKA5]","","p","nm2",-1.14689334273414,4.77428149354461e-06,NA,NA,0.945553223,0.000575494
"AT1G22630",0.599163046157429,0.0251571968057466,"","At1g22630/F12K8_2 [Source:UniProtKB/TrEMBL;Acc:Q9SKA5]","","p","em2",-1.14689334273414,4.77428149354461e-06,NA,NA,0.945553223,0.000575494
"AT1G24267",-0.345185899602901,0.0395044173984368,"","Protein of unknown function (DUF1664) [Source:TAIR;Acc:AT1G24267]","","p","nm2",NA,NA,NA,NA,-0.280173422,0.024439982
"AT1G24267",-0.464846496089477,0.0111559543810153,"","Protein of unknown function (DUF1664) [Source:TAIR;Acc:AT1G24267]","","p","em2",NA,NA,NA,NA,-0.280173422,0.024439982
"AT1G25230",0.456555227694994,0.0335862532703377,"","Calcineurin-like metallo-phosphoesterase superfamily protein [Source:TAIR;Acc:AT1G25230]","","p","em2",-1.42177504073536,1.06566551461076e-06,NA,NA,0.353665681,0.029982603
"AT1G25400",0.72747672322597,0.0338553441933378,"","At1g25400 [Source:UniProtKB/TrEMBL;Acc:Q9C6L0]","","p","em24",0.971694306209326,6.06418296477274e-06,NA,NA,-0.371598293,3.82e-05
"AT1G25400",1.30168768679876,0.0318194875189083,"","At1g25400 [Source:UniProtKB/TrEMBL;Acc:Q9C6L0]","","p","en6",0.971694306209326,6.06418296477274e-06,NA,NA,-0.371598293,3.82e-05
"AT1G26210",-0.79573401222133,0.0355870421786719,"ATSOFL1","At1g26210 [Source:UniProtKB/TrEMBL;Acc:Q67YG7]","ATSOFL1","p","em24",-0.528661254963675,0.00170001988778184,NA,NA,-1.173902096,0.01790462
