genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G13420;61.95838925682724;1.954169559330684;0.4296966986258895;4.547788162161468;5.421266282348683e-6;0.022198575883325068;ATST4B;Q9FX56;837902;"Cytosolic sulfotransferase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX56]";SOT8;UniProtKB Gene Name
AT1G33590;2375.855235395633;-0.6006075300350368;0.13365281096818116;-4.493788987184295;6.99669611823764e-6;0.022198575883325068;;;840253;"Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT1G33590]";;
AT1G52700;107.41152589614948;-1.5263156766994352;0.3155052917126167;-4.837686456586299;1.3135913948118092e-6;0.015353256222560426;;;841703;"Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1P8AQT5]";;
AT1G59940;144.45622674093286;1.061196046946219;0.24502434552903488;4.330982068965344;1.484457714164095e-5;0.03470068352629988;ARR3;;842288;"response regulator 3 [Source:TAIR;Acc:AT1G59940]";ARR3;TAIR Gene Name
AT1G59940;144.45622674093286;1.061196046946219;0.24502434552903488;4.330982068965344;1.484457714164095e-5;0.03470068352629988;ARR3;Q9ZWS9;842288;"response regulator 3 [Source:TAIR;Acc:AT1G59940]";ARR3;TAIR Gene Name
AT1G62280;39.79699791488221;-2.8815457937682996;0.6288072486914004;-4.582558168286122;4.5932188040628705e-6;0.022198575883325068;SLAH1;Q5E930;842525;"SLAH1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8P4]";SLAH1;UniProtKB Gene Name
AT2G42850;106.22015505732045;1.2599151744594015;0.2781304440310959;4.529943418630356;5.899948483068934e-6;0.022198575883325068;CYP718;;818885;"CYP718 [Source:UniProtKB/TrEMBL;Acc:A0A178VUF2]";CYP718;TAIR Gene Name
AT4G08780;124.12611766808249;-1.3747059081177793;0.30168218180846806;-4.556801796768204;5.1938392227908115e-6;0.022198575883325068;;Q9LDA4;826448;"Peroxidase 38 [Source:UniProtKB/Swiss-Prot;Acc:Q9LDA4]";PER38;UniProtKB Gene Name
AT4G12520;121.84002218575732;1.9772549036529952;0.46603365127671975;4.242729893509231;2.2081714794869715e-5;0.04692565136771586;;;826863;"At4g12520 [Source:UniProtKB/TrEMBL;Acc:Q9S7U3]";;
AT4G12520;121.84002218575732;1.9772549036529952;0.46603365127671975;4.242729893509231;2.2081714794869715e-5;0.04692565136771586;;;826864;"At4g12520 [Source:UniProtKB/TrEMBL;Acc:Q9S7U3]";;
AT5G04120;14.985336936534372;5.94536220931595;1.1988678249730524;4.959147360093334;7.080324607379845e-7;0.015353256222560426;;F4KI56;830290;"Metal-independent phosphoserine phosphatase [Source:UniProtKB/Swiss-Prot;Acc:F4KI56]";IPSP;UniProtKB Gene Name
AT5G36180;224.77291961549355;1.1623374872549859;0.2596684966354327;4.476236056031376;7.597048556921652e-6;0.022198575883325068;scpl1;;833615;"Serine carboxypeptidase-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWJ6]";SCPL1;UniProtKB Gene Name
AT5G36180;224.77291961549355;1.1623374872549859;0.2596684966354327;4.476236056031376;7.597048556921652e-6;0.022198575883325068;scpl1;Q8RWJ6;833615;"Serine carboxypeptidase-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWJ6]";SCPL1;UniProtKB Gene Name
AT5G46900;62.712885232630065;2.918134646825535;0.6713802074587109;4.346471067223109;1.3834529033563302e-5;0.03470068352629988;;;834735;"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q39100]";;
