GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0050896	P	response to stimulus	195	393	6250	28362	1.2e-32	2.9e-29	// AT5G49520 // AT5G49730 // AT1G80840 // AT5G02410 // AT1G14870 // AT3G46230 // AT3G13650 // AT4G38860 // AT2G30770 // AT2G32680 // AT5G46350 // AT1G66160 // AT2G38290 // AT5G01550 // AT5G33355 // AT2G15490 // AT4G12720 // AT5G43580 // AT3G05660 // AT3G48090 // AT4G17660 // AT1G72430 // AT2G03760 // AT3G01840 // AT3G58070 // AT3G05500 // AT4G34760 // AT1G68840 // AT4G36010 // AT1G52200 // AT3G28580 // AT5G60660 // AT3G59930 // AT1G78100 // AT3G28340 // AT4G03510 // AT3G60140 // AT1G20450 // AT5G01540 // AT1G09750 // AT5G27420 // AT5G67400 // AT2G47590 // AT3G52400 // AT4G26850 // AT1G57630 // AT3G13790 // AT3G50260 // AT1G18570 // AT2G31865 // AT1G01470 // AT4G11280 // AT2G17040 // AT1G01560 // AT2G24850 // AT5G06320 // AT3G01190 // AT2G22880 // AT1G80820 // AT3G28210 // AT5G13190 // AT4G13880 // AT2G41380 // AT4G01540 // AT4G11170 // AT2G32660 // AT4G37370 // AT4G36990 // AT1G07400 // AT2G15480 // AT5G38900 // AT4G20830 // AT2G36830 // AT5G57220 // AT5G45110 // AT1G74710 // AT1G69930 // AT1G17190 // AT3G25780 // AT2G01530 // AT2G45760 // AT5G13200 // AT3G62760 // AT5G42380 // AT3G44450 // AT4G22200 // AT3G11840 // AT2G19450 // AT1G78240 // AT2G13790 // AT5G12020 // AT1G11210 // AT1G12950 // AT4G23210 // AT5G03760 // AT4G34710 // AT1G70520 // AT2G01180 // AT5G59720 // AT3G56400 // AT5G56860 // AT5G42900 // AT1G25560 // AT5G26030 // AT5G02120 // AT5G41750 // AT2G21210 // AT2G40140 // AT1G16030 // AT1G43910 // AT2G26560 // AT2G35980 // AT2G38470 // AT2G32140 // AT4G34150 // AT5G44920 // AT3G12920 // AT5G12030 // AT3G11520 // AT5G40010 // AT1G08560 // AT3G47570 // AT2G46400 // AT1G02930 // AT2G30250 // AT5G47230 // AT5G13320 // AT1G35210 // AT1G22280 // AT3G50480 // AT4G33050 // AT1G09970 // AT5G57710 // AT1G64210 // AT1G42990 // AT4G31550 // AT4G17490 // AT2G35930 // AT1G15520 // AT3G15500 // AT3G11820 // AT3G13100 // AT3G23250 // AT5G52640 // AT2G39660 // AT3G22060 // AT5G03140 // AT1G11860 // AT2G47000 // AT4G20860 // AT2G17290 // AT1G52560 // AT2G39200 // AT4G33980 // AT2G37710 // AT1G66090 // AT5G20910 // AT2G23810 // AT3G50930 // AT4G38840 // AT1G28370 // AT5G25250 // AT2G41940 // AT1G27730 // AT3G48360 // AT2G29090 // AT4G02380 // AT1G14540 // AT5G16910 // AT4G18880 // AT1G62300 // AT3G04220 // AT5G39580 // AT5G26340 // AT2G39210 // AT1G79680 // AT4G01250 // AT1G29690 // AT2G31880 // AT1G78410 // AT3G61190 // AT1G76040 // AT3G55980 // AT5G06760 // AT1G30040 // AT4G31800 // AT5G27760 // AT1G68050 // AT2G41100 // AT1G19020 // AT4G34220 // AT5G05410 // AT1G51800 // AT1G69530 // AT4G11890 
GO:0006950	P	response to stress	134	393	3506	28362	2e-28	2.4e-25	// AT5G49520 // AT1G80840 // AT1G14870 // AT3G46230 // AT3G13650 // AT2G30770 // AT2G32680 // AT5G46350 // AT5G33355 // AT4G12720 // AT5G43580 // AT3G05660 // AT3G48090 // AT4G17660 // AT2G03760 // AT3G05500 // AT2G32140 // AT1G52200 // AT3G28580 // AT3G59930 // AT3G28340 // AT4G03510 // AT1G20450 // AT5G01540 // AT1G09750 // AT5G27420 // AT5G67400 // AT2G47590 // AT3G52400 // AT4G26850 // AT1G57630 // AT3G13790 // AT3G50260 // AT1G18570 // AT2G31865 // AT1G01470 // AT4G11280 // AT5G41750 // AT2G24850 // AT5G06320 // AT3G01190 // AT1G80820 // AT5G13190 // AT4G11170 // AT2G32660 // AT4G37370 // AT4G36990 // AT1G07400 // AT2G15480 // AT5G38900 // AT4G20830 // AT2G36830 // AT5G57220 // AT5G45110 // AT1G79680 // AT1G17190 // AT3G25780 // AT2G01530 // AT2G45760 // AT5G13320 // AT3G11840 // AT2G19450 // AT5G12020 // AT1G11210 // AT4G23210 // AT1G14540 // AT4G34710 // AT1G29690 // AT2G01180 // AT5G59720 // AT3G61190 // AT5G02410 // AT5G42900 // AT5G26030 // AT2G40140 // AT1G16030 // AT1G43910 // AT2G26560 // AT2G35980 // AT1G74710 // AT4G34150 // AT3G12920 // AT5G12030 // AT4G31550 // AT1G15520 // AT1G02930 // AT2G30250 // AT5G47230 // AT5G42380 // AT3G50480 // AT1G09970 // AT1G42990 // AT5G44920 // AT4G17490 // AT2G35930 // AT3G15500 // AT3G11820 // AT3G23250 // AT5G52640 // AT2G39660 // AT5G03140 // AT2G38470 // AT1G52560 // AT2G39200 // AT4G33980 // AT1G66090 // AT2G23810 // AT3G50930 // AT4G38840 // AT5G25250 // AT1G27730 // AT3G48360 // AT4G02380 // AT5G16910 // AT4G18880 // AT1G62300 // AT3G04220 // AT5G39580 // AT5G26340 // AT2G39210 // AT1G51800 // AT4G01250 // AT1G70520 // AT2G31880 // AT1G78410 // AT3G56400 // AT5G40010 // AT5G06760 // AT4G31800 // AT5G27760 // AT1G19020 // AT4G34220 // AT5G05410 // AT4G11890 
GO:1901700	P	response to oxygen-containing compound	87	393	1557	28362	3e-28	2.4e-25	// AT5G49520 // AT1G80840 // AT5G46350 // AT5G01550 // AT1G66160 // AT3G48090 // AT2G03760 // AT3G58070 // AT3G05500 // AT3G28580 // AT5G60660 // AT5G27420 // AT1G20450 // AT5G01540 // AT3G60140 // AT3G52400 // AT4G26850 // AT3G50260 // AT1G18570 // AT1G01470 // AT4G11280 // AT2G17040 // AT1G01560 // AT2G24850 // AT5G06320 // AT3G28210 // AT4G11170 // AT5G45110 // AT1G79680 // AT5G13200 // AT5G42380 // AT4G22200 // AT3G11840 // AT2G19450 // AT2G13790 // AT4G34710 // AT1G70520 // AT1G76040 // AT5G59720 // AT3G61190 // AT5G56860 // AT4G12720 // AT2G21210 // AT5G12030 // AT1G43910 // AT2G38470 // AT2G40140 // AT4G31550 // AT2G46400 // AT1G02930 // AT5G47230 // AT5G06760 // AT4G33050 // AT5G57710 // AT1G42990 // AT2G35930 // AT1G15520 // AT3G15500 // AT3G11820 // AT3G23250 // AT2G36830 // AT3G22060 // AT4G20860 // AT2G17290 // AT1G52560 // AT2G37710 // AT5G20910 // AT3G50930 // AT1G27730 // AT3G48360 // AT4G02380 // AT4G18880 // AT1G62300 // AT5G26340 // AT1G51800 // AT4G01250 // AT3G56400 // AT5G40010 // AT3G55980 // AT3G50480 // AT4G31800 // AT4G17490 // AT2G41940 // AT4G34220 // AT5G05410 // AT1G69530 // AT4G11890 
GO:0042221	P	response to chemical	116	393	2853	28362	2.3e-26	1.4e-23	// AT5G49520 // AT1G80840 // AT4G38860 // AT5G46350 // AT5G01550 // AT1G66160 // AT2G15490 // AT3G48090 // AT1G72430 // AT2G03760 // AT3G58070 // AT3G05500 // AT4G34760 // AT3G28580 // AT5G60660 // AT1G78100 // AT4G03510 // AT3G60140 // AT1G20450 // AT5G01540 // AT5G27420 // AT3G52400 // AT4G26850 // AT1G57630 // AT3G50260 // AT1G18570 // AT1G01470 // AT4G11280 // AT2G17040 // AT1G01560 // AT2G24850 // AT5G06320 // AT3G28210 // AT2G41380 // AT4G01540 // AT4G11170 // AT4G23210 // AT5G57220 // AT5G45110 // AT1G69930 // AT1G17190 // AT2G01530 // AT5G13200 // AT3G62760 // AT5G42380 // AT4G22200 // AT3G11840 // AT2G19450 // AT1G78240 // AT2G13790 // AT1G12950 // AT1G14540 // AT4G34710 // AT1G70520 // AT1G76040 // AT5G59720 // AT3G56400 // AT5G56860 // AT1G25560 // AT4G12720 // AT2G21210 // AT2G40140 // AT1G43910 // AT2G26560 // AT2G38470 // AT5G12030 // AT3G11520 // AT1G08560 // AT4G31550 // AT2G46400 // AT1G02930 // AT5G47230 // AT5G06760 // AT4G33050 // AT5G57710 // AT1G42990 // AT2G35930 // AT1G15520 // AT3G15500 // AT3G11820 // AT3G23250 // AT5G52640 // AT2G36830 // AT3G22060 // AT1G11860 // AT2G47000 // AT4G20860 // AT2G17290 // AT1G52560 // AT2G37710 // AT5G20910 // AT3G50930 // AT4G38840 // AT1G28370 // AT5G25250 // AT1G27730 // AT3G48360 // AT4G02380 // AT4G18880 // AT1G62300 // AT1G68840 // AT5G26340 // AT1G79680 // AT4G01250 // AT3G61190 // AT5G40010 // AT3G55980 // AT3G50480 // AT4G31800 // AT4G17490 // AT2G41940 // AT4G34220 // AT5G05410 // AT1G51800 // AT1G69530 // AT4G11890 
GO:0010033	P	response to organic substance	91	393	2023	28362	3.7e-23	1.8e-20	// AT5G49520 // AT1G80840 // AT4G38860 // AT5G46350 // AT5G01550 // AT1G66160 // AT3G48090 // AT1G72430 // AT2G03760 // AT3G58070 // AT4G34760 // AT3G28580 // AT5G60660 // AT1G78100 // AT4G03510 // AT5G27420 // AT1G20450 // AT5G01540 // AT3G60140 // AT3G52400 // AT4G26850 // AT3G50260 // AT1G18570 // AT4G11280 // AT2G17040 // AT1G01560 // AT2G24850 // AT5G06320 // AT3G28210 // AT4G01540 // AT2G36830 // AT5G45110 // AT1G79680 // AT2G01530 // AT5G13200 // AT4G22200 // AT3G11840 // AT2G19450 // AT1G78240 // AT2G13790 // AT4G34710 // AT1G76040 // AT3G56400 // AT5G56860 // AT1G25560 // AT2G21210 // AT1G43910 // AT2G38470 // AT2G40140 // AT3G11520 // AT1G08560 // AT4G31550 // AT2G46400 // AT5G47230 // AT3G50480 // AT4G33050 // AT5G57710 // AT1G42990 // AT2G35930 // AT1G15520 // AT3G15500 // AT3G11820 // AT3G23250 // AT4G23210 // AT3G22060 // AT2G47000 // AT4G20860 // AT2G17290 // AT2G37710 // AT5G20910 // AT3G50930 // AT4G38840 // AT1G28370 // AT1G27730 // AT3G48360 // AT4G02380 // AT4G18880 // AT1G62300 // AT1G68840 // AT5G26340 // AT1G51800 // AT4G01250 // AT3G61190 // AT5G40010 // AT3G55980 // AT4G31800 // AT4G17490 // AT2G41940 // AT4G34220 // AT1G69530 // AT4G11890 
GO:0006952	P	defense response	78	393	1566	28362	2.7e-22	1.1e-19	// AT5G49520 // AT4G11280 // AT1G57630 // AT1G80840 // AT2G38470 // AT5G06320 // AT2G39200 // AT5G41750 // AT5G47230 // AT1G66090 // AT2G30770 // AT2G23810 // AT3G50930 // AT2G32680 // AT5G46350 // AT4G11890 // AT2G26560 // AT5G13190 // AT2G15480 // AT2G31880 // AT5G33355 // AT3G13650 // AT5G44920 // AT3G12920 // AT4G12720 // AT5G43580 // AT3G05660 // AT2G40140 // AT3G48090 // AT4G17660 // AT4G11170 // AT2G35980 // AT2G32660 // AT2G03760 // AT4G02380 // AT4G37370 // AT4G31550 // AT1G29690 // AT1G02930 // AT3G04220 // AT5G39580 // AT5G38900 // AT5G57220 // AT2G39210 // AT4G23210 // AT3G59930 // AT1G79680 // AT3G50480 // AT5G45110 // AT1G74710 // AT3G56400 // AT1G18570 // AT2G32140 // AT2G01530 // AT2G45760 // AT4G31800 // AT5G13320 // AT5G01540 // AT1G09750 // AT3G11840 // AT5G27420 // AT4G17490 // AT3G52400 // AT4G26850 // AT2G35930 // AT1G80820 // AT1G15520 // AT3G11820 // AT3G50260 // AT5G52640 // AT4G01250 // AT2G39660 // AT1G51800 // AT2G01180 // AT5G03140 // AT2G31865 // AT1G01470 // AT3G61190 
GO:0010200	P	response to chitin	27	393	134	28362	1.2e-21	4.4e-19	// AT5G49520 // AT2G13790 // AT1G80840 // AT2G38470 // AT2G21210 // AT3G28210 // AT1G66160 // AT1G27730 // AT2G17040 // AT2G40140 // AT4G31550 // AT4G18880 // AT2G46400 // AT1G62300 // AT5G47230 // AT4G01250 // AT3G56400 // AT4G33050 // AT3G55980 // AT4G31800 // AT1G42990 // AT3G11840 // AT5G27420 // AT4G17490 // AT2G35930 // AT3G50260 // AT3G23250 
GO:0001101	P	response to acid chemical	64	393	1181	28362	4.9e-20	1.5e-17	// AT4G11280 // AT1G80840 // AT4G20860 // AT2G24850 // AT5G56860 // AT5G40010 // AT2G37710 // AT5G20910 // AT4G12720 // AT3G50930 // AT1G01560 // AT5G46350 // AT1G43910 // AT3G28210 // AT2G38470 // AT5G01550 // AT2G41940 // AT2G17290 // AT1G51800 // AT3G48360 // AT5G26340 // AT4G34220 // AT3G48090 // AT4G11170 // AT2G03760 // AT4G02380 // AT3G23250 // AT3G58070 // AT3G05500 // AT4G11890 // AT1G02930 // AT5G42380 // AT3G28580 // AT5G60660 // AT1G79680 // AT5G06760 // AT1G70520 // AT3G56400 // AT1G18570 // AT1G27730 // AT3G50480 // AT5G13200 // AT4G31800 // AT1G20450 // AT5G01540 // AT4G22200 // AT5G27420 // AT2G19450 // AT5G45110 // AT3G52400 // AT4G26850 // AT2G35930 // AT1G15520 // AT3G15500 // AT3G11820 // AT1G69530 // AT5G05410 // AT4G34710 // AT2G36830 // AT3G22060 // AT1G76040 // AT5G06320 // AT1G01470 // AT3G61190 
GO:0009719	P	response to endogenous stimulus	78	393	1732	28362	8.7e-20	2.4e-17	// AT5G49520 // AT4G11280 // AT2G47000 // AT2G35930 // AT1G80840 // AT4G20860 // AT2G24850 // AT5G56860 // AT5G40010 // AT1G27730 // AT5G20910 // AT2G21210 // AT4G01540 // AT2G17290 // AT1G01560 // AT5G46350 // AT1G43910 // AT1G28370 // AT3G28210 // AT1G69530 // AT2G38470 // AT5G01550 // AT2G41940 // AT1G66160 // AT1G25560 // AT1G51800 // AT2G17040 // AT4G34220 // AT2G40140 // AT3G48360 // AT1G72430 // AT4G17490 // AT4G38860 // AT4G02380 // AT3G58070 // AT4G31550 // AT4G18880 // AT2G46400 // AT4G38840 // AT4G34760 // AT1G68840 // AT5G47230 // AT5G26340 // AT3G28580 // AT5G60660 // AT1G78240 // AT1G78100 // AT3G50480 // AT5G45110 // AT3G56400 // AT1G18570 // AT4G33050 // AT3G55980 // AT4G01250 // AT2G01530 // AT5G13200 // AT4G31800 // AT1G42990 // AT1G20450 // AT5G01540 // AT4G22200 // AT3G11840 // AT5G27420 // AT2G19450 // AT3G52400 // AT4G26850 // AT2G13790 // AT1G15520 // AT3G15500 // AT3G11820 // AT3G50260 // AT3G23250 // AT4G34710 // AT2G36830 // AT3G22060 // AT1G76040 // AT1G62300 // AT4G11890 
GO:0010243	P	response to organonitrogen compound	27	393	166	28362	1.7e-19	4.1e-17	// AT5G49520 // AT2G13790 // AT1G80840 // AT2G38470 // AT2G21210 // AT3G28210 // AT1G66160 // AT1G27730 // AT2G17040 // AT2G40140 // AT4G31550 // AT4G18880 // AT2G46400 // AT1G62300 // AT5G47230 // AT4G01250 // AT3G56400 // AT4G33050 // AT3G55980 // AT4G31800 // AT1G42990 // AT3G11840 // AT5G27420 // AT4G17490 // AT2G35930 // AT3G50260 // AT3G23250 
