Group.1,Group.2,Group.3,transcript,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT5G24640,49.38566868815396,-2.7414025410918006,AT5G24640.1,49.385668688154,-2.7414025410918,0.45914109259312,1.26897796395253e-10,2.50242454491439e-06,AT5G24640,,,832535,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FLU0],,
AT4G14450,13.871646609993451,-2.58332590631589,AT4G14450.1,13.8716466099935,-2.58332590631589,0.674130447471808,5.28151204334772e-06,0.0109633071047176,AT4G14450,,Q6NN02,827090,"Uncharacterized protein At4g14450, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q6NN02]",,
AT5G59720,23.584965496559676,-2.5020371666154664,AT5G59720.1,23.5849654965597,-2.50203716661547,0.674722490756151,7.755351062025e-06,0.0132362058622948,AT5G59720,HSP18.2,P19037,836093,18.1 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19037],HSP18.1,UniProtKB Gene Name
AT2G47520,45.79859065752849,-2.292995093907295,AT2G47520.1,45.7985906575285,-2.2929950939073,0.428860909506188,4.35795268714257e-09,4.29694134952257e-05,AT2G47520,HRE2,O22259,819365,Ethylene-responsive transcription factor ERF071 [Source:UniProtKB/Swiss-Prot;Acc:O22259],ERF071,UniProtKB Gene Name
AT3G46230,76.25264472983095,-1.3906961914737535,AT3G46230.1,76.2526447298309,-1.39069619147375,0.37632608373656,7.89168094556212e-06,0.0132362058622948,AT3G46230,ATHSP17.4,P19036,823768,17.4 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19036],HSP17.4A,UniProtKB Gene Name
AT2G32020,60.831028702034686,-1.1955538940390382,AT2G32020.1,60.8310287020347,-1.19555389403904,0.316643184518463,6.17207630986664e-06,0.012171334483057,AT2G32020,,,817762,Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SKZ7],,
AT1G16030,67.93577756218015,-1.1833265973280807,AT1G16030.1,67.9357775621801,-1.18332659732808,0.365650256194224,4.18781929994506e-05,0.0453787758755352,AT1G16030,Hsp70b,Q9S9N1,838174,Hsp70b [Source:UniProtKB/TrEMBL;Acc:A0A178W9N7],HSP70-5,UniProtKB Gene Name
AT2G25460,50.334359053455955,-1.1464614623399554,AT2G25460.1,50.334359053456,-1.14646146233996,0.299826368580552,5.03324798563713e-06,0.0109633071047176,AT2G25460,,,817084,CONTAINS InterPro DOMAIN/s: C2 calcium-dependent membrane targeting (InterPro:IPR000008); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G04860.1); Ha. [Source:TAIR;Acc:AT2G25460],,
AT2G38470,298.1589416730124,-0.9297944857415159,AT2G38470.1,298.158941673012,-0.929794485741516,0.186586196506287,2.64901773709635e-08,0.000174128765918466,AT2G38470,WRKY33,Q8S8P5,818429,WRKY33 [Source:UniProtKB/TrEMBL;Acc:A0A384L4W4],WRKY33,UniProtKB Gene Name
AT1G25560,605.9306611616705,-0.9025024948607469,AT1G25560.1,605.930661161671,-0.902502494860747,0.148145766562076,5.07076409723616e-11,1.99990935994994e-06,AT1G25560,TEM1,Q9C6M5,839143,AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5],TEM1,UniProtKB Gene Name
AT1G28190,96.55721862848912,-0.7763199737905461,AT1G28190.1,96.5572186284891,-0.776319973790546,0.236035590115672,3.63964900599236e-05,0.0410136447989539,AT1G28190,,,839713,F3H9.15 protein [Source:UniProtKB/TrEMBL;Acc:Q9FZ93],,
AT4G39780,106.13491082635093,-0.7734826865103921,AT4G39780.1,106.134910826351,-0.773482686510392,0.222576440788713,1.83439100298234e-05,0.0252313120513044,AT4G39780,,O65665,830136,Ethylene-responsive transcription factor ERF060 [Source:UniProtKB/Swiss-Prot;Acc:O65665],ERF060,UniProtKB Gene Name
AT5G56550,878.92375931401,-0.728381876236326,AT5G56550.1,878.92375931401,-0.728381876236326,0.159091796019608,1.92928551364549e-07,0.000691736551437981,AT5G56550,OXS3,,835756,Emb [Source:UniProtKB/TrEMBL;Acc:Q9LVB9],OXS3,TAIR Gene Name
AT1G27730,668.2434165797661,-0.7233651329307954,AT1G27730.1,668.243416579766,-0.723365132930795,0.138718265663426,8.05467335401321e-09,6.35352634164562e-05,AT1G27730,STZ,Q96289,839666,Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289],ZAT10,UniProtKB Gene Name
AT2G38820,358.1549801264523,-0.7170011132280144,"AT2G38820.2,AT2G38820.1",358.154980126452,-0.717001113228014,0.193907688680111,8.39008992285421e-06,0.0132362058622948,AT2G38820,,,818464,Protein of unknown function (DUF506) [Source:TAIR;Acc:AT2G38820],,
AT2G03760,782.0432367142764,-0.7118888302015198,AT2G03760.1,782.043236714276,-0.71188883020152,0.185049570198614,4.56335060515372e-06,0.0105869734039566,AT2G03760,ST,P52839,814903,Cytosolic sulfotransferase 12 [Source:UniProtKB/Swiss-Prot;Acc:P52839],SOT12,UniProtKB Gene Name
AT4G01250,282.3378913166991,-0.6802128780410883,AT4G01250.1,282.337891316699,-0.680212878041088,0.19584246785828,1.89781316045115e-05,0.0252313120513044,AT4G01250,WRKY22,O04609,827896,WRKY transcription factor 22 [Source:UniProtKB/Swiss-Prot;Acc:O04609],WRKY22,UniProtKB Gene Name
AT4G03510,1735.5424826831643,-0.6264351645722384,AT4G03510.4,1735.54248268316,-0.626435164572238,0.150960333901085,1.28534579505407e-06,0.00316837738480828,AT4G03510,RMA1,O64425,825654,E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425],RMA1,UniProtKB Gene Name
AT4G03510,1742.2003422177536,-0.626336138160414,AT4G03510.2,1742.20034221775,-0.626336138160414,0.14897389190401,1.06157960904497e-06,0.00302410894102614,AT4G03510,RMA1,O64425,825654,E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425],RMA1,UniProtKB Gene Name
