Group.1,Group.2,Group.3,transcript,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT3G60966,16.133176363743043,-2.954498014134058,AT3G60966.1,16.133176363743,-2.95449801413406,0.943906505581328,5.31571084606259e-05,0.0074291825832561,AT3G60966,,,3769752,RING/U-box superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q1G3N1],,
AT1G56250,23.254422541602835,-2.8576766011008794,AT1G56250.1,23.2544225416028,-2.85767660110088,0.672805886327933,8.281128945457e-07,0.00054859412178858,AT1G56250,AtPP2-B14,Q9C7K0,842078,F-box protein VBF [Source:UniProtKB/Swiss-Prot;Acc:Q9C7K0],VBF,UniProtKB Gene Name
AT2G04495,24.228873741420564,-2.7143360406119736,AT2G04495.1,24.2288737414206,-2.71433604061197,0.657500854768305,1.42657142454738e-06,0.000760795619483241,AT2G04495,,,814990,At2g04495 [Source:UniProtKB/TrEMBL;Acc:Q6NLT2],,
AT1G78410,38.09152010545627,-2.703568924293773,AT1G78410.1,38.0915201054563,-2.70356892429377,0.631563631240607,6.68001486848606e-07,0.000459546484404523,AT1G78410,,Q8VYI5,844177,VQ motif-containing protein 10 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYI5],VQ10,UniProtKB Gene Name
AT4G22710,84.11989766715331,-2.7001554765048623,AT4G22710.1,84.1198976671533,-2.70015547650486,0.447349743935562,5.67984116770875e-11,1.56296121609573e-07,AT4G22710,CYP706A2,,828367,Cytochrome P450 - like protein [Source:UniProtKB/TrEMBL;Acc:O49652],CYP706A2,TAIR Gene Name
AT5G22520,23.96781957795288,-2.551227587832161,AT5G22520.1,23.9678195779529,-2.55122758783216,0.743630371988503,2.11290501972917e-05,0.00446416359500677,AT5G22520,,,832313,At5g22520 [Source:UniProtKB/TrEMBL;Acc:Q9FK87],,
AT1G07160,28.454252233293882,-2.3825570380740824,AT1G07160.1,28.4542522332939,-2.38255703807408,0.536363808018316,4.10469003404116e-07,0.000308018842515254,AT1G07160,,Q8RX37,837227,PP2C-type phosphatase AP2C2 [Source:UniProtKB/TrEMBL;Acc:F6LPR6],,
AT4G04490,43.73859195465566,-2.3269647948840086,AT4G04490.1,43.7385919546557,-2.32696479488401,0.568094349052607,1.43355076687353e-06,0.000760795619483241,AT4G04490,CRK36,Q9XEC6,825779,Cysteine-rich receptor-like protein kinase 36 [Source:UniProtKB/Swiss-Prot;Acc:Q9XEC6],CRK36,UniProtKB Gene Name
AT5G41750,71.32695208296605,-2.125265456982207,AT5G41750.2,71.326952082966,-2.12526545698221,0.434016790559089,3.83565608908864e-08,3.92036929357052e-05,AT5G41750,,,834178,Disease resistance protein (TIR-NBS-LRR class) family [Source:UniProtKB/TrEMBL;Acc:Q9LSX5],,
AT1G17380,21.50581909857223,-1.987959835111204,AT1G17380.3,21.5058190985722,-1.9879598351112,0.575522992430625,1.86124397239534e-05,0.00416139253903116,AT1G17380,JAZ5,",Q9LDU5",838310,Protein TIFY 11A [Source:UniProtKB/Swiss-Prot;Acc:Q9LDU5],TIFY11A,UniProtKB Gene Name
AT1G24145,54.01490397710749,-1.9527437260371614,AT1G24145.1,54.0149039771075,-1.95274372603716,0.560978147984261,1.5262582313052e-05,0.00360623547280363,AT1G24145,,,839027,At1g24145 [Source:UniProtKB/TrEMBL;Acc:Q8GYP2],,
AT4G14450,33.64351016962755,-1.9333097050431294,AT4G14450.1,33.6435101696275,-1.93330970504313,0.486922036188695,2.58414704756757e-06,0.00101619269732874,AT4G14450,,Q6NN02,827090,"Uncharacterized protein At4g14450, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q6NN02]",,
AT4G09715,17.86487143441776,-1.8154677469932061,AT4G09715.1,17.8648714344178,-1.81546774699321,0.706404305615962,0.000295640321562577,0.0246525436439582,AT4G09715,"NA","NA","NA","NA","NA","NA"
AT5G57220,89.44450554581087,-1.767695804785694,AT5G57220.1,89.4445055458109,-1.76769580478569,0.351187803260293,1.86685930989464e-08,2.08697369040191e-05,AT5G57220,CYP81F2,Q9LVD6,835828,Cytochrome P450 81F2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LVD6],CYP81F2,UniProtKB Gene Name
AT1G24140,26.022184624345837,-1.752664321441571,AT1G24140.1,26.0221846243458,-1.75266432144157,0.584275470134862,8.63413790380673e-05,0.0107996159172335,AT1G24140,,Q5XF51,839026,Metalloendoproteinase 3-MMP [Source:UniProtKB/Swiss-Prot;Acc:Q5XF51],3MMP,UniProtKB Gene Name
AT1G17380,18.40179090163423,-1.7473491849747855,"AT1G17380.1,AT1G17380.2",18.4017909016342,-1.74734918497479,0.661765350885246,0.000234315579558302,0.0216593571771037,AT1G17380,JAZ5,",Q9LDU5",838310,Protein TIFY 11A [Source:UniProtKB/Swiss-Prot;Acc:Q9LDU5],TIFY11A,UniProtKB Gene Name
AT3G29000,38.43431572086915,-1.7400225113575096,AT3G29000.1,38.4343157208692,-1.74002251135751,0.374243607343104,1.41597909568269e-07,0.000122225478490502,AT3G29000,,Q9MBG5,822540,Probable calcium-binding protein CML45 [Source:UniProtKB/Swiss-Prot;Acc:Q9MBG5],CML45,UniProtKB Gene Name
AT5G42830,52.17174765304908,-1.7290484111038542,AT5G42830.1,52.1717476530491,-1.72904841110385,0.519090129620392,2.77142956897281e-05,0.00519069895135416,AT5G42830,,,834294,HXXXD-type acyl-transferase family protein [Source:UniProtKB/TrEMBL;Acc:Q9FMN6],,
AT2G32680,51.98045640630289,-1.726818541580202,AT2G32680.1,51.9804564063029,-1.7268185415802,0.497210788900083,1.73179563232933e-05,0.00389632233681239,AT2G32680,AtRLP23,O48849,817828,Receptor like protein 23 [Source:UniProtKB/Swiss-Prot;Acc:O48849],AtRLP23,TAIR Gene Name
AT5G60800,43.82335260214139,-1.7233579833016246,AT5G60800.2,43.8233526021414,-1.72335798330162,0.528830501503011,3.63339099131398e-05,0.00624890845828245,AT5G60800,,",Q9FJH5",836201,Heavy metal transport/detoxification superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K0H3],,
AT2G46400,87.7865608744095,-1.7157402955088998,AT2G46400.1,87.7865608744095,-1.7157402955089,0.441169443467224,3.48051876973884e-06,0.00127049589744763,AT2G46400,WRKY46,Q9SKD9,819248,Probable WRKY transcription factor 46 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKD9],WRKY46,UniProtKB Gene Name
AT4G37370,190.22437228421398,-1.6050016441486912,AT4G37370.1,190.224372284214,-1.60500164414869,0.286785432153856,8.64913898980318e-10,1.62845078464331e-06,AT4G37370,CYP81D8,,829891,"Cytochrome P450, family 81, subfamily D, polypeptide 8 [Source:UniProtKB/TrEMBL;Acc:Q9SZT7]",CYP81D8,TAIR Gene Name
AT5G39580,370.8867296400699,-1.5931349982458514,"AT5G39580.1,AT5G39580.2",370.88672964007,-1.59313499824585,0.231856032475354,2.66486574097766e-13,9.53302421519939e-10,AT5G39580,,",Q9FKA4",833954,Peroxidase 62 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKA4],PER62,UniProtKB Gene Name
AT1G10470,75.03257620270479,-1.5907181335166303,AT1G10470.2,75.0325762027048,-1.59071813351663,0.346113190616413,1.72521042178548e-07,0.000143525470740772,AT1G10470,ARR4,",O82798",837587,Two-component response regulator ARR4 [Source:UniProtKB/Swiss-Prot;Acc:O82798],ARR4,UniProtKB Gene Name
