genes;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;description;athaliana_eg_homolog_ensembl_gene;athaliana_eg_homolog_associated_gene_name;external_gene_name
Solyc00g500164.1;11336.418156824726;-1.320524332072653;0.3068373275051793;-4.3036626045778705;1.67997443954886e-5;0.016190287001585594;NA;NA;NA;NA
Solyc00g160750.1;2797.2795318980934;-1.1720422660251997;0.2978356310040591;-3.935198290661289;8.312803418653293e-5;0.039084221220367636;NA;NA;NA;NA
Solyc01g079770.2;67.0007421957042;1.1924151893150834;0.30632641420795803;3.8926293457200196;9.916359859094191e-5;0.039095248744478846;NA;NA;NA;NA
Solyc01g080610.3;121.77249613129479;1.4273896774666643;0.36579772790811194;3.902128330948035;9.535057928963926e-5;0.039084221220367636;;;;
Solyc01g074000.4;257.64998427108674;1.5429337911190473;0.3469673838683727;4.446913061155;8.711307294917687e-6;0.013737731604085193;NA;NA;NA;NA
Solyc01g095320.4;1033.600117083142;-1.3626957229338004;0.3575783490428628;-3.8109010978471027;1.3846115854170148e-4;0.045318598438167844;NA;NA;NA;NA
Solyc01g102960.3;93.12690930138811;-1.7300981876455406;0.3979921005733892;-4.3470666507023115;1.3797030343656695e-5;0.015892586770301663;;;;
Solyc02g067050.3;1011.934528132652;1.1989145437189082;0.3144841226371395;3.8123213778339107;1.3766771351809536e-4;0.045318598438167844;;AT3G29240;;
Solyc02g068540.3;70.17715526452186;-2.0031915904073467;0.513840240520101;-3.8984716112925444;9.680174676645957e-5;0.039084221220367636;NA;NA;NA;NA
Solyc02g081190.5;43556.34398083078;-1.114185357158277;0.27834906500692846;-4.00283491927858;6.258797493335021e-5;0.039084221220367636;NA;NA;NA;NA
Solyc02g084170.2;11.997167823360135;-3.9123567867320395;0.9904908721256844;-3.9499170530827428;7.817828086446722e-5;0.039084221220367636;NA;NA;NA;NA
Solyc03g006100.4;31.588217780322935;3.503795383756701;0.879410482418662;3.984254740880658;6.769222794185941e-5;0.039084221220367636;NA;NA;NA;NA
Solyc03g007890.3;1574.6964955808487;-1.7687858902625377;0.45164483480739553;-3.916320422477185;8.991073170662113e-5;0.039084221220367636;;;;
