gene,description
Solyc00g160260.1.1 ,Homeobox leucine-zipper protein (AHRD V3.11 *-* tr|Q8H963|Q8H963_ZINVI)
Solyc00g160270.1.1 ,Glucuronoxylan 4-O-methyltransferase-like protein (DUF579) (AHRD V3.11 *-* tr|Q9SW35|Q9SW35_ARATH)
Solyc00g500003.1.1 ,MP domain-containing protein (AHRD V3.3 *-* A0A1Q3D0H5_CEPFO)
Solyc00g500004.1.1 ,Unknown protein
Solyc00g500005.1.1 ,Unknown protein
Solyc00g500006.1.1 ,Unknown protein
Solyc00g500007.1.1 ,Unknown protein
Solyc00g500008.1.1 ,Unknown protein
Solyc00g500009.1.1 ,Unknown protein
Solyc00g500010.1.1 ,Unknown protein
Solyc00g500011.1.1 ,Unknown protein
Solyc00g500013.1.1 ,Unknown protein
Solyc00g500014.1.1 ,Unknown protein
Solyc00g500015.1.1 ,Unknown protein
Solyc02g010630.2.1 ,Ribonuclease H domain (AHRD V3.11 *-* tr|A0A200QC70|A0A200QC70_9MAGN)
Solyc02g010600.2.1 ,NADH-ubiquinone oxidoreductase chain 3 (AHRD V3.11 *-* tr|A0A2G2V3C2|A0A2G2V3C2_CAPBA)
Solyc00g500016.1.1 ,Unknown protein
Solyc00g500017.1.1 ,Unknown protein
Solyc00g500018.1.1 ,Unknown protein
Solyc00g014290.1.1 ,Unknown protein
Solyc00g005280.1.1 ,Unknown protein
Solyc00g500019.1.1 ,Photosystem I assembly protein Ycf4 (AHRD V3.3 *** K4EQH2_DATST)
Solyc00g500020.1.1 ,Cytochrome f (AHRD V3.3 *** A0A2G3ALJ3_CAPAN)
Solyc00g500021.1.1 ,Cytochrome b559 subunit alpha (AHRD V3.3 *** S8D1L1_9LAMI)
Solyc00g500022.1.1 ,"30S ribosomal protein S18, chloroplastic (AHRD V3.3 *** A0A1U8QD82_CAPAN)"
Solyc00g180440.2.1 ,"50S ribosomal protein L20, chloroplastic (AHRD V3.11 *** tr|A0A2P1M7F3|A0A2P1M7F3_9LAMI)"
Solyc00g500023.1.1 ,ATP-dependent Clp protease proteolytic subunit (AHRD V3.3 *** CLPP_SOLTU)
Solyc00g500024.1.1 ,Photosystem II CP47 reaction center protein (AHRD V3.3 *** A0A1U8QCF6_CAPAN)
Solyc00g500025.1.1 ,Unknown protein
Solyc00g500026.1.1 ,Photosystem II reaction center protein H (AHRD V3.3 *** I6N985_DATST)
Solyc00g500028.1.1 ,Cytochrome b6-f complex subunit 4 (AHRD V3.3 *** A0A2G2XBM1_CAPBA)
Solyc00g500029.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500030.1.1 ,"30S ribosomal protein S11, chloroplastic (AHRD V3.3 *** G9FCH9_9LAMI)"
Solyc00g500031.1.1 ,"50S ribosomal protein L14, chloroplastic (AHRD V3.3 *** I6N992_DATST)"
Solyc00g500032.1.1 ,"50S ribosomal protein L16, chloroplastic (AHRD V3.3 *-* A0A2G3BL23_CAPCH)"
Solyc00g500033.1.1 ,"Ribosomal protein L2, plastid (AHRD V3.3 *-* A0A2U1PJW3_ARTAN)"
Solyc00g500034.1.1 ,"30S ribosomal protein S3, chloroplastic (AHRD V3.3 *** I6N994_DATST)"
Solyc00g500035.1.1 ,50S ribosomal protein L2 (AHRD V3.3 *** H6T990_9CARY)
Solyc00g500036.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500037.1.1 ,Protein Ycf2 (AHRD V3.3 *** A0A1Z1GA65_LITCN)
Solyc00g500038.1.1 ,Ycf15 protein (AHRD V3.3 *-* J7H9P3_CAPAN)
Solyc00g500039.1.1 ,Ycf15 (AHRD V3.3 *-* A0A346JLD3_9ASTE)
Solyc00g500040.1.1 ,Protein TIC 214 (AHRD V3.3 *-* K4EQH9_DATST)
Solyc00g160280.1.1 ,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (AHRD V3.11 *** tr|A0A1U8QCJ1|A0A1U8QCJ1_CAPAN)"
Solyc00g500041.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (AHRD V3.3 *** A0A2G2XBN0_CAPBA)"
Solyc00g500042.2.1 ,Protein TIC 214 (AHRD V3.11 *** sp|Q2VEC3|TI214_SOLTU)
Solyc00g500043.1.1 ,Protein TIC 214 (AHRD V3.3 *-* TI214_SOLTU)
Solyc00g500044.1.1 ,"30S ribosomal protein S2, chloroplastic (AHRD V3.3 *** I6N946_DATST)"
Solyc00g500045.1.1 ,Ycf15 protein (AHRD V3.3 *-* J7H9P3_CAPAN)
Solyc00g500046.1.1 ,Protein Ycf2 (AHRD V3.3 *** A0A1Z1GA65_LITCN)
Solyc00g500047.1.1 ,"50S ribosomal protein L2, chloroplastic (AHRD V3.3 *** A0A1C8V6E3_9ROSI)"
Solyc00g277510.2.1 ,Photosystem II protein D1 (AHRD V3.11 *** tr|A0A1U8QBZ9|A0A1U8QBZ9_CAPAN)
Solyc00g500048.1.1 ,Maturase K (AHRD V3.3 *** A0A2G3DGH8_CAPCH)
Solyc00g500049.1.1 ,Photosystem II reaction center protein K (AHRD V3.3 *** A0A1U8QD48_CAPAN)
