Group.1;gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;tair_symbol;uniprotswissprot;entrezgene_id;description;external_gene_name;external_gene_source
AT1G02010;AT1G02010;150.104831051707;-0.401926874589888;0.112471872351378;-3.57357680802372;0.000352137886762377;0.0423983578209271;SEC1A;,Q9C5P7;839288;"secretory 1A [Source:TAIR;Acc:AT1G02010]";SEC1A;TAIR Gene Name
AT1G02610;AT1G02610;15.5610149892366;1.12798717168911;0.317778345183646;3.54960364287012;0.000385811560350834;0.0442685830369381;;;837915;"RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HXK4]";;
AT1G02660;AT1G02660;181.04039518939;1.05477878123467;0.182323554994853;5.78520302143321;7.24248057540249e-09;8.11226800450559e-06;;F4HXL0;839544;"Phospholipase A1 PLIP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4HXL0]";PLIP2;UniProtKB Gene Name
AT1G03445;AT1G03445;5.66287339054806;-1.2748132480003;0.351728385838718;-3.62442526485437;0.00028960474622981;0.0366241012947183;BSU1;Q9LR78,;838804;"Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A178WIX8]";BSU1;UniProtKB Gene Name
AT1G03610;AT1G03610;228.229941943221;0.442717989185256;0.102235200609856;4.33038705401213;1.48847477799875e-05;0.00451311846020734;;;838961;"Plant/protein (DUF789) [Source:UniProtKB/TrEMBL;Acc:Q8LF98]";;
AT1G06573;AT1G06573;24.5527810541593;0.854021715118975;0.233562639552327;3.65649967287529;0.000255682737424119;0.0332274549706636;"NA";"NA";"NA";"NA";"NA";"NA"
AT1G07135;AT1G07135;628.799306636782;1.05642297882494;0.174434398139236;6.05627668679026;1.39308305761066e-09;2.52062305239369e-06;;;837224;"At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]";;
AT1G07350;AT1G07350;1226.99217998127;-0.397206869612944;0.0790731220088735;-5.02328553017509;5.07949413286461e-07;0.000291414295105467;;Q84TH4,;837246;"Serine/arginine-rich splicing factor SR45a [Source:UniProtKB/Swiss-Prot;Acc:Q84TH4]";SR45A;UniProtKB Gene Name
AT1G09660;AT1G09660;471.718300818696;-0.276138908948965;0.0777263278860631;-3.55270751184527;0.000381288155437888;0.0441805910946305;;Q8GWR3,;837494;"KH domain-containing protein At1g09660/At1g09670 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWR3]";;
AT1G13260;AT1G13260;876.480200621779;0.646319106231626;0.148681810329284;4.34699513545223;1.38015279073664e-05;0.00427157288732991;RAV1;Q9ZWM9;837886;"AP2/ERF and B3 domain-containing transcription factor RAV1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWM9]";RAV1;UniProtKB Gene Name
AT1G14560;AT1G14560;180.992003882444;-0.310147169610525;0.0734950887755693;-4.21997135832595;2.44333358366946e-05;0.00611405239947584;;,F4HW79;838018;"Mitochondrial carrier protein CoAc1 [Source:UniProtKB/Swiss-Prot;Acc:F4HW79]";COAC1;UniProtKB Gene Name
AT1G16800;AT1G16800;275.696139001332;-0.272454514430084;0.0735381211268173;-3.70494255571519;0.000211438645047353;0.0288922015249461;;;838251;"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT1G16800]";;
AT1G17147;AT1G17147;108.363178297153;0.929734416234064;0.189246745078733;4.91281588936847;8.97775733023445e-07;0.000469277350937277;;Q1G3U8;6240987;"VQ motif-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q1G3U8]";VQ1;UniProtKB Gene Name
AT1G17420;AT1G17420;382.747007097767;0.441682692642213;0.0973711768504389;4.53607224364386;5.73115552648067e-06;0.00217432645635288;LOX3;Q9LNR3;838314;"Lipoxygenase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LNR3]";LOX3;UniProtKB Gene Name
AT1G21010;AT1G21010;161.228208927874;0.460953510084538;0.113572805625297;4.05866094041322;4.93549130983601e-05;0.0103654130883895;;;838695;"At1g21010 [Source:UniProtKB/TrEMBL;Acc:Q7XJ58]";;
AT1G22190;AT1G22190;1118.10594301972;0.403849004831656;0.089587430600642;4.50787573796945;6.54799045236438e-06;0.00234915679503111;;Q9LM15;838824;"Ethylene-responsive transcription factor RAP2-13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LM15]";RAP2-13;UniProtKB Gene Name
AT1G23390;AT1G23390;3447.51950009298;0.956261792461585;0.170847253786154;5.59717391570437;2.17874120527171e-08;1.76718450449659e-05;;Q9LDE3;838947;"F-box/Kelch repeat-containing F-box family protein [Source:UniProtKB/TrEMBL;Acc:C4PVQ8]";;
AT1G23710;AT1G23710;204.337680897179;0.720380163094447;0.131349524898989;5.48445198906077;4.14753102820376e-08;3.14703951114222e-05;;;838981;"At1g23710 [Source:UniProtKB/TrEMBL;Acc:Q9ZUC4]";;
AT1G23870;AT1G23870;801.823194374746;0.527673447384304;0.117513650460624;4.49031619148886;7.1117523010857e-06;0.00246003878861967;ATTPS9;Q9LRA7;838998;"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRA7]";TPS9;UniProtKB Gene Name
AT1G25560;AT1G25560;1262.48867004384;0.66012541170406;0.129234633523063;5.10796056527879;3.25654592022632e-07;0.000191501182838909;TEM1;Q9C6M5;839143;"AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]";TEM1;UniProtKB Gene Name
AT1G26800;AT1G26800;238.074186989759;0.598389978468178;0.147148513383534;4.06657168807753;4.77098133904964e-05;0.0101101822573987;;Q9LQX2;839223;"E3 ubiquitin-protein ligase MPSR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQX2]";MPSR1;UniProtKB Gene Name
AT1G27100;AT1G27100;1552.3617442437;0.495437678258172;0.0828341766021457;5.98107808372104;2.21665575280987e-09;3.72429832982813e-06;;;839599;"Actin cross-linking protein [Source:UniProtKB/TrEMBL;Acc:Q0WQH3]";;
AT1G27730;AT1G27730;801.795282928948;0.720669323172941;0.174240356877992;4.13606431991857;3.53313197442375e-05;0.00806857575751413;STZ;Q96289;839666;"Zinc finger protein ZAT10 [Source:UniProtKB/Swiss-Prot;Acc:Q96289]";ZAT10;UniProtKB Gene Name
AT1G28600;AT1G28600;1737.19355152416;-0.263379992076041;0.0587611452578268;-4.48221338982429;7.38728202910989e-06;0.00248233782698176;;Q94F40,;839760;"GDSL esterase/lipase At1g28600 [Source:UniProtKB/Swiss-Prot;Acc:Q94F40]";;
AT1G30390;AT1G30390;7.06746151169609;1.8378526293674;0.46002846644029;3.99508457289337;6.46711630306555e-05;0.0128185973431155;"NA";"NA";"NA";"NA";"NA";"NA"
AT1G31280;AT1G31280;444.864053903255;-0.274835559943719;0.0716654586132752;-3.83497943446927;0.000125574801089351;0.0196918031414915;AGO2;Q9SHF3;840016;"Protein argonaute 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SHF3]";AGO2;UniProtKB Gene Name
