Group.1,Group.2,Group.3,transcript,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,tair_symbol,uniprotswissprot,entrezgene_id,description,external_gene_name,external_gene_source
AT4G25580,86.22593908750441,-6.334628299471652,"AT4G25580.2,AT4G25580.1",86.2259390875044,-6.33462829947165,0.536452040262206,1.52328420888197e-32,1.25382495542144e-29,AT4G25580,,,828663,At4g25580/M7J2_50 [Source:UniProtKB/TrEMBL;Acc:Q8RY15],,
AT1G47395,91.55558698106938,-6.082637584733126,AT1G47395.1,91.5555869810694,-6.08263758473313,0.782227208856269,2.48801777396526e-16,6.20977132926581e-14,AT1G47395,,,841143,At1g47390 [Source:UniProtKB/TrEMBL;Acc:Q8GUL3],,
AT1G47400,32.00450336085704,-5.923130948644445,AT1G47400.1,32.004503360857,-5.92313094864445,0.854392125088834,1.10690759628775e-12,1.71975209919631e-10,AT1G47400,,,841144,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G47395.1); Ha. [Source:TAIR;Acc:AT1G47400],,
AT4G25580,17.317661321668275,-4.87822392480313,"AT4G25580.2,AT4G25580.1",17.3176613216683,-4.87822392480313,0.916456835158242,1.02844703763521e-08,7.40903204803645e-07,AT4G25580,,,828663,At4g25580/M7J2_50 [Source:UniProtKB/TrEMBL;Acc:Q8RY15],,
AT1G12030,11.667722751692176,-4.165740868516242,AT1G12030.1,11.6677227516922,-4.16574086851624,1.04311373537789,4.24092898817536e-06,0.000165750772923907,AT1G12030,,,837755,At1g12030 [Source:UniProtKB/TrEMBL;Acc:O65376],,
AT4G36850,474.91302306640466,-3.6820333645323338,AT4G36850.1,474.913023066405,-3.68203336453233,0.238873113988164,5.24255058760691e-55,1.19301948254212e-51,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,1606.8947349242821,-3.6094784864397518,"AT4G36850.4,AT4G36850.1",1606.89473492428,-3.60947848643975,0.201218286654812,2.6213462263261e-73,9.2190363737865e-70,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,506.5720679470819,-3.5870335257044768,AT4G36850.4,506.572067947082,-3.58703352570448,0.235301232642902,7.31152445787731e-54,1.57140908431912e-50,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT4G36850,1841.9590870545585,-3.5614739256818875,AT4G36850.2,1841.95908705456,-3.56147392568189,0.19429055860778,2.01544821885112e-76,1.11385185420678e-72,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT3G49620,30.578803613414312,-3.5535099898000957,AT3G49620.1,30.5788036134143,-3.5535099898001,0.578292191877448,3.81438628917295e-11,4.74480218594678e-09,AT3G49620,DIN11,Q8H113,824124,Probable 2-oxoglutarate-dependent dioxygenase DIN11 [Source:UniProtKB/Swiss-Prot;Acc:Q8H113],DIN11,UniProtKB Gene Name
AT4G36850,1873.6181319352359,-3.539874626955992,AT4G36850.3,1873.61813193524,-3.53987462695599,0.193816876032295,7.05701492486397e-76,3.4125959922911e-72,AT4G36850,,,829838,PQ-loop repeat family protein / transmembrane family protein [Source:UniProtKB/TrEMBL;Acc:Q94AH7],,
AT1G80160,573.2515720805775,-3.351414564769691,AT1G80160.2,573.251572080577,-3.35141456476969,0.171646407914071,2.85166191185681e-86,2.20638785444185e-82,AT1G80160,,,844356,F18B13.24 protein [Source:UniProtKB/TrEMBL;Acc:Q9SSC3],,
AT5G63160,235.3804221402003,-3.1534694348625583,"AT5G63160.1,AT5G63160.2",235.3804221402,-3.15346943486256,0.270917133169667,1.02163800754707e-32,8.78290843554798e-30,AT5G63160,BT1,"Q9FMK7,",836437,BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7],BT1,UniProtKB Gene Name
